col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,Jaime Bouldin,Barbara Carroll,David Rodriguez,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,All
Bob Casey Jr,241,261,237,235,233,205,172,151,143,133,3,All
Jaime Bouldin,,13,165,174,177,161,145,133,137,130,4,All
Barbara Carroll,,,3,166,161,193,164,144,143,133,5,All
David Rodriguez,,,,6,190,162,145,136,136,132,6,All
Humberto Perez,,,,,1,161,148,142,136,129,7,All
Sharon Vaughn,,,,,,0,165,145,141,135,8,All
Latrice Y Bryant,,,,,,,0,144,131,135,9,All
Robert Taylor,,,,,,,,1,126,134,10,All
Dustin Morris,,,,,,,,,1,124,11,All
Jonathan M Gary,,,,,,,,,,0,12,All
Total,691,283,251,250,247,218,183,162,152,140,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,David Rodriguez,Humberto Perez,Jaime Bouldin,Sharon Vaughn,Latrice Y Bryant,Barbara Carroll,Dustin Morris,Robert Taylor,Jonathan M Gary,2,1
Bob Casey Jr,13,24,25,24,18,18,16,12,13,12,3,1
David Rodriguez,,1,22,15,14,15,13,11,11,10,4,1
Humberto Perez,,,0,15,14,15,13,11,12,11,5,1
Jaime Bouldin,,,,1,13,13,13,11,12,12,6,1
Sharon Vaughn,,,,,0,15,15,12,11,10,7,1
Latrice Y Bryant,,,,,,0,15,11,13,12,8,1
Barbara Carroll,,,,,,,1,11,12,11,9,1
Dustin Morris,,,,,,,,0,10,10,10,1
Robert Taylor,,,,,,,,,0,12,11,1
Jonathan M Gary,,,,,,,,,,0,12,1
Total,50,25,25,25,19,18,17,13,13,12,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,Barbara Carroll,David Rodriguez,Jaime Bouldin,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,2
Bob Casey Jr,9,13,10,11,11,9,7,5,5,3,3,2
Barbara Carroll,,0,9,7,9,7,7,6,6,4,4,2
David Rodriguez,,,1,7,9,7,7,6,6,4,5,2
Jaime Bouldin,,,,0,7,8,7,6,6,4,6,2
Sharon Vaughn,,,,,0,7,7,6,6,4,7,2
Humberto Perez,,,,,,0,7,5,5,4,8,2
Latrice Y Bryant,,,,,,,0,6,6,4,9,2
Dustin Morris,,,,,,,,0,6,4,10,2
Jonathan M Gary,,,,,,,,,0,4,11,2
Robert Taylor,,,,,,,,,,0,12,2
Total,34,14,12,12,12,11,9,6,6,4,13,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,2,3
Bob Casey Jr,58,45,37,34,34,31,22,22,18,17,3,3
Jaime Bouldin,,0,31,30,30,29,23,19,19,18,4,3
David Rodriguez,,,0,30,30,30,22,20,20,19,5,3
Barbara Carroll,,,,0,30,33,24,21,20,19,6,3
Humberto Perez,,,,,0,28,23,21,20,19,7,3
Sharon Vaughn,,,,,,0,23,21,20,19,8,3
Dustin Morris,,,,,,,0,17,17,17,9,3
Latrice Y Bryant,,,,,,,,0,19,18,10,3
Robert Taylor,,,,,,,,,1,18,11,3
Jonathan M Gary,,,,,,,,,,0,12,3
Total,121,48,39,37,37,34,24,24,21,19,13,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,4
Bob Casey Jr,47,33,23,24,22,19,18,17,16,15,3,4
Jaime Bouldin,,4,17,21,15,14,13,13,13,13,4,4
