col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,2,All
Tom Wolf,404,"1,189","1,044",992,867,851,786,716,690,683,3,All
Jaime Bouldin,,22,873,849,731,734,702,660,657,657,4,All
David Rodriguez,,,10,873,717,720,692,639,654,646,5,All
Humberto Perez,,,,4,705,717,678,631,648,643,6,All
Barbara Carroll,,,,,3,768,720,666,657,652,7,All
Sharon Vaughn,,,,,,1,732,667,668,658,8,All
Latrice Y Bryant,,,,,,,0,665,660,633,9,All
Jonathan M Gary,,,,,,,,3,632,608,10,All
Robert Taylor,,,,,,,,,0,618,11,All
Dustin Morris,,,,,,,,,,0,12,All
Total,"2,106","1,248","1,090","1,030",908,885,809,742,717,703,13,All
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Robert Taylor,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Dustin Morris,Latrice Y Bryant,2,1
Tom Wolf,7,28,22,22,16,15,15,13,13,13,3,1
David Rodriguez,,1,18,17,15,15,15,13,13,13,4,1
Humberto Perez,,,0,18,15,15,15,14,14,14,5,1
Jaime Bouldin,,,,0,15,15,15,14,14,14,6,1
Robert Taylor,,,,,0,16,16,14,14,14,7,1
Barbara Carroll,,,,,,0,16,14,14,14,8,1
Sharon Vaughn,,,,,,,0,14,14,14,9,1
Jonathan M Gary,,,,,,,,1,14,14,10,1
Dustin Morris,,,,,,,,,0,14,11,1
Latrice Y Bryant,,,,,,,,,,0,12,1
Total,46,30,23,23,17,16,16,15,14,14,13,1
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Tom Wolf,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,2
Tom Wolf,12,55,50,39,39,39,31,26,25,25,3,2
Jaime Bouldin,,2,37,31,34,31,28,25,26,25,4,2
David Rodriguez,,,2,31,36,32,26,25,25,25,5,2
Barbara Carroll,,,,1,29,35,30,27,27,26,6,2
Humberto Perez,,,,,1,30,26,26,25,24,7,2
Sharon Vaughn,,,,,,0,30,26,25,25,8,2
Latrice Y Bryant,,,,,,,0,27,22,25,9,2
Jonathan M Gary,,,,,,,,0,22,24,10,2
Dustin Morris,,,,,,,,,0,23,11,2
Robert Taylor,,,,,,,,,,0,12,2
Total,101,59,55,43,42,42,33,28,27,27,13,2
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,3
Tom Wolf,21,74,60,56,50,47,40,40,39,31,3,3
Jaime Bouldin,,1,51,50,41,38,37,37,38,31,4,3
David Rodriguez,,,0,52,41,39,38,40,39,28,5,3
Humberto Perez,,,,0,42,39,37,39,39,28,6,3
Barbara Carroll,,,,,0,42,39,38,37,29,7,3
Sharon Vaughn,,,,,,1,36,35,37,28,8,3
Latrice Y Bryant,,,,,,,0,36,35,27,9,3
Robert Taylor,,,,,,,,0,36,28,10,3
Dustin Morris,,,,,,,,,0,27,11,3
Jonathan M Gary,,,,,,,,,,0,12,3
Total,123,76,61,57,52,50,41,41,40,32,13,3
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Tom Wolf,David Rodriguez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Dustin Morris,Humberto Perez,Latrice Y Bryant,Robert Taylor,2,4
Tom Wolf,14,37,36,35,34,32,28,28,28,26,3,4
David Rodriguez,,0,28,28,26,26,24,25,25,23,4,4
Jaime Bouldin,,,1,28,28,27,26,24,26,22,5,4
Barbara Carroll,,,,0,30,29,28,22,26,24,6,4
Sharon Vaughn,,,,,0,28,27,23,28,24,7,4
Jonathan M Gary,,,,,,0,27,22,26,23,8,4
Dustin Morris,,,,,,,0,22,24,23,9,4
Humberto Perez,,,,,,,,0,21,20,10,4
Latrice Y Bryant,,,,,,,,,0,23,11,4
Robert Taylor,,,,,,,,,,0,12,4
Total,70,37,37,35,34,32,28,28,28,26,13,4
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Tom Wolf,Jaime Bouldin,Humberto Perez,David Rodriguez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,5
Tom Wolf,19,44,35,34,24,20,16,14,14,13,3,5
Jaime Bouldin,,2,31,32,22,19,18,17,17,15,4,5
Humberto Perez,,,0,32,20,18,17,15,14,15,5,5
David Rodriguez,,,,0,17,17,16,15,15,14,6,5
Sharon Vaughn,,,,,0,21,19,18,17,16,7,5
Barbara Carroll,,,,,,0,17,16,16,14,8,5
Latrice Y Bryant,,,,,,,0,15,16,16,9,5
Dustin Morris,,,,,,,,0,15,15,10,5
Jonathan M Gary,,,,,,,,,0,15,11,5
Robert Taylor,,,,,,,,,,0,12,5
Total,82,51,41,40,28,25,19,18,17,16,13,5
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Tom Wolf,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Jonathan M Gary,Robert Taylor,Dustin Morris,2,6
Tom Wolf,22,82,73,73,68,69,67,58,54,48,3,6
Jaime Bouldin,,0,62,62,56,58,56,53,50,45,4,6
Humberto Perez,,,1,67,58,59,58,52,53,45,5,6
David Rodriguez,,,,0,58,56,57,52,50,47,6,6
Barbara Carroll,,,,,0,64,62,52,53,46,7,6
Latrice Y Bryant,,,,,,0,64,54,53,45,8,6
Sharon Vaughn,,,,,,,0,52,54,46,9,6
Jonathan M Gary,,,,,,,,0,49,46,10,6
Robert Taylor,,,,,,,,,0,44,11,6
Dustin Morris,,,,,,,,,,0,12,6
Total,136,86,77,76,71,70,69,59,56,49,13,6
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
