col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Kathryn S Huggins,Monica Maria Djerassi,Ken Washington,Linda Norris,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,All
Kathryn S Huggins,17,727,729,690,736,707,636,405,408,224,237,190,162,518,289,171,275,9,3,All
Monica Maria Djerassi,,2,464,680,490,475,571,252,374,228,213,169,122,362,275,173,95,7,4,All
Ken Washington,,,9,462,652,617,416,330,190,139,167,92,110,444,160,110,151,9,5,All
Linda Norris,,,,7,463,465,609,235,314,194,221,177,116,371,263,144,89,3,6,All
Dewayne Drummond,,,,,3,602,428,319,209,148,154,99,94,414,176,108,139,7,7,All
Liam G Boyle,,,,,,5,393,302,210,128,157,88,104,417,137,115,151,5,8,All
Lisa Rhodes,,,,,,,0,184,296,159,138,176,96,313,233,106,73,6,9,All
Kevin Bundy,,,,,,,,10,169,130,188,75,116,207,114,92,131,2,10,All
Rebecca Poyourow,,,,,,,,,0,178,141,167,100,120,191,117,73,7,11,All
Joe Khan,,,,,,,,,,0,108,96,73,89,142,94,34,5,12,All
Nat Lownes,,,,,,,,,,,0,56,69,110,113,74,52,4,13,All
Jacque Whaumbush,,,,,,,,,,,,0,41,52,103,56,35,5,14,All
John Brady,,,,,,,,,,,,,1,97,63,43,32,4,15,All
Mike Stack,,,,,,,,,,,,,,48,0,0,0,0,16,All
Nina Ahmad,,,,,,,,,,,,,,,69,0,0,0,17,All
John Fetterman,,,,,,,,,,,,,,,,62,0,0,18,All
Kathi Cozzone,,,,,,,,,,,,,,,,,26,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,3,20,All
Total,"1,320",943,917,913,880,861,760,574,518,372,365,257,244,751,507,363,348,19,21,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Kathryn S Huggins,0,48,48,48,43,39,38,9,3,1,1,1,0,40,7,2,0,0,3,1
Dewayne Drummond,,0,50,48,42,37,39,7,2,1,2,1,0,39,4,2,0,0,4,1
Ken Washington,,,0,49,42,37,40,6,1,1,2,0,0,39,5,1,0,0,5,1
Liam G Boyle,,,,0,42,37,39,7,2,1,2,0,0,38,4,1,0,0,6,1
Linda Norris,,,,,1,37,39,3,2,2,1,1,0,41,0,2,0,0,7,1
Monica Maria Djerassi,,,,,,0,32,4,3,2,2,2,0,36,1,2,0,0,8,1
Lisa Rhodes,,,,,,,0,0,0,0,1,0,0,35,0,0,0,0,9,1
Kevin Bundy,,,,,,,,1,3,1,1,1,0,3,3,2,0,0,10,1
Rebecca Poyourow,,,,,,,,,0,2,2,2,0,1,1,2,0,0,11,1
John Brady,,,,,,,,,,0,1,1,0,1,0,2,0,0,12,1
Nat Lownes,,,,,,,,,,,0,1,0,2,1,0,0,0,13,1
Joe Khan,,,,,,,,,,,,0,0,1,0,1,0,0,14,1
Jacque Whaumbush,,,,,,,,,,,,,0,0,0,0,0,0,15,1
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,1
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,1
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,1
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,1
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,1
Total,55,52,52,50,49,41,40,10,4,3,3,2,0,45,8,5,0,0,21,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,Nat Lownes,Joe Khan,Rebecca Poyourow,Jacque Whaumbush,John Brady,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Kathryn S Huggins,3,49,51,48,41,35,36,17,6,4,7,5,4,42,20,3,7,1,3,2
Ken Washington,,1,50,50,37,36,32,20,7,6,5,2,2,38,13,1,8,0,4,2
Liam G Boyle,,,1,51,38,38,34,19,6,5,4,2,2,34,11,2,8,0,5,2
Dewayne Drummond,,,,0,37,35,33,17,7,5,1,3,2,31,10,5,7,0,6,2
Lisa Rhodes,,,,,0,44,42,12,7,5,7,4,3,32,3,4,8,0,7,2
Monica Maria Djerassi,,,,,,1,40,8,5,5,5,2,1,31,3,2,7,0,8,2
Linda Norris,,,,,,,0,7,5,3,4,2,1,27,2,3,8,0,9,2
Kevin Bundy,,,,,,,,0,5,6,4,0,3,12,11,3,1,0,10,2
Nat Lownes,,,,,,,,,0,3,2,2,3,4,2,2,3,0,11,2
Joe Khan,,,,,,,,,,0,1,1,2,7,1,2,0,0,12,2
Rebecca Poyourow,,,,,,,,,,,0,2,1,6,2,0,0,0,13,2
Jacque Whaumbush,,,,,,,,,,,,0,2,4,0,1,0,1,14,2
John Brady,,,,,,,,,,,,,1,3,0,0,1,1,15,2
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,2
Kathi Cozzone,,,,,,,,,,,,,,,2,0,0,0,17,2
Nina Ahmad,,,,,,,,,,,,,,,,3,0,0,18,2
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,2
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,2
Total,81,68,61,60,53,48,44,30,11,10,8,6,6,57,28,13,11,1,21,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,3
,Kathryn S Huggins,Ken Washington,Liam G Boyle,Dewayne Drummond,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Jacque Whaumbush,Nat Lownes,Rebecca Poyourow,John Brady,Joe Khan,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,3
Kathryn S Huggins,1,40,42,43,28,21,23,20,6,7,7,4,1,24,24,6,5,0,3,3
Ken Washington,,0,41,40,27,19,18,15,8,6,6,3,2,20,19,5,4,1,4,3
Liam G Boyle,,,1,40,27,18,18,16,5,6,5,4,1,22,17,5,3,0,5,3
Dewayne Drummond,,,,2,28,19,19,18,7,6,6,5,2,20,16,5,4,1,6,3
Kevin Bundy,,,,,5,13,10,8,6,9,6,5,3,13,15,3,4,0,7,3
Lisa Rhodes,,,,,,0,21,18,5,4,3,3,3,19,0,1,5,0,8,3
Linda Norris,,,,,,,0,16,6,3,2,2,0,17,3,1,3,0,9,3
Monica Maria Djerassi,,,,,,,,0,1,3,2,3,1,15,1,1,3,1,10,3
Jacque Whaumbush,,,,,,,,,0,1,3,2,2,3,4,1,1,0,11,3
Nat Lownes,,,,,,,,,,0,6,1,1,3,4,0,2,0,12,3
Rebecca Poyourow,,,,,,,,,,,0,1,1,1,5,1,1,0,13,3
John Brady,,,,,,,,,,,,0,1,4,2,0,0,0,14,3
Joe Khan,,,,,,,,,,,,,0,2,0,0,2,0,15,3
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,3
Kathi Cozzone,,,,,,,,,,,,,,,3,0,0,0,17,3
John Fetterman,,,,,,,,,,,,,,,,0,0,0,18,3
Nina Ahmad,,,,,,,,,,,,,,,,,0,0,19,3
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,3
Total,62,51,50,49,41,27,25,22,9,9,8,6,4,34,30,9,8,1,21,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,4
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Nat Lownes,Joe Khan,John Brady,Rebecca Poyourow,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Kathryn S Huggins,1,25,24,17,23,18,17,15,6,3,3,5,1,21,10,5,1,0,3,4
Ken Washington,,3,22,17,22,15,12,14,3,2,3,2,1,15,6,6,1,0,4,4
Dewayne Drummond,,,0,17,19,15,15,14,6,4,1,3,2,17,5,5,3,0,5,4
Kevin Bundy,,,,0,12,12,11,10,7,3,3,3,3,15,4,4,1,0,6,4
Liam G Boyle,,,,,0,12,10,11,3,2,2,2,2,13,5,4,1,0,7,4
Linda Norris,,,,,,0,18,17,7,5,3,3,2,15,1,6,0,0,8,4
Monica Maria Djerassi,,,,,,,0,15,6,4,2,4,2,15,1,5,0,0,9,4
Lisa Rhodes,,,,,,,,0,3,2,1,2,2,12,1,6,0,0,10,4
Nat Lownes,,,,,,,,,0,2,1,2,1,6,0,2,0,0,11,4
Joe Khan,,,,,,,,,,0,2,1,1,2,0,3,1,0,12,4
John Brady,,,,,,,,,,,0,0,0,2,1,2,0,0,13,4
Rebecca Poyourow,,,,,,,,,,,,0,1,4,0,1,0,0,14,4
Jacque Whaumbush,,,,,,,,,,,,,0,2,0,1,0,0,15,4
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,4
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,4
Nina Ahmad,,,,,,,,,,,,,,,,2,0,0,18,4
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,4
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,4
Total,39,32,31,25,24,22,21,20,8,6,5,5,3,26,11,11,3,0,21,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,5
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Joe Khan,Rebecca Poyourow,John Brady,Jacque Whaumbush,Nat Lownes,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Kathryn S Huggins,1,31,31,29,23,21,18,6,5,4,3,2,2,28,8,3,2,0,3,5
Dewayne Drummond,,0,30,30,22,22,18,8,5,2,3,1,2,28,4,0,3,0,4,5
Ken Washington,,,1,30,20,19,16,6,4,3,2,1,1,27,3,1,3,0,5,5
Liam G Boyle,,,,0,23,20,18,5,3,3,2,2,1,25,4,1,2,0,6,5
Linda Norris,,,,,0,21,19,3,3,3,2,3,2,21,3,2,0,0,7,5
Monica Maria Djerassi,,,,,,0,18,4,3,1,1,1,2,20,3,2,0,0,8,5
Lisa Rhodes,,,,,,,0,0,2,1,0,1,0,17,1,1,0,0,9,5
Kevin Bundy,,,,,,,,0,3,2,1,0,3,6,3,0,1,0,10,5
Joe Khan,,,,,,,,,0,0,1,0,1,3,2,1,0,0,11,5
Rebecca Poyourow,,,,,,,,,,0,1,2,1,1,1,2,1,0,12,5
John Brady,,,,,,,,,,,0,2,0,2,0,1,1,0,13,5
Jacque Whaumbush,,,,,,,,,,,,0,0,1,0,2,0,0,14,5
Nat Lownes,,,,,,,,,,,,,0,2,1,0,0,0,15,5
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,5
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,5
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,5
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,5
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,5
Total,44,37,37,33,26,26,20,10,6,5,4,3,3,36,9,6,5,0,21,5
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,6
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,John Brady,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,6
Kathryn S Huggins,1,52,53,42,29,26,21,24,8,3,4,3,2,46,10,8,2,0,3,6
Ken Washington,,0,49,41,26,23,18,21,4,4,3,2,1,43,5,6,1,0,4,6
Dewayne Drummond,,,0,42,27,24,17,23,5,2,2,2,1,43,5,5,2,0,5,6
Liam G Boyle,,,,0,17,17,11,16,2,0,0,1,0,34,3,6,0,0,6,6
Linda Norris,,,,,0,26,9,23,3,4,4,2,2,23,4,1,1,0,7,6
Lisa Rhodes,,,,,,0,5,19,3,2,2,1,0,20,4,1,1,0,8,6
Kevin Bundy,,,,,,,1,7,5,4,4,3,3,14,4,5,1,0,9,6
Monica Maria Djerassi,,,,,,,,0,2,4,4,1,3,18,5,1,1,0,10,6
John Brady,,,,,,,,,0,1,2,1,1,4,5,0,0,0,11,6
Nat Lownes,,,,,,,,,,0,2,1,2,2,2,0,0,0,12,6
Rebecca Poyourow,,,,,,,,,,,0,0,2,1,2,0,1,0,13,6
Jacque Whaumbush,,,,,,,,,,,,0,1,1,2,0,0,0,14,6
Joe Khan,,,,,,,,,,,,,0,0,2,0,0,0,15,6
Mike Stack,,,,,,,,,,,,,,4,0,0,0,0,16,6
Nina Ahmad,,,,,,,,,,,,,,,0,0,0,0,17,6
Kathi Cozzone,,,,,,,,,,,,,,,,2,0,0,18,6
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,6
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,6
Total,68,57,56,44,31,27,26,26,9,5,5,3,3,59,11,10,3,0,21,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,7
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Nat Lownes,John Brady,Jacque Whaumbush,Joe Khan,Rebecca Poyourow,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,7
Kathryn S Huggins,2,33,36,29,25,17,13,9,6,7,4,3,1,27,26,4,4,0,3,7
Ken Washington,,1,35,32,25,20,16,8,6,9,3,2,2,15,25,6,4,0,4,7
Dewayne Drummond,,,1,29,22,19,14,7,7,8,2,4,1,11,21,3,4,0,5,7
Liam G Boyle,,,,1,18,14,10,4,2,4,0,1,0,9,22,1,1,0,6,7
Kevin Bundy,,,,,1,10,10,8,8,6,3,4,2,10,15,5,1,0,7,7
Monica Maria Djerassi,,,,,,0,15,6,7,6,2,3,0,3,13,2,3,0,8,7
Linda Norris,,,,,,,0,10,7,3,3,4,0,3,12,2,2,0,9,7
Lisa Rhodes,,,,,,,,0,4,2,1,4,1,1,8,1,3,0,10,7
Nat Lownes,,,,,,,,,0,3,2,3,1,4,2,1,2,0,11,7
John Brady,,,,,,,,,,0,2,0,1,2,3,2,3,0,12,7
Jacque Whaumbush,,,,,,,,,,,0,1,0,2,1,1,1,0,13,7
Joe Khan,,,,,,,,,,,,0,0,0,1,2,2,0,14,7
Rebecca Poyourow,,,,,,,,,,,,,0,0,1,0,1,0,15,7
Kathi Cozzone,,,,,,,,,,,,,,3,0,0,0,0,16,7
Mike Stack,,,,,,,,,,,,,,,0,0,0,0,17,7
John Fetterman,,,,,,,,,,,,,,,,2,0,0,18,7
Nina Ahmad,,,,,,,,,,,,,,,,,1,0,19,7
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,7
Total,66,53,42,35,34,24,20,14,11,10,6,6,2,37,32,12,9,0,21,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,8
,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,Nat Lownes,Joe Khan,Rebecca Poyourow,John Brady,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,8
Ken Washington,0,32,34,25,28,24,21,19,15,9,5,5,2,33,12,4,2,0,3,8
Kathryn S Huggins,,1,28,18,22,21,16,15,10,5,5,3,5,26,14,3,1,0,4,8
Dewayne Drummond,,,0,20,27,15,15,17,7,5,4,4,2,25,10,3,1,0,5,8
Kevin Bundy,,,,0,14,12,9,8,12,6,4,4,3,15,9,2,1,0,6,8
Liam G Boyle,,,,,0,12,14,14,5,3,2,1,0,18,9,1,1,0,7,8
Monica Maria Djerassi,,,,,,0,22,19,9,6,4,3,4,20,2,5,0,0,8,8
Linda Norris,,,,,,,0,18,7,4,2,1,2,18,1,3,0,0,9,8
Lisa Rhodes,,,,,,,,0,4,3,4,3,4,17,2,4,0,0,10,8
Nat Lownes,,,,,,,,,0,6,5,3,3,9,5,0,0,0,11,8
Joe Khan,,,,,,,,,,0,4,1,2,3,2,1,1,0,12,8
Rebecca Poyourow,,,,,,,,,,,0,2,3,3,3,2,0,0,13,8
John Brady,,,,,,,,,,,,0,1,3,1,1,1,0,14,8
Jacque Whaumbush,,,,,,,,,,,,,0,2,2,1,0,0,15,8
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,8
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,8
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,8
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,8
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,8
Total,54,47,41,30,29,29,24,24,16,10,9,7,6,43,17,9,2,0,21,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,9
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Liam G Boyle,Rebecca Poyourow,Kevin Bundy,Nat Lownes,Joe Khan,Jacque Whaumbush,John Brady,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,9
Kathryn S Huggins,3,45,43,41,43,44,34,32,26,18,16,18,13,24,22,17,14,0,3,9
Ken Washington,,1,34,33,31,30,27,18,18,16,12,12,6,21,16,8,10,0,4,9
Dewayne Drummond,,,0,26,33,27,30,23,22,16,14,10,7,19,14,10,11,0,5,9
Linda Norris,,,,0,36,35,16,19,11,10,11,16,9,15,19,6,9,1,6,9
Monica Maria Djerassi,,,,,0,34,22,26,17,12,10,17,10,13,17,8,11,0,7,9
Lisa Rhodes,,,,,,0,22,20,12,9,11,15,7,9,20,8,11,0,8,9
Liam G Boyle,,,,,,,0,14,17,13,8,5,8,15,8,8,9,0,9,9
Rebecca Poyourow,,,,,,,,0,14,11,8,16,7,10,13,4,9,0,10,9
Kevin Bundy,,,,,,,,,0,13,8,2,8,13,8,5,7,0,11,9
Nat Lownes,,,,,,,,,,0,8,3,7,8,5,2,9,0,12,9
Joe Khan,,,,,,,,,,,0,6,3,4,8,5,6,0,13,9
Jacque Whaumbush,,,,,,,,,,,,0,2,2,9,4,7,0,14,9
John Brady,,,,,,,,,,,,,0,5,4,4,4,0,15,9
Mike Stack,,,,,,,,,,,,,,4,0,0,0,0,16,9
Nina Ahmad,,,,,,,,,,,,,,,7,0,0,0,17,9
Kathi Cozzone,,,,,,,,,,,,,,,,3,0,0,18,9
John Fetterman,,,,,,,,,,,,,,,,,2,0,19,9
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,9
Total,80,57,56,52,51,49,40,37,34,24,23,22,18,42,34,23,20,1,21,9
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,10
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,John Brady,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,10
Kathryn S Huggins,1,43,41,36,34,31,27,20,23,14,14,11,3,23,23,18,3,0,3,10
Dewayne Drummond,,0,35,33,30,20,18,18,14,7,11,9,2,25,14,11,0,0,4,10
Ken Washington,,,0,31,29,22,17,14,13,10,7,8,1,24,11,13,3,0,5,10
Liam G Boyle,,,,0,25,16,12,13,11,6,6,4,0,21,14,3,1,0,6,10
Kevin Bundy,,,,,0,12,10,10,16,9,8,9,2,14,14,9,1,0,7,10
Linda Norris,,,,,,0,27,17,12,10,8,5,2,13,6,10,4,0,8,10
Lisa Rhodes,,,,,,,0,17,12,9,10,5,2,11,3,13,3,0,9,10
Monica Maria Djerassi,,,,,,,,0,7,4,9,6,1,9,5,9,2,0,10,10
Nat Lownes,,,,,,,,,0,7,8,5,2,7,5,8,1,0,11,10
John Brady,,,,,,,,,,0,4,7,1,7,2,5,1,0,12,10
Rebecca Poyourow,,,,,,,,,,,0,3,1,3,4,8,1,0,13,10
Joe Khan,,,,,,,,,,,,0,1,6,0,6,0,0,14,10
Jacque Whaumbush,,,,,,,,,,,,,0,0,0,2,0,0,15,10
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,10
Kathi Cozzone,,,,,,,,,,,,,,,4,0,0,0,17,10
Nina Ahmad,,,,,,,,,,,,,,,,3,0,0,18,10
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,10
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,10
Total,72,52,52,41,40,35,31,25,24,16,16,13,3,35,29,28,4,0,21,10
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,11
