col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Bob Casey Jr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,All
Bob Casey Jr,132,274,260,250,254,230,3,All
Kathy Enggasser,,7,215,231,218,214,4,All
John Dellricci,,,1,214,211,208,5,All
Mary Ann Quartullo,,,,6,217,208,6,All
James G Donnelly Sr,,,,,4,213,7,All
Patrick Parkinson,,,,,,2,8,All
Total,520,287,264,262,261,235,9,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Bob Casey Jr,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,1
Bob Casey Jr,31,0,0,0,0,0,3,1
James G Donnelly Sr,,0,0,0,0,0,4,1
John Dellricci,,,0,0,0,0,5,1
Kathy Enggasser,,,,0,0,0,6,1
Mary Ann Quartullo,,,,,0,0,7,1
Patrick Parkinson,,,,,,0,8,1
Total,31,0,0,0,0,0,9,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,2
,Bob Casey Jr,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,2
Bob Casey Jr,26,0,0,0,0,0,3,2
James G Donnelly Sr,,0,0,0,0,0,4,2
John Dellricci,,,0,0,0,0,5,2
Kathy Enggasser,,,,0,0,0,6,2
Mary Ann Quartullo,,,,,0,0,7,2
Patrick Parkinson,,,,,,0,8,2
Total,26,0,0,0,0,0,9,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,Bob Casey Jr,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Patrick Parkinson,Mary Ann Quartullo,2,3
Bob Casey Jr,3,11,11,11,11,9,3,3
James G Donnelly Sr,,0,7,8,8,8,4,3
John Dellricci,,,0,7,7,7,5,3
Kathy Enggasser,,,,0,8,7,6,3
Patrick Parkinson,,,,,0,7,7,3
Mary Ann Quartullo,,,,,,1,8,3
Total,25,11,11,11,11,10,9,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,4
,Bob Casey Jr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,James G Donnelly Sr,Patrick Parkinson,2,4
Bob Casey Jr,6,10,10,9,6,6,3,4
Kathy Enggasser,,2,9,9,6,7,4,4
John Dellricci,,,0,9,6,7,5,4
Mary Ann Quartullo,,,,0,6,7,6,4
James G Donnelly Sr,,,,,0,6,7,4
Patrick Parkinson,,,,,,0,8,4
Total,20,13,11,10,7,7,9,4
