col_1,col_2,col_3,col_4,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,1,All
,Denise Furey,Walt Vogler,Calvin R Tucker,2,All
Denise Furey,8,35,33,3,All
Walt Vogler,,6,33,4,All
Calvin R Tucker,,,2,5,All
Total,45,43,37,6,All
,Member Of The - Republican State Committee 2nd Congressional District,,,1,1
,Calvin R Tucker,Denise Furey,Walt Vogler,2,1
Calvin R Tucker,0,1,1,3,1
Denise Furey,,0,1,4,1
Walt Vogler,,,0,5,1
Total,1,1,1,6,1
,Member Of The - Republican State Committee 2nd Congressional District,,,1,2
,Denise Furey,Walt Vogler,Calvin R Tucker,2,2
Denise Furey,1,5,5,3,2
Walt Vogler,,1,5,4,2
Calvin R Tucker,,,0,5,2
Total,6,6,5,6,2
,Member Of The - Republican State Committee 2nd Congressional District,,,1,3
,Calvin R Tucker,Denise Furey,Walt Vogler,2,3
Calvin R Tucker,0,1,1,3,3
Denise Furey,,0,1,4,3
Walt Vogler,,,0,5,3
Total,1,1,1,6,3
,Member Of The - Republican State Committee 2nd Congressional District,,,1,5
,Walt Vogler,Denise Furey,Calvin R Tucker,2,5
Walt Vogler,1,3,2,3,5
Denise Furey,,0,2,4,5
Calvin R Tucker,,,0,5,5
Total,4,3,2,6,5
,Member Of The - Republican State Committee 2nd Congressional District,,,1,6
,Calvin R Tucker,Denise Furey,Walt Vogler,2,6
Calvin R Tucker,0,3,3,3,6
Denise Furey,,0,3,4,6
Walt Vogler,,,0,5,6
Total,3,3,3,6,6
,Member Of The - Republican State Committee 2nd Congressional District,,,1,7
,Denise Furey,Walt Vogler,Calvin R Tucker,2,7
Denise Furey,2,6,5,3,7
Walt Vogler,,1,5,4,7
Calvin R Tucker,,,0,5,7
Total,8,7,5,6,7
,Member Of The - Republican State Committee 2nd Congressional District,,,1,9
,Denise Furey,Calvin R Tucker,Walt Vogler,2,9
Denise Furey,1,2,2,3,9
Calvin R Tucker,,0,2,4,9
Walt Vogler,,,0,5,9
Total,3,2,2,6,9
,Member Of The - Republican State Committee 2nd Congressional District,,,1,10
,Calvin R Tucker,Denise Furey,Walt Vogler,2,10
Calvin R Tucker,1,1,1,3,10
Denise Furey,,0,1,4,10
Walt Vogler,,,0,5,10
Total,2,1,1,6,10
,Member Of The - Republican State Committee 2nd Congressional District,,,1,12
,Calvin R Tucker,Walt Vogler,Denise Furey,2,12
Calvin R Tucker,0,4,2,3,12
Walt Vogler,,0,2,4,12
Denise Furey,,,1,5,12
Total,4,4,3,6,12
,Member Of The - Republican State Committee 2nd Congressional District,,,1,13
,Calvin R Tucker,Denise Furey,Walt Vogler,2,13
Calvin R Tucker,0,2,2,3,13
Denise Furey,,0,2,4,13
Walt Vogler,,,0,5,13
Total,2,2,2,6,13
,Member Of The - Republican State Committee 2nd Congressional District,,,1,14
,Denise Furey,Calvin R Tucker,Walt Vogler,2,14
Denise Furey,2,2,2,3,14
Calvin R Tucker,,0,2,4,14
Walt Vogler,,,0,5,14
Total,4,2,2,6,14
,Member Of The - Republican State Committee 2nd Congressional District,,,1,15
,Walt Vogler,Calvin R Tucker,Denise Furey,2,15
Walt Vogler,1,2,3,3,15
Calvin R Tucker,,1,2,4,15
Denise Furey,,,0,5,15
Total,4,3,3,6,15
,Member Of The - Republican State Committee 2nd Congressional District,,,1,22
,Calvin R Tucker,Denise Furey,Walt Vogler,2,22
Calvin R Tucker,0,1,0,3,22
Denise Furey,,0,0,4,22
Walt Vogler,,,0,5,22
Total,1,1,0,6,22
,Member Of The - Republican State Committee 2nd Congressional District,,,1,23
,Denise Furey,Walt Vogler,Calvin R Tucker,2,23
Denise Furey,1,4,4,3,23
Walt Vogler,,2,3,4,23
Calvin R Tucker,,,0,5,23
Total,6,6,4,6,23
