col_1,col_2,col_3,col_4,col_5,col_6,division
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,All
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,All
Tom Wolf,11,236,166,104,26,All
Sean Kilkenny,,65,0,0,0,All
Joe Hohenstein,,,24,0,0,All
Maggie Borski,,,,24,0,All
Dan Martino,,,,,9,All
Total,543,301,190,128,35,All
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,2
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,2
Tom Wolf,2,30,24,22,10,2
Sean Kilkenny,,16,0,0,0,2
Joe Hohenstein,,,4,0,0,2
Maggie Borski,,,,3,0,2
Dan Martino,,,,,0,2
Total,88,46,28,25,10,2
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,4
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Dan Martino,Maggie Borski,4
Tom Wolf,3,17,15,6,5,4
Sean Kilkenny,,3,0,0,0,4
Joe Hohenstein,,,1,0,0,4
Dan Martino,,,,0,0,4
Maggie Borski,,,,,1,4
Total,46,20,16,6,6,4
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,6
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,6
Tom Wolf,1,35,13,8,1,6
Sean Kilkenny,,12,0,0,0,6
Joe Hohenstein,,,5,0,0,6
Maggie Borski,,,,2,0,6
Dan Martino,,,,,0,6
Total,58,47,18,10,1,6
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,10
,Tom Wolf,Joe Hohenstein,Maggie Borski,Sean Kilkenny,Dan Martino,10
Tom Wolf,0,16,14,11,0,10
Joe Hohenstein,,1,0,0,0,10
Maggie Borski,,,1,0,0,10
Sean Kilkenny,,,,2,0,10
Dan Martino,,,,,0,10
Total,41,17,15,13,0,10
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,11
,Tom Wolf,Sean Kilkenny,Maggie Borski,Joe Hohenstein,Dan Martino,11
Tom Wolf,1,27,6,6,1,11
Sean Kilkenny,,6,0,0,0,11
Maggie Borski,,,1,0,0,11
Joe Hohenstein,,,,0,0,11
Dan Martino,,,,,0,11
Total,41,33,7,6,1,11
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,12
,Tom Wolf,Sean Kilkenny,Maggie Borski,Joe Hohenstein,Dan Martino,12
Tom Wolf,0,11,7,6,1,12
Sean Kilkenny,,1,0,0,0,12
Maggie Borski,,,2,0,0,12
Joe Hohenstein,,,,1,0,12
Dan Martino,,,,,0,12
Total,25,12,9,7,1,12
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,13
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,13
Tom Wolf,0,33,7,3,2,13
Sean Kilkenny,,11,0,0,0,13
Joe Hohenstein,,,2,0,0,13
Maggie Borski,,,,2,0,13
Dan Martino,,,,,1,13
Total,45,44,9,5,3,13
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,14
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,14
Tom Wolf,1,20,7,4,1,14
Sean Kilkenny,,7,0,0,0,14
Joe Hohenstein,,,3,0,0,14
Maggie Borski,,,,3,0,14
Dan Martino,,,,,0,14
Total,33,27,10,7,1,14
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,16
,Tom Wolf,Sean Kilkenny,Joe Hohenstein,Maggie Borski,Dan Martino,16
Tom Wolf,0,18,18,14,1,16
Sean Kilkenny,,3,0,0,0,16
Joe Hohenstein,,,2,0,0,16
Maggie Borski,,,,1,0,16
Dan Martino,,,,,1,16
Total,51,21,20,15,2,16
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,17
,Tom Wolf,Maggie Borski,Sean Kilkenny,Joe Hohenstein,Dan Martino,17
Tom Wolf,2,14,13,10,0,17
Maggie Borski,,5,0,0,0,17
Sean Kilkenny,,,1,0,0,17
Joe Hohenstein,,,,2,0,17
Dan Martino,,,,,4,17
Total,39,19,14,12,4,17
,Governor - Democrat,Representative In The General Assembly 177th District - Democrat,,,,18
,Tom Wolf,Joe Hohenstein,Sean Kilkenny,Maggie Borski,Dan Martino,18
Tom Wolf,1,44,21,7,3,18
Joe Hohenstein,,3,0,0,0,18
Sean Kilkenny,,,3,0,0,18
Maggie Borski,,,,3,0,18
Dan Martino,,,,,3,18
Total,76,47,24,10,6,18
