col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,All
,Jordan A Harris,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,All
Jordan A Harris,317,903,712,500,507,20,All
Mike Stack,,65,0,0,0,0,All
Nina Ahmad,,,53,0,0,0,All
John Fetterman,,,,52,0,0,All
Kathi Cozzone,,,,,31,0,All
Ray Sosa,,,,,,3,All
Total,"2,959",968,765,552,538,23,All
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,1
,Jordan A Harris,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,1
Jordan A Harris,11,28,22,21,9,0,1
Nina Ahmad,,2,0,0,0,0,1
Mike Stack,,,2,0,0,0,1
Kathi Cozzone,,,,0,0,0,1
John Fetterman,,,,,2,0,1
Ray Sosa,,,,,,0,1
Total,91,30,24,21,11,0,1
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,2
,Jordan A Harris,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2
Jordan A Harris,12,34,29,19,12,1,2
Nina Ahmad,,1,0,0,0,0,2
Mike Stack,,,2,0,0,0,2
John Fetterman,,,,4,0,0,2
Kathi Cozzone,,,,,1,0,2
Ray Sosa,,,,,,0,2
Total,107,35,31,23,13,1,2
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,3
,Jordan A Harris,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,3
Jordan A Harris,14,41,39,20,19,0,3
Nina Ahmad,,4,0,0,0,0,3
Mike Stack,,,2,0,0,0,3
John Fetterman,,,,2,0,0,3
Kathi Cozzone,,,,,0,0,3
Ray Sosa,,,,,,0,3
Total,133,45,41,22,19,0,3
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,4
,Jordan A Harris,Nina Ahmad,Kathi Cozzone,Mike Stack,John Fetterman,Ray Sosa,4
Jordan A Harris,9,20,11,8,7,0,4
Nina Ahmad,,1,0,0,0,0,4
Kathi Cozzone,,,0,0,0,0,4
Mike Stack,,,,0,0,0,4
John Fetterman,,,,,0,0,4
Ray Sosa,,,,,,0,4
Total,55,21,11,8,7,0,4
,Representative In The General Assembly 186th District - Democrat,Lieutenant Governor - Democrat,,,,,5
,Jordan A Harris,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,5
Jordan A Harris,15,27,26,27,7,2,5
Mike Stack,,4,0,0,0,0,5
