col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,2,All
Bob Casey Jr,351,"2,989","2,210","2,191","1,753","1,531","1,304","1,298","1,304",796,750,543,475,469,3,All
Kathryn S Huggins,,54,"1,950","1,917","1,609","1,380","1,136","1,152","1,157",639,675,477,373,397,4,All
Dewayne Drummond,,,9,"1,788","1,515","1,045","1,025",943,946,470,464,403,299,275,5,All
Ken Washington,,,,17,"1,531","1,021","1,013",939,903,504,423,391,289,232,6,All
Liam G Boyle,,,,,9,805,820,744,770,319,340,280,190,131,7,All
Lisa Rhodes,,,,,,6,420,"1,093",953,392,392,236,262,349,8,All
Kevin Bundy,,,,,,,10,350,343,433,336,334,216,158,9,All
Linda Norris,,,,,,,,0,870,339,354,192,202,286,10,All
Monica Maria Djerassi,,,,,,,,,0,302,452,199,239,268,11,All
John Brady,,,,,,,,,,7,252,202,194,150,12,All
Rebecca Poyourow,,,,,,,,,,,0,239,182,221,13,All
Nat Lownes,,,,,,,,,,,,1,142,126,14,All
Joe Khan,,,,,,,,,,,,,3,119,15,All
Jacque Whaumbush,,,,,,,,,,,,,,2,16,All
Total,"4,029","3,134","2,283","2,276","1,812","1,598","1,352","1,340","1,337",838,775,564,494,484,17,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Bob Casey Jr,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Jacque Whaumbush,Nat Lownes,2,1
Bob Casey Jr,9,32,28,25,22,18,16,15,12,5,5,3,2,2,3,1
Kathryn S Huggins,,2,27,25,22,19,17,15,11,5,5,2,2,2,4,1
Dewayne Drummond,,,0,25,23,18,17,16,10,6,4,4,2,1,5,1
Ken Washington,,,,1,22,17,16,14,9,4,3,2,2,2,6,1
Liam G Boyle,,,,,0,14,14,14,7,2,1,1,0,1,7,1
Linda Norris,,,,,,0,15,16,4,3,4,1,3,1,8,1
Monica Maria Djerassi,,,,,,,0,13,2,1,0,1,3,1,9,1
Lisa Rhodes,,,,,,,,0,2,2,2,1,1,0,10,1
Kevin Bundy,,,,,,,,,0,4,2,2,2,2,11,1
Rebecca Poyourow,,,,,,,,,,0,3,3,1,1,12,1
John Brady,,,,,,,,,,,0,1,0,0,13,1
Joe Khan,,,,,,,,,,,,0,1,0,14,1
Jacque Whaumbush,,,,,,,,,,,,,0,1,15,1
Nat Lownes,,,,,,,,,,,,,,0,16,1
Total,45,35,30,27,23,20,18,17,12,6,5,4,3,2,17,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Bob Casey Jr,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,John Brady,Linda Norris,Jacque Whaumbush,Nat Lownes,Rebecca Poyourow,Joe Khan,2,2
Bob Casey Jr,1,64,39,31,28,22,17,15,11,13,6,5,5,1,3,2
Kathryn S Huggins,,0,34,26,26,21,16,14,9,11,6,5,5,1,4,2
Ken Washington,,,0,27,27,15,14,15,4,12,5,3,5,1,5,2
Dewayne Drummond,,,,1,25,13,13,13,4,10,3,3,3,0,6,2
Liam G Boyle,,,,,0,11,13,10,2,11,0,3,1,0,7,2
Lisa Rhodes,,,,,,0,3,13,4,12,4,1,2,0,8,2
