col_1,col_2,col_3,division
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,All
,Christine M Tartaglione,Tom Wolf,All
Christine M Tartaglione,120,535,All
Tom Wolf,,103,All
Total,655,638,All
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,1
,Christine M Tartaglione,Tom Wolf,1
Christine M Tartaglione,6,26,1
Tom Wolf,,5,1
Total,32,31,1
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,2
,Christine M Tartaglione,Tom Wolf,2
Christine M Tartaglione,7,35,2
Tom Wolf,,4,2
Total,42,39,2
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,3
,Christine M Tartaglione,Tom Wolf,3
Christine M Tartaglione,5,19,3
Tom Wolf,,4,3
Total,24,23,3
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,4
,Christine M Tartaglione,Tom Wolf,4
Christine M Tartaglione,6,11,4
Tom Wolf,,2,4
Total,17,13,4
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,5
,Tom Wolf,Christine M Tartaglione,5
Tom Wolf,4,11,5
Christine M Tartaglione,,3,5
Total,15,14,5
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,6
,Christine M Tartaglione,Tom Wolf,6
Christine M Tartaglione,12,15,6
Tom Wolf,,2,6
Total,27,17,6
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,7
,Christine M Tartaglione,Tom Wolf,7
Christine M Tartaglione,9,31,7
Tom Wolf,,7,7
Total,40,38,7
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,8
,Christine M Tartaglione,Tom Wolf,8
Christine M Tartaglione,6,32,8
Tom Wolf,,3,8
Total,38,35,8
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,9
,Tom Wolf,Christine M Tartaglione,9
Tom Wolf,10,18,9
Christine M Tartaglione,,5,9
Total,28,23,9
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,10
,Christine M Tartaglione,Tom Wolf,10
Christine M Tartaglione,9,68,10
Tom Wolf,,7,10
Total,77,75,10
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,11
,Tom Wolf,Christine M Tartaglione,11
Tom Wolf,8,22,11
Christine M Tartaglione,,1,11
Total,30,23,11
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,12
,Christine M Tartaglione,Tom Wolf,12
Christine M Tartaglione,10,61,12
Tom Wolf,,6,12
Total,71,67,12
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,13
,Tom Wolf,Christine M Tartaglione,13
Tom Wolf,10,47,13
Christine M Tartaglione,,3,13
Total,57,50,13
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,14
,Tom Wolf,Christine M Tartaglione,14
Tom Wolf,4,14,14
Christine M Tartaglione,,1,14
Total,18,15,14
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,15
,Christine M Tartaglione,Tom Wolf,15
Christine M Tartaglione,14,33,15
Tom Wolf,,1,15
Total,47,34,15
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,16
,Christine M Tartaglione,Tom Wolf,16
Christine M Tartaglione,4,26,16
Tom Wolf,,4,16
Total,30,30,16
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,17
,Tom Wolf,Christine M Tartaglione,17
Tom Wolf,5,28,17
Christine M Tartaglione,,3,17
Total,33,31,17
,Senator In The General Assembly 2nd District - Democrat,Governor - Democrat,18
,Christine M Tartaglione,Tom Wolf,18
Christine M Tartaglione,14,24,18
Tom Wolf,,12,18
Total,38,36,18
,Governor - Democrat,Senator In The General Assembly 2nd District - Democrat,19
,Tom Wolf,Christine M Tartaglione,19
Tom Wolf,5,14,19
Christine M Tartaglione,,2,19
Total,19,16,19
