col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1
,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Judi Golding Baker,Mariel J K Martin,Tom Young,Andi Perez,Amanda Mcillmurray,Darrell L Clarke,Matthew D Myers,Joe Celentano,Noam Kugelmass,Jon Geeting,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,1
Marylouise Isaacson,0,92,107,106,103,91,98,84,74,73,53,37,30,57,59,21,21,0,1
Rhea Powell,,0,70,69,69,69,68,90,41,40,62,50,34,31,56,25,36,0,1
Micah Mahjoubian,,,0,81,80,77,79,61,62,58,43,33,22,47,44,18,18,0,1
Judi Golding Baker,,,,0,83,75,85,59,65,65,36,32,16,45,45,15,17,0,1
Mariel J K Martin,,,,,0,77,85,63,64,61,38,22,16,44,37,17,22,0,1
Tom Young,,,,,,1,71,50,50,58,53,40,23,39,40,21,20,0,1
Andi Perez,,,,,,,0,54,63,65,35,30,20,47,43,13,16,0,1
Amanda Mcillmurray,,,,,,,,0,31,32,50,35,24,22,48,17,19,0,1
Darrell L Clarke,,,,,,,,,0,57,19,17,12,39,28,12,11,0,1
Matthew D Myers,,,,,,,,,,0,25,13,15,40,23,17,8,0,1
Joe Celentano,,,,,,,,,,,0,32,25,15,24,20,19,0,1
Noam Kugelmass,,,,,,,,,,,,0,16,19,25,10,11,0,1
Jon Geeting,,,,,,,,,,,,,0,13,15,5,10,0,1
John Fetterman,,,,,,,,,,,,,,23,0,0,0,0,1
Nina Ahmad,,,,,,,,,,,,,,,16,0,0,0,1
Mike Stack,,,,,,,,,,,,,,,,6,0,0,1
Kathi Cozzone,,,,,,,,,,,,,,,,,0,0,1
Ray Sosa,,,,,,,,,,,,,,,,,,0,1
Total,158,149,128,122,121,121,119,106,90,88,78,65,43,102,98,46,43,0,1
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,2
,Marylouise Isaacson,Micah Mahjoubian,Judi Golding Baker,Rhea Powell,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Tom Young,Noam Kugelmass,Joe Celentano,Matthew D Myers,Jon Geeting,John Fetterman,Nina Ahmad,Kathi Cozzone,Mike Stack,Ray Sosa,2
Marylouise Isaacson,0,70,73,64,62,59,61,47,49,40,37,42,8,45,36,8,11,4,2
Micah Mahjoubian,,0,58,51,56,42,47,44,42,41,32,30,9,38,29,7,7,2,2
Judi Golding Baker,,,0,48,51,49,52,47,38,31,28,37,8,36,33,6,6,2,2
Rhea Powell,,,,0,45,52,36,31,34,38,42,22,10,31,29,7,9,3,2
Andi Perez,,,,,0,36,44,44,34,34,27,31,9,31,27,5,6,2,2
Amanda Mcillmurray,,,,,,0,44,26,23,26,32,19,8,24,25,8,7,4,2
Mariel J K Martin,,,,,,,0,33,35,20,21,30,6,33,21,5,6,3,2
Darrell L Clarke,,,,,,,,0,33,23,17,31,6,31,24,3,3,0,2
Tom Young,,,,,,,,,0,25,25,32,5,32,18,3,4,1,2
Noam Kugelmass,,,,,,,,,,0,27,14,8,26,12,4,8,2,2
Joe Celentano,,,,,,,,,,,0,10,6,19,14,4,7,2,2
Matthew D Myers,,,,,,,,,,,,0,2,22,18,2,2,1,2
Jon Geeting,,,,,,,,,,,,,0,6,7,1,1,0,2
John Fetterman,,,,,,,,,,,,,,10,0,0,0,0,2
Nina Ahmad,,,,,,,,,,,,,,,9,0,0,0,2
Kathi Cozzone,,,,,,,,,,,,,,,,2,0,0,2
Mike Stack,,,,,,,,,,,,,,,,,1,0,2
Ray Sosa,,,,,,,,,,,,,,,,,,0,2
Total,106,85,83,81,72,69,68,62,60,54,47,46,15,69,54,16,14,4,2
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,3
