col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Dewayne Drummond,Linda Norris,Ken Washington,Liam G Boyle,Joe Khan,Kevin Bundy,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Tom Wolf,"1,389",107,83,78,77,66,64,56,51,41,39,33,29,23,3,All
Kathryn S Huggins,,0,69,62,66,57,56,45,39,30,34,32,22,16,4,All
Monica Maria Djerassi,,,0,61,62,38,51,29,27,32,22,23,25,14,5,All
Lisa Rhodes,,,,0,54,37,58,29,22,29,18,23,24,15,6,All
Rebecca Poyourow,,,,,0,37,48,26,18,25,15,23,25,11,7,All
Dewayne Drummond,,,,,,0,28,38,34,22,26,18,15,12,8,All
Linda Norris,,,,,,,0,23,17,22,13,20,20,11,9,All
Ken Washington,,,,,,,,0,32,13,29,15,11,7,10,All
Liam G Boyle,,,,,,,,,0,13,26,11,5,9,11,All
Joe Khan,,,,,,,,,,0,14,10,11,9,12,All
Kevin Bundy,,,,,,,,,,,1,12,4,9,13,All
Nat Lownes,,,,,,,,,,,,0,9,4,14,All
Jacque Whaumbush,,,,,,,,,,,,,1,5,15,All
John Brady,,,,,,,,,,,,,,0,16,All
Total,"1,536",109,85,80,79,68,66,60,51,43,43,34,32,23,17,All
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Tom Wolf,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,1
Tom Wolf,95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Dewayne Drummond,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Jacque Whaumbush,,,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Joe Khan,,,,0,0,0,0,0,0,0,0,0,0,0,6,1
John Brady,,,,,0,0,0,0,0,0,0,0,0,0,7,1
Kathryn S Huggins,,,,,,0,0,0,0,0,0,0,0,0,8,1
Ken Washington,,,,,,,0,0,0,0,0,0,0,0,9,1
Kevin Bundy,,,,,,,,0,0,0,0,0,0,0,10,1
Liam G Boyle,,,,,,,,,0,0,0,0,0,0,11,1
Linda Norris,,,,,,,,,,0,0,0,0,0,12,1
Lisa Rhodes,,,,,,,,,,,0,0,0,0,13,1
Monica Maria Djerassi,,,,,,,,,,,,0,0,0,14,1
Nat Lownes,,,,,,,,,,,,,0,0,15,1
Rebecca Poyourow,,,,,,,,,,,,,,0,16,1
Total,95,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Tom Wolf,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,2
Tom Wolf,181,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Dewayne Drummond,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
Jacque Whaumbush,,,0,0,0,0,0,0,0,0,0,0,0,0,5,2
Joe Khan,,,,0,0,0,0,0,0,0,0,0,0,0,6,2
John Brady,,,,,0,0,0,0,0,0,0,0,0,0,7,2
Kathryn S Huggins,,,,,,0,0,0,0,0,0,0,0,0,8,2
Ken Washington,,,,,,,0,0,0,0,0,0,0,0,9,2
Kevin Bundy,,,,,,,,0,0,0,0,0,0,0,10,2
Liam G Boyle,,,,,,,,,0,0,0,0,0,0,11,2
Linda Norris,,,,,,,,,,0,0,0,0,0,12,2
Lisa Rhodes,,,,,,,,,,,0,0,0,0,13,2
Monica Maria Djerassi,,,,,,,,,,,,0,0,0,14,2
Nat Lownes,,,,,,,,,,,,,0,0,15,2
Rebecca Poyourow,,,,,,,,,,,,,,0,16,2
Total,181,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Tom Wolf,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Lisa Rhodes,Nat Lownes,Dewayne Drummond,Joe Khan,Jacque Whaumbush,Ken Washington,Liam G Boyle,John Brady,Kevin Bundy,2,3
Tom Wolf,6,8,7,7,6,6,3,2,2,1,1,1,0,0,3,3
Kathryn S Huggins,,0,6,6,5,5,3,2,1,1,1,0,0,0,4,3
Monica Maria Djerassi,,,0,7,6,6,3,2,2,1,1,0,0,0,5,3
Rebecca Poyourow,,,,0,6,6,3,2,2,1,1,0,0,0,6,3
Linda Norris,,,,,0,6,3,2,2,1,1,0,0,0,7,3
Lisa Rhodes,,,,,,0,3,2,2,1,1,0,0,0,8,3
Nat Lownes,,,,,,,0,2,0,0,1,0,0,0,9,3
Dewayne Drummond,,,,,,,,0,0,0,0,0,0,0,10,3
Joe Khan,,,,,,,,,0,1,0,0,0,0,11,3
Jacque Whaumbush,,,,,,,,,,0,0,0,0,0,12,3
Ken Washington,,,,,,,,,,,0,0,0,0,13,3
Liam G Boyle,,,,,,,,,,,,0,0,0,14,3
John Brady,,,,,,,,,,,,,0,0,15,3
Kevin Bundy,,,,,,,,,,,,,,0,16,3
Total,16,8,7,7,6,6,3,2,2,1,1,1,0,0,17,3
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Tom Wolf,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,4
Tom Wolf,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Dewayne Drummond,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Jacque Whaumbush,,,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Joe Khan,,,,0,0,0,0,0,0,0,0,0,0,0,6,4
John Brady,,,,,0,0,0,0,0,0,0,0,0,0,7,4
Kathryn S Huggins,,,,,,0,0,0,0,0,0,0,0,0,8,4
Ken Washington,,,,,,,0,0,0,0,0,0,0,0,9,4
Kevin Bundy,,,,,,,,0,0,0,0,0,0,0,10,4
Liam G Boyle,,,,,,,,,0,0,0,0,0,0,11,4
Linda Norris,,,,,,,,,,0,0,0,0,0,12,4
Lisa Rhodes,,,,,,,,,,,0,0,0,0,13,4
Monica Maria Djerassi,,,,,,,,,,,,0,0,0,14,4
Nat Lownes,,,,,,,,,,,,,0,0,15,4
Rebecca Poyourow,,,,,,,,,,,,,,0,16,4
Total,72,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Tom Wolf,Dewayne Drummond,Jacque Whaumbush,Joe Khan,John Brady,Kathryn S Huggins,Ken Washington,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Rebecca Poyourow,2,5
Tom Wolf,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Dewayne Drummond,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
Jacque Whaumbush,,,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Joe Khan,,,,0,0,0,0,0,0,0,0,0,0,0,6,5
John Brady,,,,,0,0,0,0,0,0,0,0,0,0,7,5
Kathryn S Huggins,,,,,,0,0,0,0,0,0,0,0,0,8,5
Ken Washington,,,,,,,0,0,0,0,0,0,0,0,9,5
Kevin Bundy,,,,,,,,0,0,0,0,0,0,0,10,5
Liam G Boyle,,,,,,,,,0,0,0,0,0,0,11,5
Linda Norris,,,,,,,,,,0,0,0,0,0,12,5
