V1,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,division
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,All
Kathy Coder,29,0,0,0,0,All
Jeff Bartos,,0,11,0,0,All
Diana Irey Vaughan,,7,,0,0,All
Peg Luksik,,,,4,0,All
Write In,,,,,1,All
Total,29,7,11,4,1,All
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,1
Kathy Coder,2,0,0,0,0,1
Peg Luksik,,0,0,2,0,1
Diana Irey Vaughan,,1,0,,0,1
Jeff Bartos,,,1,,0,1
Write In,,,,,1,1
Total,2,1,1,2,1,1
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,2
Kathy Coder,5,0,0,0,0,2
Diana Irey Vaughan,,1,0,0,0,2
Jeff Bartos,,,1,0,0,2
Peg Luksik,,,,1,0,2
Write In,,,,,1,2
Total,5,1,1,1,1,2
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,3
Jeff Bartos,0,0,3,0,0,3
Kathy Coder,2,0,,0,0,3
Diana Irey Vaughan,,1,,0,0,3
Peg Luksik,,,,1,0,3
Write In,,,,,1,3
Total,2,1,3,1,1,3
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,6
Kathy Coder,3,0,0,0,0,6
Diana Irey Vaughan,,1,0,0,0,6
Jeff Bartos,,,1,0,0,6
Peg Luksik,,,,1,0,6
Write In,,,,,1,6
Total,3,1,1,1,1,6
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,7
Diana Irey Vaughan,0,3,0,0,0,7
Jeff Bartos,0,,2,0,0,7
Kathy Coder,2,,,0,0,7
Peg Luksik,,,,1,0,7
Write In,,,,,1,7
Total,2,3,2,1,1,7
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,8
Jeff Bartos,0,0,3,0,0,8
Kathy Coder,2,0,,0,0,8
Diana Irey Vaughan,,1,,0,0,8
Peg Luksik,,,,1,0,8
Write In,,,,,1,8
Total,2,1,3,1,1,8
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,9
Jeff Bartos,0,0,2,0,0,9
Kathy Coder,2,0,,0,0,9
Diana Irey Vaughan,,1,,0,0,9
Peg Luksik,,,,1,0,9
Write In,,,,,1,9
Total,2,1,2,1,1,9
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,11
Kathy Coder,2,0,0,0,0,11
Diana Irey Vaughan,,1,0,0,0,11
Jeff Bartos,,,1,0,0,11
Peg Luksik,,,,1,0,11
Write In,,,,,1,11
Total,2,1,1,1,1,11
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,14
Kathy Coder,3,0,0,0,0,14
Diana Irey Vaughan,,2,0,0,0,14
Jeff Bartos,,,1,0,0,14
Peg Luksik,,,,1,0,14
Write In,,,,,1,14
Total,3,2,1,1,1,14
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,15
Kathy Coder,4,0,0,0,0,15
Diana Irey Vaughan,,2,0,0,0,15
Peg Luksik,,,0,2,0,15
Jeff Bartos,,,1,,0,15
Write In,,,,,1,15
Total,4,2,1,2,1,15
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,16
Jeff Bartos,0,0,3,0,0,16
Diana Irey Vaughan,0,1,,0,0,16
Kathy Coder,1,,,0,0,16
Peg Luksik,,,,1,0,16
Write In,,,,,1,16
Total,1,1,3,1,1,16
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,17
Kathy Coder,4,0,0,0,0,17
Diana Irey Vaughan,,1,0,0,0,17
Jeff Bartos,,,1,0,0,17
Peg Luksik,,,,1,0,17
Write In,,,,,1,17
Total,4,1,1,1,1,17
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,18
Kathy Coder,3,0,0,0,0,18
Diana Irey Vaughan,,1,0,0,0,18
Jeff Bartos,,,1,0,0,18
Peg Luksik,,,,1,0,18
Write In,,,,,1,18
Total,3,1,1,1,1,18
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,20
Kathy Coder,2,0,0,0,0,20
Diana Irey Vaughan,,1,0,0,0,20
Jeff Bartos,,,1,0,0,20
Peg Luksik,,,,1,0,20
Write In,,,,,1,20
Total,2,1,1,1,1,20
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,22
Diana Irey Vaughan,0,2,0,0,0,22
Kathy Coder,2,,0,0,0,22
Jeff Bartos,,,1,0,0,22
Peg Luksik,,,,1,0,22
Write In,,,,,1,22
Total,2,2,1,1,1,22
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,24
Jeff Bartos,0,0,3,0,0,24
Kathy Coder,3,0,,0,0,24
Peg Luksik,,0,,2,0,24
Diana Irey Vaughan,,1,,,0,24
Write In,,,,,1,24
Total,3,1,3,2,1,24
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,25
Kathy Coder,3,0,0,0,0,25
Diana Irey Vaughan,,2,0,0,0,25
Jeff Bartos,,,1,0,0,25
Peg Luksik,,,,1,0,25
Write In,,,,,1,25
Total,3,2,1,1,1,25
