col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,All
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,All
Camille G Mccolgan,87,298,420,265,324,3,All
Joseph Giedemann,,71,251,388,186,4,All
Margaret L Recupido,,,86,228,294,5,All
Dan Tinney,,,,49,151,6,All
Linwood Holland,,,,,93,7,All
Total,608,570,563,514,486,8,All
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,1
,Dan Tinney,Joseph Giedemann,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,2,1
Dan Tinney,0,1,0,1,1,3,1
Joseph Giedemann,,1,0,0,1,4,1
Camille G Mccolgan,,,1,0,0,5,1
Linwood Holland,,,,0,0,6,1
Margaret L Recupido,,,,,0,7,1
Total,2,2,1,1,1,8,1
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,2
,Linwood Holland,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Margaret L Recupido,2,2
Linwood Holland,2,3,3,1,1,3,2
Camille G Mccolgan,,1,3,1,1,4,2
Joseph Giedemann,,,1,1,1,5,2
Dan Tinney,,,,0,0,6,2
Margaret L Recupido,,,,,0,7,2
Total,5,4,4,1,1,8,2
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,3
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,2,3
Camille G Mccolgan,1,13,9,8,9,3,3
Margaret L Recupido,,2,7,6,8,4,3
Joseph Giedemann,,,1,8,4,5,3
Dan Tinney,,,,1,3,6,3
Linwood Holland,,,,,0,7,3
Total,16,15,11,10,10,8,3
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,4
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,4
Camille G Mccolgan,3,19,19,13,8,3,4
Dan Tinney,,1,24,10,4,4,4
Joseph Giedemann,,,1,9,6,5,4
Margaret L Recupido,,,,6,5,6,4
Linwood Holland,,,,,1,7,4
Total,29,29,28,23,11,8,4
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,5
,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,5
Linwood Holland,5,9,10,6,2,3,5
Camille G Mccolgan,,3,10,6,3,4,5
Margaret L Recupido,,,1,7,4,5,5
Joseph Giedemann,,,,2,3,6,5
Dan Tinney,,,,,1,7,5
Total,17,14,13,10,5,8,5
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,6
,Joseph Giedemann,Dan Tinney,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,2,6
Joseph Giedemann,1,11,7,5,3,3,6
Dan Tinney,,0,6,4,2,4,6
Camille G Mccolgan,,,0,7,5,5,6
Margaret L Recupido,,,,3,4,6,6
Linwood Holland,,,,,2,7,6
Total,15,13,10,10,7,8,6
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,7
,Dan Tinney,Joseph Giedemann,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,2,7
Dan Tinney,3,15,9,7,4,3,7
Joseph Giedemann,,0,10,9,5,4,7
Camille G Mccolgan,,,1,10,7,5,7
Linwood Holland,,,,2,6,6,7
Margaret L Recupido,,,,,4,7,7
Total,19,18,14,14,12,8,7
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,8
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,2,8
Camille G Mccolgan,2,6,1,2,4,3,8
Margaret L Recupido,,0,1,3,4,4,8
Joseph Giedemann,,,3,3,0,5,8
Dan Tinney,,,,0,1,6,8
Linwood Holland,,,,,0,7,8
Total,8,7,6,5,4,8,8
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,9
,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Dan Tinney,Linwood Holland,2,9
Camille G Mccolgan,4,13,18,10,9,3,9
Joseph Giedemann,,4,11,12,5,4,9
Margaret L Recupido,,,2,9,8,5,9
Dan Tinney,,,,1,2,6,9
Linwood Holland,,,,,2,7,9
Total,25,23,20,18,12,8,9
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,10
,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Joseph Giedemann,Dan Tinney,2,10
Camille G Mccolgan,2,8,11,6,2,3,10
Linwood Holland,,4,9,4,1,4,10
Margaret L Recupido,,,1,6,3,5,10
Joseph Giedemann,,,,1,4,6,10
Dan Tinney,,,,,1,7,10
Total,14,13,13,10,6,8,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,11
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Dan Tinney,Linwood Holland,2,11
Camille G Mccolgan,3,9,6,6,3,3,11
Margaret L Recupido,,1,6,6,3,4,11
Joseph Giedemann,,,2,7,0,5,11
Dan Tinney,,,,0,1,6,11
Linwood Holland,,,,,4,7,11
Total,12,10,9,8,8,8,11
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,12
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,Margaret L Recupido,2,12
Camille G Mccolgan,3,14,14,9,14,3,12
Joseph Giedemann,,2,9,13,8,4,12
Linwood Holland,,,2,6,10,5,12
Dan Tinney,,,,0,5,6,12
Margaret L Recupido,,,,,1,7,12
Total,23,21,18,15,15,8,12
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,13
,Joseph Giedemann,Linwood Holland,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,2,13
Joseph Giedemann,2,8,6,10,6,3,13
Linwood Holland,,3,8,6,8,4,13
Camille G Mccolgan,,,2,5,10,5,13
Dan Tinney,,,,1,6,6,13
Margaret L Recupido,,,,,2,7,13
Total,17,15,14,14,14,8,13
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,14
,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Dan Tinney,2,14
Camille G Mccolgan,1,9,11,11,6,3,14
Joseph Giedemann,,0,8,9,8,4,14
Linwood Holland,,,2,10,5,5,14
Margaret L Recupido,,,,0,5,6,14
Dan Tinney,,,,,0,7,14
Total,14,14,14,13,10,8,14
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,15
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,15
Camille G Mccolgan,0,1,1,1,0,3,15
Dan Tinney,,0,1,1,0,4,15
Joseph Giedemann,,,0,1,0,5,15
Margaret L Recupido,,,,0,0,6,15
Linwood Holland,,,,,0,7,15
Total,1,1,1,1,0,8,15
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,16
,Dan Tinney,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Linwood Holland,2,16
Dan Tinney,5,19,8,9,2,3,16
Joseph Giedemann,,1,10,11,4,4,16
Margaret L Recupido,,,4,14,9,5,16
Camille G Mccolgan,,,,3,8,6,16
Linwood Holland,,,,,2,7,16
Total,24,22,20,19,12,8,16
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,17
,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Linwood Holland,Dan Tinney,2,17
Margaret L Recupido,5,7,3,6,1,3,17
Camille G Mccolgan,,3,3,5,2,4,17
Joseph Giedemann,,,6,2,3,5,17
Linwood Holland,,,,1,1,6,17
Dan Tinney,,,,,2,7,17
Total,13,12,11,7,6,8,17
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,18
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,18
Linwood Holland,1,3,2,2,2,3,18
Camille G Mccolgan,,0,3,2,3,4,18
Dan Tinney,,,0,3,2,5,18
Joseph Giedemann,,,,0,1,6,18
Margaret L Recupido,,,,,1,7,18
Total,5,4,4,4,4,8,18
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,19
,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,2,19
Dan Tinney,7,13,1,4,4,3,19
Joseph Giedemann,,4,2,5,5,4,19
Linwood Holland,,,5,6,6,5,19
Margaret L Recupido,,,,2,10,6,19
Camille G Mccolgan,,,,,1,7,19
Total,20,18,12,12,11,8,19
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,20
,Camille G Mccolgan,Margaret L Recupido,Joseph Giedemann,Linwood Holland,Dan Tinney,2,20
Camille G Mccolgan,2,11,10,8,6,3,20
Margaret L Recupido,,1,10,8,6,4,20
Joseph Giedemann,,,0,8,6,5,20
Linwood Holland,,,,1,3,6,20
Dan Tinney,,,,,0,7,20
Total,14,13,12,11,7,8,20
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,21
,Linwood Holland,Joseph Giedemann,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,2,21
Linwood Holland,7,12,14,12,9,3,21
Joseph Giedemann,,5,13,16,9,4,21
Camille G Mccolgan,,,4,14,12,5,21
Dan Tinney,,,,2,9,6,21
Margaret L Recupido,,,,,5,7,21
Total,25,24,23,20,20,8,21
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,22
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Margaret L Recupido,2,22
Linwood Holland,5,11,7,7,9,3,22
Camille G Mccolgan,,3,7,8,9,4,22
Dan Tinney,,,3,12,6,5,22
Joseph Giedemann,,,,2,6,6,22
Margaret L Recupido,,,,,1,7,22
Total,18,17,17,17,12,8,22
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,23
,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Margaret L Recupido,Linwood Holland,2,23
Camille G Mccolgan,4,9,9,15,7,3,23
Joseph Giedemann,,2,14,9,5,4,23
Dan Tinney,,,2,9,3,5,23
Margaret L Recupido,,,,2,8,6,23
Linwood Holland,,,,,2,7,23
Total,20,20,18,18,12,8,23
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,24
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,2,24
Camille G Mccolgan,3,27,12,20,11,3,24
Margaret L Recupido,,4,11,19,10,4,24
Dan Tinney,,,1,9,23,5,24
Linwood Holland,,,,4,6,6,24
Joseph Giedemann,,,,,2,7,24
Total,32,32,29,28,27,8,24
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,25
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,2,25
Margaret L Recupido,1,11,9,8,6,3,25
Camille G Mccolgan,,0,7,5,6,4,25
Dan Tinney,,,0,10,5,5,25
Joseph Giedemann,,,,0,4,6,25
Linwood Holland,,,,,2,7,25
Total,15,13,12,12,12,8,25
,Member Of The - Republican State Committee 13th Congressional District,,,,,1,26
,Dan Tinney,Camille G Mccolgan,Joseph Giedemann,Margaret L Recupido,Linwood Holland,2,26
Dan Tinney,2,8,13,8,5,3,26
Camille G Mccolgan,,1,10,10,7,4,26
Joseph Giedemann,,,0,9,7,5,26
Margaret L Recupido,,,,0,6,6,26
Linwood Holland,,,,,2,7,26
Total,16,15,15,13,12,8,26
