col_1,col_2,order,division
,United States Senator - Democrat,1,All
,Bob Casey Jr,2,All
Bob Casey Jr,"2,025",3,All
Total,"2,025",4,All
,United States Senator - Democrat,1,1
,Bob Casey Jr,2,1
Bob Casey Jr,31,3,1
Total,31,4,1
,United States Senator - Democrat,1,2
,Bob Casey Jr,2,2
Bob Casey Jr,76,3,2
Total,76,4,2
,United States Senator - Democrat,1,3
,Bob Casey Jr,2,3
Bob Casey Jr,57,3,3
Total,57,4,3
,United States Senator - Democrat,1,4
,Bob Casey Jr,2,4
Bob Casey Jr,83,3,4
Total,83,4,4
,United States Senator - Democrat,1,5
,Bob Casey Jr,2,5
Bob Casey Jr,86,3,5
Total,86,4,5
,United States Senator - Democrat,1,6
,Bob Casey Jr,2,6
Bob Casey Jr,161,3,6
Total,161,4,6
,United States Senator - Democrat,1,7
,Bob Casey Jr,2,7
Bob Casey Jr,58,3,7
Total,58,4,7
,United States Senator - Democrat,1,8
,Bob Casey Jr,2,8
Bob Casey Jr,59,3,8
Total,59,4,8
,United States Senator - Democrat,1,9
,Bob Casey Jr,2,9
Bob Casey Jr,72,3,9
Total,72,4,9
,United States Senator - Democrat,1,10
,Bob Casey Jr,2,10
Bob Casey Jr,47,3,10
Total,47,4,10
,United States Senator - Democrat,1,11
,Bob Casey Jr,2,11
Bob Casey Jr,66,3,11
Total,66,4,11
,United States Senator - Democrat,1,12
,Bob Casey Jr,2,12
Bob Casey Jr,90,3,12
Total,90,4,12
,United States Senator - Democrat,1,13
,Bob Casey Jr,2,13
Bob Casey Jr,67,3,13
Total,67,4,13
,United States Senator - Democrat,1,14
,Bob Casey Jr,2,14
Bob Casey Jr,120,3,14
Total,120,4,14
,United States Senator - Democrat,1,15
,Bob Casey Jr,2,15
Bob Casey Jr,88,3,15
Total,88,4,15
,United States Senator - Democrat,1,16
,Bob Casey Jr,2,16
Bob Casey Jr,71,3,16
Total,71,4,16
,United States Senator - Democrat,1,17
,Bob Casey Jr,2,17
Bob Casey Jr,70,3,17
Total,70,4,17
,United States Senator - Democrat,1,18
,Bob Casey Jr,2,18
Bob Casey Jr,70,3,18
Total,70,4,18
,United States Senator - Democrat,1,19
,Bob Casey Jr,2,19
Bob Casey Jr,48,3,19
Total,48,4,19
,United States Senator - Democrat,1,20
,Bob Casey Jr,2,20
Bob Casey Jr,65,3,20
Total,65,4,20
,United States Senator - Democrat,1,21
,Bob Casey Jr,2,21
Bob Casey Jr,58,3,21
Total,58,4,21
,United States Senator - Democrat,1,22
,Bob Casey Jr,2,22
Bob Casey Jr,66,3,22
Total,66,4,22
,United States Senator - Democrat,1,23
,Bob Casey Jr,2,23
Bob Casey Jr,67,3,23
Total,67,4,23
,United States Senator - Democrat,1,24
,Bob Casey Jr,2,24
Bob Casey Jr,73,3,24
Total,73,4,24
,United States Senator - Democrat,1,25
,Bob Casey Jr,2,25
Bob Casey Jr,84,3,25
Total,84,4,25
,United States Senator - Democrat,1,26
,Bob Casey Jr,2,26
Bob Casey Jr,68,3,26
Total,68,4,26
,United States Senator - Democrat,1,27
,Bob Casey Jr,2,27
Bob Casey Jr,53,3,27
Total,53,4,27
,United States Senator - Democrat,1,28
,Bob Casey Jr,2,28
Bob Casey Jr,71,3,28
Total,71,4,28
