col_1,col_2,col_3,col_4,order,division
Michele Lawrence,,7,0,4,11
Brendan F Boyle,,,0,5,11
Total,73,58,17,6,11
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,12
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,12
Tom Wolf,11,28,23,3,12
Brendan F Boyle,,3,0,4,12
Michele Lawrence,,,7,5,12
Total,62,31,30,6,12
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,13
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,13
Tom Wolf,3,14,9,3,13
Michele Lawrence,,5,0,4,13
Brendan F Boyle,,,3,5,13
Total,26,19,12,6,13
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,14
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,14
Tom Wolf,5,38,31,3,14
Brendan F Boyle,,2,0,4,14
Michele Lawrence,,,4,5,14
Total,74,40,35,6,14
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,15
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,15
Tom Wolf,7,51,11,3,15
Brendan F Boyle,,1,0,4,15
Michele Lawrence,,,0,5,15
Total,69,52,11,6,15
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,16
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,16
Tom Wolf,6,63,25,3,16
Brendan F Boyle,,4,0,4,16
Michele Lawrence,,,0,5,16
Total,94,67,25,6,16
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,17
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,17
Tom Wolf,9,54,38,3,17
Brendan F Boyle,,2,0,4,17
Michele Lawrence,,,2,5,17
Total,101,56,40,6,17
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,18
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,18
Tom Wolf,9,78,53,3,18
Brendan F Boyle,,4,0,4,18
Michele Lawrence,,,0,5,18
Total,140,82,53,6,18
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,19
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,19
Tom Wolf,7,54,26,3,19
Brendan F Boyle,,6,0,4,19
Michele Lawrence,,,2,5,19
Total,87,60,28,6,19
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,20
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,20
Tom Wolf,3,67,43,3,20
Brendan F Boyle,,6,0,4,20
Michele Lawrence,,,1,5,20
Total,113,73,44,6,20
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,21
,Tom Wolf,Brendan F Boyle,Michele Lawrence,2,21
Tom Wolf,1,86,53,3,21
Brendan F Boyle,,11,0,4,21
Michele Lawrence,,,0,5,21
Total,140,97,53,6,21
,Governor - Democrat,Representative In Congress 2nd District - Democrat,,1,22
,Tom Wolf,Michele Lawrence,Brendan F Boyle,2,22
Tom Wolf,8,58,51,3,22
Michele Lawrence,,2,0,4,22
Brendan F Boyle,,,5,5,22
Total,117,60,56,6,22
