col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,All
,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Judi Golding Baker,Tom Young,Mariel J K Martin,Noam Kugelmass,Darrell L Clarke,Joe Celentano,Matthew D Myers,Jon Geeting,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,All
Rhea Powell,"1,609","9,855","9,802","8,426","8,128","7,991","7,330","7,600","7,255","5,205","6,857","3,573","4,461",0,0,0,0,0,0,0,0,0,All
Marylouise Isaacson,,223,"9,322","9,030","8,553","8,061","7,352","8,750","5,825","6,250","5,042","4,976","3,575",0,0,0,0,0,0,0,0,0,All
Amanda Mcillmurray,,,473,"7,427","6,391","7,570","5,728","7,342","5,640","4,521","5,046","3,419","3,694",0,0,0,0,0,0,0,0,0,All
Andi Perez,,,,184,"7,595","6,404","6,739","7,625","5,267","5,741","4,644","4,461","3,736",0,0,0,0,0,0,0,0,0,All
Micah Mahjoubian,,,,,449,"5,526","7,162","6,596","5,704","5,293","5,099","4,022","2,945",0,0,0,0,0,0,0,0,0,All
Judi Golding Baker,,,,,,550,"4,525","6,337","5,061","4,776","3,433","4,473","2,976",0,0,0,0,0,0,0,0,0,All
Tom Young,,,,,,,570,"5,860","5,545","4,737","5,510","4,220","3,361",0,0,0,0,0,0,0,0,0,All
Mariel J K Martin,,,,,,,,103,"4,365","5,472","3,764","4,524","2,658",0,0,0,0,0,0,0,0,0,All
Noam Kugelmass,,,,,,,,,293,"3,036","4,586","2,928","3,238",0,0,0,0,0,0,0,0,0,All
Darrell L Clarke,,,,,,,,,,780,"2,590","4,492","2,125",0,0,0,0,0,0,0,0,0,All
Joe Celentano,,,,,,,,,,,644,"2,196","3,183",0,0,0,0,0,0,0,0,0,All
Matthew D Myers,,,,,,,,,,,,493,"2,053",0,0,0,0,0,0,0,0,0,All
Jon Geeting,,,,,,,,,,,,,352,0,0,0,0,0,0,0,0,0,All
Jaime Bouldin,,,,,,,,,,,,,,"2,400","6,689","6,493","5,655","5,676","5,297","5,059","4,928","4,966",All
David Rodriguez,,,,,,,,,,,,,,,"1,182","6,676","5,585","5,615","5,264","5,032","4,926","4,909",All
Humberto Perez,,,,,,,,,,,,,,,,878,"5,455","5,471","5,137","4,945","4,851","4,817",All
Barbara Carroll,,,,,,,,,,,,,,,,,530,"6,175","5,631","5,124","4,990","4,989",All
Sharon Vaughn,,,,,,,,,,,,,,,,,,414,"5,690","5,158","5,026","5,003",All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,205,"4,856","4,955","4,961",All
Dustin Morris,,,,,,,,,,,,,,,,,,,,145,"4,710","4,701",All
Robert Taylor,,,,,,,,,,,,,,,,,,,,,81,"4,791",All
Jonathan M Gary,,,,,,,,,,,,,,,,,,,,,,68,All
Total,"16,573","14,538","13,171","12,762","12,513","12,008","11,961","11,599","10,381","10,118","9,300","8,263","6,726","9,944","8,656","8,100","7,236","7,160","6,282","5,564","5,405","5,346",All
