col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Joe Khan,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Ken Washington,Dewayne Drummond,John Brady,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,All
Kathryn S Huggins,126,928,719,499,710,715,673,571,564,348,382,372,206,3,All
Rebecca Poyourow,,50,724,677,683,704,659,428,410,441,474,255,182,4,All
Liam G Boyle,,,95,479,407,402,406,458,397,421,311,327,134,5,All
Joe Khan,,,,39,356,386,322,225,222,392,321,181,114,6,All
Lisa Rhodes,,,,,9,553,650,291,324,233,348,168,136,7,All
Monica Maria Djerassi,,,,,,2,518,273,281,234,334,191,143,8,All
Linda Norris,,,,,,,6,295,290,217,308,146,124,9,All
Ken Washington,,,,,,,,19,436,182,146,254,122,10,All
Dewayne Drummond,,,,,,,,,11,159,144,257,130,11,All
John Brady,,,,,,,,,,20,256,180,93,12,All
Jacque Whaumbush,,,,,,,,,,,6,101,85,13,All
Kevin Bundy,,,,,,,,,,,,14,101,14,All
Nat Lownes,,,,,,,,,,,,,2,15,All
Total,"1,408","1,382","1,125",926,892,877,845,709,671,650,603,487,280,16,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Kathryn S Huggins,Rebecca Poyourow,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Liam G Boyle,Joe Khan,Jacque Whaumbush,Ken Washington,Dewayne Drummond,John Brady,Kevin Bundy,Nat Lownes,2,1
Kathryn S Huggins,3,41,41,36,32,24,23,19,19,12,8,9,7,3,1
Rebecca Poyourow,,3,37,33,31,20,19,20,15,11,7,6,5,4,1
Monica Maria Djerassi,,,0,34,31,18,18,19,17,12,7,9,7,5,1
Lisa Rhodes,,,,0,33,15,16,17,11,8,9,7,8,6,1
Linda Norris,,,,,0,17,13,13,11,6,6,4,7,7,1
Liam G Boyle,,,,,,2,15,9,9,6,8,7,2,8,1
Joe Khan,,,,,,,2,13,5,6,8,6,2,9,1
Jacque Whaumbush,,,,,,,,0,10,7,6,2,3,10,1
Ken Washington,,,,,,,,,0,7,5,3,1,11,1
Dewayne Drummond,,,,,,,,,,0,2,4,3,12,1
John Brady,,,,,,,,,,,0,5,0,13,1
Kevin Bundy,,,,,,,,,,,,0,0,14,1
Nat Lownes,,,,,,,,,,,,,0,15,1
Total,55,50,46,42,37,31,30,25,20,15,13,11,8,16,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Dewayne Drummond,Linda Norris,Lisa Rhodes,Ken Washington,Joe Khan,Jacque Whaumbush,Kevin Bundy,John Brady,Nat Lownes,2,2
Kathryn S Huggins,6,45,37,40,34,35,28,25,20,16,16,10,13,3,2
Rebecca Poyourow,,0,33,38,27,30,26,21,20,19,12,11,13,4,2
Liam G Boyle,,,2,27,26,21,17,20,14,10,16,10,6,5,2
Monica Maria Djerassi,,,,0,23,28,23,15,14,13,9,6,9,6,2
Dewayne Drummond,,,,,0,19,16,25,13,4,14,5,9,7,2
Linda Norris,,,,,,0,27,14,9,15,6,6,7,8,2
Lisa Rhodes,,,,,,,0,14,6,11,7,4,3,9,2
Ken Washington,,,,,,,,1,7,4,10,2,8,10,2
Joe Khan,,,,,,,,,1,7,9,9,3,11,2
Jacque Whaumbush,,,,,,,,,,0,2,4,6,12,2
Kevin Bundy,,,,,,,,,,,0,7,2,13,2
John Brady,,,,,,,,,,,,0,3,14,2
Nat Lownes,,,,,,,,,,,,,0,15,2
Total,64,55,47,43,38,38,32,30,26,20,20,17,15,16,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,4
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Ken Washington,Lisa Rhodes,Dewayne Drummond,Monica Maria Djerassi,Joe Khan,Kevin Bundy,Linda Norris,Jacque Whaumbush,John Brady,Nat Lownes,2,4
Kathryn S Huggins,6,18,13,12,13,13,13,7,12,10,6,4,6,3,4
Rebecca Poyourow,,1,13,11,13,12,14,10,11,11,10,8,6,4,4
Liam G Boyle,,,0,9,6,8,5,8,9,7,5,7,4,5,4
Ken Washington,,,,0,4,7,5,7,8,6,3,3,4,6,4
Lisa Rhodes,,,,,0,9,10,3,4,9,7,5,1,7,4
Dewayne Drummond,,,,,,0,9,1,7,6,6,3,3,8,4
Monica Maria Djerassi,,,,,,,0,4,6,8,5,3,3,9,4
Joe Khan,,,,,,,,0,5,4,3,3,2,10,4
Kevin Bundy,,,,,,,,,0,1,5,5,4,11,4
Linda Norris,,,,,,,,,,0,4,3,1,12,4
Jacque Whaumbush,,,,,,,,,,,0,5,1,13,4
John Brady,,,,,,,,,,,,0,1,14,4
Nat Lownes,,,,,,,,,,,,,1,15,4
Total,31,27,20,16,16,15,15,14,14,13,11,9,7,16,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Jacque Whaumbush,Dewayne Drummond,Joe Khan,John Brady,Ken Washington,Kevin Bundy,Nat Lownes,2,5
Kathryn S Huggins,7,39,31,31,28,25,21,23,18,17,20,17,9,3,5
Rebecca Poyourow,,0,31,31,29,25,26,14,20,19,15,10,10,4,5
Liam G Boyle,,,1,19,20,20,19,17,18,22,18,14,5,5,5
Monica Maria Djerassi,,,,0,24,25,18,13,15,13,12,10,5,6,5
Lisa Rhodes,,,,,0,29,26,13,9,12,11,6,6,7,5
Linda Norris,,,,,,0,21,11,14,12,9,5,6,8,5
Jacque Whaumbush,,,,,,,1,9,13,13,8,6,6,9,5
Dewayne Drummond,,,,,,,,4,10,8,17,14,6,10,5
Joe Khan,,,,,,,,,0,16,8,7,5,11,5
John Brady,,,,,,,,,,0,7,4,5,12,5
Ken Washington,,,,,,,,,,,2,12,6,13,5
Kevin Bundy,,,,,,,,,,,,0,6,14,5
Nat Lownes,,,,,,,,,,,,,1,15,5
Total,64,51,48,43,39,37,35,34,34,34,30,21,14,16,5
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Kathryn S Huggins,Rebecca Poyourow,Lisa Rhodes,Monica Maria Djerassi,Joe Khan,Linda Norris,Liam G Boyle,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,John Brady,Nat Lownes,2,6
Kathryn S Huggins,2,23,20,21,16,17,11,14,13,11,9,3,5,3,6
Rebecca Poyourow,,0,22,21,20,19,13,9,9,14,5,9,5,4,6
Lisa Rhodes,,,0,19,15,19,6,8,11,11,5,3,4,5,6
Monica Maria Djerassi,,,,0,15,16,6,10,8,8,3,1,6,6,6
Joe Khan,,,,,0,13,10,8,7,8,3,7,4,7,6
Linda Norris,,,,,,0,5,7,6,10,3,1,2,8,6
Liam G Boyle,,,,,,,0,8,6,5,6,7,2,9,6
Ken Washington,,,,,,,,0,9,3,7,0,3,10,6
Dewayne Drummond,,,,,,,,,0,5,6,2,2,11,6
Jacque Whaumbush,,,,,,,,,,0,2,5,3,12,6
Kevin Bundy,,,,,,,,,,,0,1,2,13,6
John Brady,,,,,,,,,,,,0,1,14,6
Nat Lownes,,,,,,,,,,,,,0,15,6
Total,33,31,25,24,23,21,18,17,16,16,11,9,7,16,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,7
,Kathryn S Huggins,Rebecca Poyourow,Linda Norris,Monica Maria Djerassi,Liam G Boyle,Joe Khan,Lisa Rhodes,John Brady,Ken Washington,Dewayne Drummond,Jacque Whaumbush,Kevin Bundy,Nat Lownes,2,7
