col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,All
,Thomas P Murt,Lou Barletta,Jim Christiana,All
Thomas P Murt,27,124,61,All
Lou Barletta,,27,0,All
Jim Christiana,,,7,All
Total,212,151,68,All
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,16
,Thomas P Murt,Jim Christiana,Lou Barletta,16
Thomas P Murt,3,11,9,16
Jim Christiana,,1,0,16
Lou Barletta,,,2,16
Total,23,12,11,16
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,17
,Thomas P Murt,Lou Barletta,Jim Christiana,17
Thomas P Murt,6,28,4,17
Lou Barletta,,5,0,17
Jim Christiana,,,2,17
Total,38,33,6,17
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,18
,Thomas P Murt,Lou Barletta,Jim Christiana,18
Thomas P Murt,1,31,9,18
Lou Barletta,,5,0,18
Jim Christiana,,,1,18
Total,41,36,10,18
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,19
,Thomas P Murt,Lou Barletta,Jim Christiana,19
Thomas P Murt,6,33,16,19
Lou Barletta,,6,0,19
Jim Christiana,,,0,19
Total,55,39,16,19
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,20
,Thomas P Murt,Lou Barletta,Jim Christiana,20
Thomas P Murt,3,5,4,20
Lou Barletta,,4,0,20
Jim Christiana,,,2,20
Total,12,9,6,20
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,21
,Thomas P Murt,Lou Barletta,Jim Christiana,21
Thomas P Murt,5,8,11,21
Lou Barletta,,5,0,21
Jim Christiana,,,1,21
Total,24,13,12,21
,Representative In The General Assembly 152nd District - Republican,United States Senator - Republican,,24
,Thomas P Murt,Lou Barletta,Jim Christiana,24
Thomas P Murt,3,10,6,24
Lou Barletta,,0,0,24
Jim Christiana,,,0,24
Total,19,10,6,24
