col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Brendan F Boyle,Michele Lawrence,1
Mike Stack,4,0,0,0,0,10,5,1
Nina Ahmad,,0,0,0,0,1,5,1
Kathi Cozzone,,,2,0,0,2,0,1
John Fetterman,,,,0,0,1,1,1
Ray Sosa,,,,,0,0,1,1
Brendan F Boyle,,,,,,3,0,1
Michele Lawrence,,,,,,,1,1
Total,19,6,4,2,1,17,13,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,2
,Michele Lawrence,Brendan F Boyle,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2
Michele Lawrence,0,0,8,5,3,2,0,2
Brendan F Boyle,,0,7,1,2,1,1,2
Mike Stack,,,2,0,0,0,0,2
Kathi Cozzone,,,,1,0,0,0,2
Nina Ahmad,,,,,0,0,0,2
John Fetterman,,,,,,0,0,2
Ray Sosa,,,,,,,0,2
Total,18,12,17,7,5,3,1,2
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,3
,Brendan F Boyle,Michele Lawrence,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,3
Brendan F Boyle,0,0,10,2,4,2,0,3
Michele Lawrence,,0,2,3,1,2,0,3
Mike Stack,,,1,0,0,0,0,3
Kathi Cozzone,,,,0,0,0,0,3
Nina Ahmad,,,,,0,0,0,3
John Fetterman,,,,,,0,0,3
Ray Sosa,,,,,,,0,3
Total,18,8,13,5,5,4,0,3
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,4
,Brendan F Boyle,Michele Lawrence,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,4
Brendan F Boyle,1,0,13,5,0,3,0,4
Michele Lawrence,,1,4,2,7,2,0,4
Mike Stack,,,1,0,0,0,0,4
John Fetterman,,,,1,0,0,0,4
Kathi Cozzone,,,,,1,0,0,4
Nina Ahmad,,,,,,0,0,4
Ray Sosa,,,,,,,0,4
Total,22,16,18,8,8,5,0,4
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,5
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Brendan F Boyle,Michele Lawrence,5
Mike Stack,3,0,0,0,0,6,5,5
John Fetterman,,1,0,0,0,4,0,5
Nina Ahmad,,,0,0,0,2,2,5
Kathi Cozzone,,,,0,0,1,0,5
Ray Sosa,,,,,0,0,0,5
Brendan F Boyle,,,,,,0,0,5
Michele Lawrence,,,,,,,1,5
Total,14,5,4,1,0,13,8,5
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,6
