col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Lieutenant Governor - Democrat,,,,,Member Of The Democratic State Committee 5th Senatorial District,,,,,All
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Kathy Enggasser,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,All
Mike Stack,"45,776",0,0,0,0,"3,416","3,714","3,409","3,273","2,976",All
Nina Ahmad,,"35,429",0,0,0,"1,098",917,891,"1,065",841,All
John Fetterman,,,"22,211",0,0,"1,057","1,031",986,"1,029",913,All
Kathi Cozzone,,,,"19,779",0,998,814,"1,008",929,748,All
Ray Sosa,,,,,"1,221",73,76,71,70,69,All
Kathy Enggasser,,,,,,50,"5,068","5,081","5,564","4,935",All
James G Donnelly Sr,,,,,,,60,"5,105","5,070","5,013",All
John Dellricci,,,,,,,,73,"5,125","4,930",All
Mary Ann Quartullo,,,,,,,,,43,"4,917",All
Patrick Parkinson,,,,,,,,,,33,All
Total,"51,259","36,843","23,719","21,302","1,329","6,762","6,681","6,512","6,483","5,645",All
