col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Tom Wolf,Dwight Evans,Kevin Johnson,2,All
Tom Wolf,105,"1,467",395,3,All
Dwight Evans,,97,0,4,All
Kevin Johnson,,,32,5,All
Total,"1,967","1,564",427,6,All
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Tom Wolf,Dwight Evans,Kevin Johnson,2,1
Tom Wolf,1,71,11,3,1
Dwight Evans,,0,0,4,1
Kevin Johnson,,,0,5,1
Total,83,71,11,6,1
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,2
,Tom Wolf,Dwight Evans,Kevin Johnson,2,2
Tom Wolf,3,80,24,3,2
Dwight Evans,,6,0,4,2
Kevin Johnson,,,2,5,2
Total,107,86,26,6,2
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Tom Wolf,Dwight Evans,Kevin Johnson,2,3
Tom Wolf,4,47,17,3,3
Dwight Evans,,1,0,4,3
Kevin Johnson,,,1,5,3
Total,68,48,18,6,3
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Tom Wolf,Dwight Evans,Kevin Johnson,2,4
Tom Wolf,3,67,7,3,4
Dwight Evans,,6,0,4,4
Kevin Johnson,,,0,5,4
Total,77,73,7,6,4
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Tom Wolf,Dwight Evans,Kevin Johnson,2,5
Tom Wolf,5,52,18,3,5
Dwight Evans,,1,0,4,5
Kevin Johnson,,,0,5,5
Total,75,53,18,6,5
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Tom Wolf,Dwight Evans,Kevin Johnson,2,6
Tom Wolf,5,49,11,3,6
Dwight Evans,,4,0,4,6
Kevin Johnson,,,1,5,6
Total,65,53,12,6,6
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Tom Wolf,Dwight Evans,Kevin Johnson,2,7
Tom Wolf,4,64,6,3,7
Dwight Evans,,6,0,4,7
Kevin Johnson,,,0,5,7
Total,74,70,6,6,7
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Tom Wolf,Dwight Evans,Kevin Johnson,2,8
Tom Wolf,5,54,29,3,8
Dwight Evans,,2,0,4,8
Kevin Johnson,,,3,5,8
Total,88,56,32,6,8
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Tom Wolf,Dwight Evans,Kevin Johnson,2,9
Tom Wolf,10,147,60,3,9
Dwight Evans,,7,0,4,9
Kevin Johnson,,,5,5,9
Total,217,154,65,6,9
