col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,1
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,1
Bob Casey Jr,6,24,25,23,23,17,16,15,13,11,1
Mona Getzes Cohen,,5,17,19,20,14,12,11,9,7,1
James Harrity,,,0,20,18,17,15,13,12,10,1
Erica Vanstone,,,,0,21,18,17,14,13,11,1
Meagan Ingerson,,,,,0,15,14,12,10,8,1
Richard Lombardo,,,,,,0,14,11,10,8,1
Catherine Bartch,,,,,,,0,9,7,8,1
Billy Cortes,,,,,,,,0,7,6,1
Frank T Brzozowski,,,,,,,,,0,6,1
Marnie Aument Loughrey,,,,,,,,,,0,1
Total,42,30,26,24,24,18,17,15,14,11,1
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,2
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Erica Vanstone,Frank T Brzozowski,Meagan Ingerson,Richard Lombardo,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2
Bob Casey Jr,4,30,28,22,22,20,20,17,15,12,2
Mona Getzes Cohen,,2,16,15,16,17,14,9,7,6,2
James Harrity,,,1,19,19,15,17,14,12,10,2
Erica Vanstone,,,,0,20,14,18,16,12,11,2
Frank T Brzozowski,,,,,0,14,19,15,13,12,2
Meagan Ingerson,,,,,,1,12,8,5,6,2
Richard Lombardo,,,,,,,0,15,11,10,2
Billy Cortes,,,,,,,,0,10,8,2
Catherine Bartch,,,,,,,,,0,9,2
Marnie Aument Loughrey,,,,,,,,,,0,2
Total,49,32,29,22,22,21,20,17,15,12,2
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,3
,Bob Casey Jr,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,3
Bob Casey Jr,7,29,22,21,15,13,11,11,10,9,3
Mona Getzes Cohen,,2,18,18,14,12,10,11,10,9,3
Meagan Ingerson,,,0,18,14,12,10,11,11,9,3
James Harrity,,,,0,13,13,9,10,9,8,3
Erica Vanstone,,,,,0,11,10,8,9,7,3
Richard Lombardo,,,,,,0,7,7,8,5,3
Catherine Bartch,,,,,,,0,5,7,3,3
Frank T Brzozowski,,,,,,,,0,5,8,3
Marnie Aument Loughrey,,,,,,,,,0,4,3
Billy Cortes,,,,,,,,,,0,3
Total,42,31,23,21,16,13,12,11,11,9,3
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,4
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Richard Lombardo,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,4
Bob Casey Jr,1,38,30,23,25,21,21,18,17,13,4
Mona Getzes Cohen,,4,22,18,22,16,17,14,12,8,4
James Harrity,,,0,21,19,18,19,15,14,12,4
Erica Vanstone,,,,0,14,21,21,18,16,13,4
Meagan Ingerson,,,,,0,14,13,10,9,6,4
Catherine Bartch,,,,,,0,20,19,14,14,4
Richard Lombardo,,,,,,,0,17,16,14,4
Marnie Aument Loughrey,,,,,,,,0,14,12,4
Frank T Brzozowski,,,,,,,,,0,11,4
Billy Cortes,,,,,,,,,,0,4
Total,53,43,33,26,26,24,24,21,19,15,4
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,5
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Billy Cortes,Catherine Bartch,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,5
Bob Casey Jr,6,30,27,24,22,20,18,19,17,9,5
Mona Getzes Cohen,,2,16,17,15,12,12,12,9,3,5
James Harrity,,,0,16,17,18,14,16,15,9,5
Meagan Ingerson,,,,1,14,14,11,12,10,3,5
Erica Vanstone,,,,,0,17,17,18,14,7,5
Billy Cortes,,,,,,0,14,16,14,9,5
Catherine Bartch,,,,,,,0,15,12,7,5
Richard Lombardo,,,,,,,,0,13,8,5
Frank T Brzozowski,,,,,,,,,0,8,5
Marnie Aument Loughrey,,,,,,,,,,0,5
Total,52,33,27,25,22,20,19,19,17,9,5
,United States Senator - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,6
,Bob Casey Jr,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,6
