To Remove,United States Senator - Republican,To Remove 2,To Remove 3,Lieutenant Governor - Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,All
,Lou Barletta,Jim Christiana,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,All
Lou Barletta,2,0,0,5,6,10,0,0,All
Jim Christiana,,3,0,10,7,1,0,0,All
Write In,,,1,0,0,0,0,0,All
Kathy Coder,,,,1,0,0,0,0,All
Diana Irey Vaughan,,,,,1,0,0,0,All
Jeff Bartos,,,,,,3,0,0,All
Peg Luksik,,,,,,,2,0,All
Total,27,24,1,18,16,16,3,0,All
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,1
,Lou Barletta,Jim Christiana,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,1
Lou Barletta,1,0,0,2,0,0,0,0,1
Jim Christiana,,1,0,0,0,0,0,0,1
Write In,,,1,0,0,0,0,0,1
Diana Irey Vaughan,,,,1,0,0,0,0,1
Kathy Coder,,,,,1,0,0,0,1
Jeff Bartos,,,,,,1,0,0,1
Peg Luksik,,,,,,,1,0,1
Total,5,2,1,4,3,1,1,0,1
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,2
,Lou Barletta,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Jim Christiana,Write In,0,2
Jeff Bartos,2,0,0,1,0,0,0,0,2
Diana Irey Vaughan,0,1,0,,0,0,0,0,2
Kathy Coder,0,,1,,0,0,0,0,2
Peg Luksik,0,,,,1,0,0,0,2
Lou Barletta,1,,,,,0,0,0,2
Jim Christiana,,,,,,2,0,0,2
Write In,,,,,,,1,0,2
Total,4,2,1,4,1,3,1,0,2
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,3
,Jim Christiana,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,3
Diana Irey Vaughan,0,0,0,1,0,0,0,0,3
Kathy Coder,0,1,0,,0,0,0,0,3
Jeff Bartos,0,,1,,0,0,0,0,3
Peg Luksik,0,,,,1,0,0,0,3
Jim Christiana,1,,,,,0,0,0,3
Lou Barletta,,,,,,1,0,0,3
Write In,,,,,,,1,0,3
Total,2,2,1,2,1,2,1,0,3
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,5
,Lou Barletta,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Jim Christiana,Write In,0,5
Diana Irey Vaughan,0,0,0,1,0,2,0,0,5
Jeff Bartos,1,1,0,,0,0,0,0,5
Kathy Coder,0,,1,,0,0,0,0,5
Peg Luksik,0,,,,1,0,0,0,5
Lou Barletta,1,,,,,0,0,0,5
Jim Christiana,,,,,,1,0,0,5
Write In,,,,,,,1,0,5
Total,5,3,2,5,1,4,1,0,5
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,6
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,6
Jim Christiana,2,0,0,1,0,0,0,0,6
Lou Barletta,,1,0,1,0,0,0,0,6
Write In,,,1,0,0,0,0,0,6
Kathy Coder,,,,1,0,0,0,0,6
Diana Irey Vaughan,,,,,1,0,0,0,6
Jeff Bartos,,,,,,1,0,0,6
Peg Luksik,,,,,,,1,0,6
Total,6,3,1,5,2,2,1,0,6
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,7
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,7
Jim Christiana,1,0,0,0,0,0,0,0,7
Lou Barletta,,1,0,0,0,0,0,0,7
Write In,,,1,0,0,0,0,0,7
Kathy Coder,,,,1,0,0,0,0,7
Diana Irey Vaughan,,,,,1,0,0,0,7
Jeff Bartos,,,,,,1,0,0,7
Peg Luksik,,,,,,,1,0,7
Total,2,1,1,2,1,1,1,0,7
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,8
,Jim Christiana,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,Kathy Coder,Lou Barletta,Write In,0,8
Jeff Bartos,0,0,0,1,0,0,0,0,8
Diana Irey Vaughan,0,1,0,,0,0,0,0,8
Peg Luksik,0,,1,,0,0,0,0,8
Kathy Coder,0,,,,1,0,0,0,8
Jim Christiana,1,,,,,0,0,0,8
Lou Barletta,,,,,,1,0,0,8
Write In,,,,,,,1,0,8
Total,3,2,2,3,1,3,1,0,8
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,9
,Jim Christiana,Lou Barletta,Write In,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,0,9
Jim Christiana,1,0,0,0,0,0,0,0,9
Lou Barletta,,1,0,0,0,0,0,0,9
Write In,,,1,0,0,0,0,0,9
Diana Irey Vaughan,,,,1,0,0,0,0,9
Kathy Coder,,,,,1,0,0,0,9
Jeff Bartos,,,,,,1,0,0,9
Peg Luksik,,,,,,,1,0,9
Total,3,1,1,2,2,1,1,0,9
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,10
,Lou Barletta,Jim Christiana,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,10
Lou Barletta,1,0,0,2,0,0,0,0,10
Jim Christiana,,1,0,0,0,0,0,0,10
Write In,,,1,0,0,0,0,0,10
Jeff Bartos,,,,1,0,0,0,0,10
Diana Irey Vaughan,,,,,1,0,0,0,10
Kathy Coder,,,,,,1,0,0,10
Peg Luksik,,,,,,,1,0,10
Total,5,2,1,4,2,2,1,0,10
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,11
,Jim Christiana,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Lou Barletta,Write In,0,11
Jeff Bartos,0,0,0,3,0,0,0,0,11
Kathy Coder,0,1,0,,0,0,0,0,11
Diana Irey Vaughan,0,,1,,0,0,0,0,11
Peg Luksik,0,,,,1,0,0,0,11
Jim Christiana,1,,,,,0,0,0,11
Lou Barletta,,,,,,1,0,0,11
Write In,,,,,,,1,0,11
Total,2,2,1,4,1,2,1,0,11
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,12
,Lou Barletta,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Jim Christiana,Write In,0,12
Jeff Bartos,0,0,0,1,0,0,0,0,12
Peg Luksik,0,2,0,,0,0,0,0,12
Diana Irey Vaughan,0,,1,,0,0,0,0,12
Kathy Coder,0,,,,1,0,0,0,12
Lou Barletta,1,,,,,0,0,0,12
Jim Christiana,,,,,,1,0,0,12
Write In,,,,,,,1,0,12
Total,2,2,1,2,1,1,1,0,12
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,13
,Lou Barletta,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Jim Christiana,Write In,0,13
Diana Irey Vaughan,0,0,0,1,0,0,0,0,13
Jeff Bartos,0,1,0,,0,0,0,0,13
Kathy Coder,0,,1,,0,0,0,0,13
Peg Luksik,0,,,,1,0,0,0,13
Lou Barletta,1,,,,,0,0,0,13
Jim Christiana,,,,,,1,0,0,13
Write In,,,,,,,1,0,13
Total,2,1,1,2,1,1,1,0,13
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,14
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,14
Jim Christiana,1,0,0,1,0,0,0,0,14
Lou Barletta,,2,0,0,0,0,0,0,14
Write In,,,1,0,0,0,0,0,14
Kathy Coder,,,,1,0,0,0,0,14
Diana Irey Vaughan,,,,,1,0,0,0,14
Jeff Bartos,,,,,,1,0,0,14
Peg Luksik,,,,,,,1,0,14
Total,3,2,1,3,1,1,1,0,14
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,15
,Lou Barletta,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Jim Christiana,Write In,0,15
Kathy Coder,0,0,0,1,0,0,0,0,15
Diana Irey Vaughan,0,1,0,,0,0,0,0,15
Jeff Bartos,0,,1,,0,0,0,0,15
Peg Luksik,0,,,,1,0,0,0,15
Lou Barletta,1,,,,,0,0,0,15
Jim Christiana,,,,,,1,0,0,15
Write In,,,,,,,1,0,15
Total,2,1,1,2,1,1,1,0,15
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,17
,Jim Christiana,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,17
Diana Irey Vaughan,0,0,0,1,0,0,0,0,17
Kathy Coder,0,1,0,,0,0,0,0,17
Jeff Bartos,0,,1,,0,0,0,0,17
Peg Luksik,0,,,,1,0,0,0,17
Jim Christiana,1,,,,,0,0,0,17
Lou Barletta,,,,,,1,0,0,17
Write In,,,,,,,1,0,17
Total,2,2,1,2,1,2,1,0,17
,United States Senator - Republican,,,Lieutenant Governor - Republican,,,,0,19
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,19
Jim Christiana,1,0,0,0,0,0,0,0,19
Lou Barletta,,1,0,0,0,0,0,0,19
Write In,,,1,0,0,0,0,0,19
Kathy Coder,,,,1,0,0,0,0,19
Diana Irey Vaughan,,,,,1,0,0,0,19
Jeff Bartos,,,,,,1,0,0,19
Peg Luksik,,,,,,,1,0,19
Total,2,1,1,2,1,1,1,0,19
