col_1,col_2,col_3,col_4,col_5,order,division
Diana Irey Vaughan,,1,0,0,4,20
Peg Luksik,,,1,0,5,20
Jeff Bartos,,,,0,6,20
Total,5,1,1,0,7,20
,Lieutenant Governor - Republican,,,,1,21
,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,21
Jeff Bartos,1,0,0,0,3,21
Kathy Coder,,1,0,0,4,21
Diana Irey Vaughan,,,0,0,5,21
Peg Luksik,,,,0,6,21
Total,1,1,0,0,7,21
,Lieutenant Governor - Republican,,,,1,22
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,22
Kathy Coder,2,0,0,0,3,22
Diana Irey Vaughan,,0,0,0,4,22
Jeff Bartos,,,0,0,5,22
Peg Luksik,,,,0,6,22
Total,2,0,0,0,7,22
,Lieutenant Governor - Republican,,,,1,23
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,23
Diana Irey Vaughan,3,0,0,0,3,23
Jeff Bartos,,0,0,0,4,23
Kathy Coder,,,0,0,5,23
Peg Luksik,,,,0,6,23
Total,3,0,0,0,7,23
