col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Tom Wolf,David Rodriguez,Jaime Bouldin,Humberto Perez,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,All
Tom Wolf,255,409,385,348,242,232,196,174,169,164,3,All
David Rodriguez,,16,261,260,176,173,168,157,153,147,4,All
Jaime Bouldin,,,11,244,174,178,164,150,152,153,5,All
Humberto Perez,,,,9,161,162,153,147,148,143,6,All
Sharon Vaughn,,,,,4,200,179,151,151,152,7,All
Barbara Carroll,,,,,,3,178,150,148,156,8,All
Latrice Y Bryant,,,,,,,2,157,152,141,9,All
Robert Taylor,,,,,,,,1,150,141,10,All
Jonathan M Gary,,,,,,,,,1,141,11,All
Dustin Morris,,,,,,,,,,0,12,All
Total,963,439,408,367,254,245,206,180,174,167,13,All
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Tom Wolf,Jaime Bouldin,Barbara Carroll,Humberto Perez,Sharon Vaughn,David Rodriguez,Dustin Morris,Robert Taylor,Latrice Y Bryant,Jonathan M Gary,2,1
Tom Wolf,4,28,23,23,20,19,18,17,17,15,3,1
Jaime Bouldin,,0,18,18,18,18,16,16,15,14,4,1
Barbara Carroll,,,0,14,19,13,17,16,17,15,5,1
Humberto Perez,,,,0,14,16,13,13,12,12,6,1
Sharon Vaughn,,,,,1,14,17,17,16,15,7,1
David Rodriguez,,,,,,0,12,14,12,12,8,1
Dustin Morris,,,,,,,0,15,14,14,9,1
Robert Taylor,,,,,,,,0,15,15,10,1
Latrice Y Bryant,,,,,,,,,0,15,11,1
Jonathan M Gary,,,,,,,,,,0,12,1
Total,47,29,23,23,22,20,18,18,17,15,13,1
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Tom Wolf,David Rodriguez,Sharon Vaughn,Humberto Perez,Jaime Bouldin,Barbara Carroll,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,2
Tom Wolf,15,34,27,23,21,17,15,12,12,12,3,2
David Rodriguez,,1,17,19,18,14,13,12,12,12,4,2
Sharon Vaughn,,,0,13,13,16,14,13,12,12,5,2
Humberto Perez,,,,0,19,13,10,12,12,11,6,2
Jaime Bouldin,,,,,0,13,10,12,12,11,7,2
Barbara Carroll,,,,,,1,12,13,12,11,8,2
Latrice Y Bryant,,,,,,,0,10,10,10,9,2
Jonathan M Gary,,,,,,,,0,11,11,10,2
Dustin Morris,,,,,,,,,0,11,11,2
Robert Taylor,,,,,,,,,,0,12,2
Total,70,37,28,24,24,19,15,13,12,12,13,2
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Latrice Y Bryant,Sharon Vaughn,Jonathan M Gary,Robert Taylor,Dustin Morris,2,3
Tom Wolf,10,17,13,10,7,6,6,5,5,3,3,3
David Rodriguez,,0,10,6,5,5,5,5,5,3,4,3
Humberto Perez,,,0,7,4,6,6,5,5,3,5,3
Jaime Bouldin,,,,0,4,5,5,4,4,3,6,3
Barbara Carroll,,,,,0,4,4,4,4,3,7,3
Latrice Y Bryant,,,,,,0,6,5,5,3,8,3
Sharon Vaughn,,,,,,,0,5,5,3,9,3
Jonathan M Gary,,,,,,,,0,5,3,10,3
Robert Taylor,,,,,,,,,0,3,11,3
Dustin Morris,,,,,,,,,,0,12,3
Total,34,17,13,10,7,6,6,5,5,3,13,3
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Tom Wolf,David Rodriguez,Humberto Perez,Barbara Carroll,Jaime Bouldin,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,2,4
Tom Wolf,8,12,12,7,8,6,6,4,3,3,3,4
David Rodriguez,,3,7,4,5,4,4,4,3,3,4,4
Humberto Perez,,,1,4,5,4,4,4,3,3,5,4
Barbara Carroll,,,,0,3,7,6,3,3,3,6,4
Jaime Bouldin,,,,,0,3,3,3,3,3,7,4
Sharon Vaughn,,,,,,0,6,3,3,3,8,4
Latrice Y Bryant,,,,,,,0,3,3,3,9,4
Jonathan M Gary,,,,,,,,0,3,3,10,4
Dustin Morris,,,,,,,,,0,3,11,4
Robert Taylor,,,,,,,,,,0,12,4
Total,31,15,13,8,8,7,6,4,3,3,13,4
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,Tom Wolf,Jaime Bouldin,David Rodriguez,Humberto Perez,Latrice Y Bryant,Sharon Vaughn,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,2,5
Tom Wolf,3,22,21,18,5,5,4,4,3,3,3,5
Jaime Bouldin,,0,14,14,5,4,4,4,3,3,4,5
David Rodriguez,,,0,14,4,2,2,4,3,3,5,5
Humberto Perez,,,,1,4,2,2,4,2,3,6,5
Latrice Y Bryant,,,,,0,3,3,4,2,3,7,5
Sharon Vaughn,,,,,,0,4,2,2,2,8,5
Barbara Carroll,,,,,,,0,2,2,2,9,5
Robert Taylor,,,,,,,,0,2,3,10,5
Dustin Morris,,,,,,,,,0,2,11,5
Jonathan M Gary,,,,,,,,,,0,12,5
Total,36,22,21,19,5,5,4,4,3,3,13,5
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Sharon Vaughn,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,6
Tom Wolf,9,11,7,6,3,2,3,2,2,1,3,6
David Rodriguez,,1,4,3,1,2,2,2,1,1,4,6
Humberto Perez,,,1,3,2,1,2,1,2,1,5,6
Jaime Bouldin,,,,0,1,1,1,1,1,1,6,6
Sharon Vaughn,,,,,1,1,1,1,2,1,7,6
Barbara Carroll,,,,,,1,1,1,1,1,8,6
Latrice Y Bryant,,,,,,,0,2,1,1,9,6
Dustin Morris,,,,,,,,0,1,1,10,6
Jonathan M Gary,,,,,,,,,0,1,11,6
Robert Taylor,,,,,,,,,,0,12,6
Total,28,13,9,6,4,3,3,2,2,1,13,6
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Tom Wolf,David Rodriguez,Humberto Perez,Jaime Bouldin,Latrice Y Bryant,Sharon Vaughn,Barbara Carroll,Dustin Morris,Jonathan M Gary,Robert Taylor,2,7
Tom Wolf,16,16,11,12,6,6,4,3,3,3,3,7
David Rodriguez,,0,9,9,6,6,3,3,3,3,4,7
Humberto Perez,,,1,5,3,3,3,3,3,3,5,7
Jaime Bouldin,,,,0,6,6,3,3,3,3,6,7
Latrice Y Bryant,,,,,1,5,2,2,3,3,7,7
Sharon Vaughn,,,,,,0,4,3,2,2,8,7
Barbara Carroll,,,,,,,0,3,2,2,9,7
Dustin Morris,,,,,,,,0,2,2,10,7
Jonathan M Gary,,,,,,,,,0,3,11,7
Robert Taylor,,,,,,,,,,0,12,7
Total,39,17,13,12,7,7,5,3,3,3,13,7
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,8
,Tom Wolf,David Rodriguez,Jaime Bouldin,Humberto Perez,Latrice Y Bryant,Barbara Carroll,Dustin Morris,Jonathan M Gary,Sharon Vaughn,Robert Taylor,2,8
Tom Wolf,6,11,10,8,6,5,5,5,5,4,3,8
David Rodriguez,,0,8,6,5,5,5,5,5,4,4,8
Jaime Bouldin,,,0,5,5,5,5,5,5,4,5,8
Humberto Perez,,,,0,5,5,4,4,5,4,6,8
Latrice Y Bryant,,,,,0,5,4,4,5,4,7,8
Barbara Carroll,,,,,,0,4,4,5,4,8,8
Dustin Morris,,,,,,,0,4,4,3,9,8
Jonathan M Gary,,,,,,,,0,4,4,10,8
Sharon Vaughn,,,,,,,,,0,4,11,8
Robert Taylor,,,,,,,,,,0,12,8
Total,22,11,10,8,6,5,5,5,5,4,13,8
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
,Tom Wolf,David Rodriguez,Barbara Carroll,Humberto Perez,Jaime Bouldin,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,9
Tom Wolf,11,23,20,19,18,18,16,14,12,12,3,9
David Rodriguez,,0,15,13,14,13,13,14,12,12,4,9
Barbara Carroll,,,0,13,15,16,16,13,12,11,5,9
Humberto Perez,,,,0,13,12,10,9,10,9,6,9
Jaime Bouldin,,,,,0,13,12,10,11,9,7,9
Sharon Vaughn,,,,,,0,13,10,11,10,8,9
Latrice Y Bryant,,,,,,,0,13,10,12,9,9
Robert Taylor,,,,,,,,0,10,12,10,9
Dustin Morris,,,,,,,,,0,10,11,9
Jonathan M Gary,,,,,,,,,,0,12,9
Total,47,24,21,19,18,18,17,15,12,12,13,9
,Governor - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,10
