col_1,col_2,col_3,col_4,order,division
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,All
,Bryan E Leib,Lou Barletta,Jim Christiana,2,All
Bryan E Leib,2,40,22,3,All
Lou Barletta,,14,0,4,All
Jim Christiana,,,12,5,All
Total,64,54,34,6,All
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,1
,Lou Barletta,Jim Christiana,Bryan E Leib,2,1
Lou Barletta,1,0,0,3,1
Jim Christiana,,0,0,4,1
Bryan E Leib,,,0,5,1
Total,1,0,0,6,1
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,2
,Bryan E Leib,Jim Christiana,Lou Barletta,2,2
Bryan E Leib,0,1,1,3,2
Jim Christiana,,1,0,4,2
Lou Barletta,,,0,5,2
Total,2,2,1,6,2
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,3
,Bryan E Leib,Lou Barletta,Jim Christiana,2,3
Bryan E Leib,0,1,0,3,3
Lou Barletta,,0,0,4,3
Jim Christiana,,,0,5,3
Total,1,1,0,6,3
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,5
,Bryan E Leib,Lou Barletta,Jim Christiana,2,5
Bryan E Leib,0,4,0,3,5
Lou Barletta,,0,0,4,5
Jim Christiana,,,1,5,5
Total,4,4,1,6,5
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,6
,Jim Christiana,Lou Barletta,Bryan E Leib,2,6
Jim Christiana,1,0,1,3,6
Lou Barletta,,0,0,4,6
Bryan E Leib,,,0,5,6
Total,2,0,1,6,6
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,7
,Bryan E Leib,Lou Barletta,Jim Christiana,2,7
Bryan E Leib,1,5,2,3,7
Lou Barletta,,2,0,4,7
Jim Christiana,,,1,5,7
Total,8,7,3,6,7
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,8
,Bryan E Leib,Lou Barletta,Jim Christiana,2,8
Bryan E Leib,0,1,0,3,8
Lou Barletta,,0,0,4,8
Jim Christiana,,,0,5,8
Total,1,1,0,6,8
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,10
,Bryan E Leib,Lou Barletta,Jim Christiana,2,10
Bryan E Leib,1,4,2,3,10
Lou Barletta,,2,0,4,10
Jim Christiana,,,1,5,10
Total,7,6,3,6,10
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,12
,Bryan E Leib,Lou Barletta,Jim Christiana,2,12
Bryan E Leib,0,3,1,3,12
Lou Barletta,,0,0,4,12
Jim Christiana,,,0,5,12
Total,4,3,1,6,12
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,13
,Bryan E Leib,Lou Barletta,Jim Christiana,2,13
Bryan E Leib,0,2,1,3,13
Lou Barletta,,0,0,4,13
Jim Christiana,,,0,5,13
Total,3,2,1,6,13
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,14
,Bryan E Leib,Jim Christiana,Lou Barletta,2,14
Bryan E Leib,0,3,2,3,14
Jim Christiana,,1,0,4,14
Lou Barletta,,,2,5,14
Total,5,4,4,6,14
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,15
,Lou Barletta,Jim Christiana,Bryan E Leib,2,15
Lou Barletta,2,0,1,3,15
Jim Christiana,,0,0,4,15
Bryan E Leib,,,0,5,15
Total,3,0,1,6,15
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,16
,Lou Barletta,Jim Christiana,Bryan E Leib,2,16
Lou Barletta,2,0,2,3,16
Jim Christiana,,1,1,4,16
Bryan E Leib,,,0,5,16
Total,4,2,3,6,16
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,17
,Bryan E Leib,Lou Barletta,Jim Christiana,2,17
Bryan E Leib,0,3,1,3,17
Lou Barletta,,0,0,4,17
Jim Christiana,,,1,5,17
Total,4,3,2,6,17
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,18
,Bryan E Leib,Jim Christiana,Lou Barletta,2,18
Bryan E Leib,0,1,0,3,18
Jim Christiana,,0,0,4,18
Lou Barletta,,,0,5,18
Total,1,1,0,6,18
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,19
,Bryan E Leib,Lou Barletta,Jim Christiana,2,19
Bryan E Leib,0,4,4,3,19
Lou Barletta,,2,0,4,19
Jim Christiana,,,1,5,19
Total,8,6,5,6,19
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,20
,Bryan E Leib,Lou Barletta,Jim Christiana,2,20
Bryan E Leib,0,3,0,3,20
Lou Barletta,,0,0,4,20
Jim Christiana,,,0,5,20
Total,3,3,0,6,20
,United States Senator - Republican,,Representative In Congress 3rd District - Republican,1,21
,Jim Christiana,Lou Barletta,Bryan E Leib,2,21
Jim Christiana,1,0,1,3,21
Lou Barletta,,0,0,4,21
Bryan E Leib,,,0,5,21
Total,2,0,1,6,21
,Representative In Congress 3rd District - Republican,United States Senator - Republican,,1,22
,Bryan E Leib,Jim Christiana,Lou Barletta,2,22
Bryan E Leib,0,3,4,3,22
Jim Christiana,,2,0,4,22
Lou Barletta,,,1,5,22
Total,7,5,5,6,22
