col_1,col_2,col_3,col_4,col_5,division
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,All
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,All
Bob Casey Jr,107,"1,011",325,139,All
Vanessa L Brown,,82,0,0,All
Ray Bailey,,,53,0,All
Wanda Logan,,,,20,All
Total,"1,582","1,093",378,159,All
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,1
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,1
Bob Casey Jr,2,58,7,6,1
Vanessa L Brown,,3,0,0,1
Ray Bailey,,,3,0,1
Wanda Logan,,,,0,1
Total,73,61,10,6,1
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,2
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,2
Bob Casey Jr,14,113,30,6,2
Vanessa L Brown,,13,0,0,2
Ray Bailey,,,4,0,2
Wanda Logan,,,,4,2
Total,163,126,34,10,2
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,3
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,3
Bob Casey Jr,0,10,4,3,3
Vanessa L Brown,,0,0,0,3
Ray Bailey,,,0,0,3
Wanda Logan,,,,0,3
Total,17,10,4,3,3
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,4
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,4
Bob Casey Jr,6,50,17,9,4
Vanessa L Brown,,6,0,0,4
Ray Bailey,,,2,0,4
Wanda Logan,,,,1,4
Total,82,56,19,10,4
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,6
,Bob Casey Jr,Vanessa L Brown,Wanda Logan,Ray Bailey,6
Bob Casey Jr,12,94,20,10,6
Vanessa L Brown,,6,0,0,6
Wanda Logan,,,0,0,6
Ray Bailey,,,,3,6
Total,136,100,20,13,6
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,7
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,7
Bob Casey Jr,19,75,30,17,7
Vanessa L Brown,,7,0,0,7
Ray Bailey,,,2,0,7
Wanda Logan,,,,3,7
Total,141,82,32,20,7
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,8
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,8
Bob Casey Jr,6,83,19,12,8
Vanessa L Brown,,7,0,0,8
Ray Bailey,,,3,0,8
Wanda Logan,,,,0,8
Total,120,90,22,12,8
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,9
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,9
Bob Casey Jr,10,62,40,10,9
Vanessa L Brown,,0,0,0,9
Ray Bailey,,,1,0,9
Wanda Logan,,,,2,9
Total,122,62,41,12,9
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,10
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,10
Bob Casey Jr,14,132,17,8,10
Vanessa L Brown,,9,0,0,10
Ray Bailey,,,0,0,10
Wanda Logan,,,,0,10
Total,171,141,17,8,10
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,11
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,11
Bob Casey Jr,8,79,27,16,11
Vanessa L Brown,,3,0,0,11
Ray Bailey,,,2,0,11
Wanda Logan,,,,2,11
Total,130,82,29,18,11
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,12
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,12
Bob Casey Jr,7,68,30,15,12
Vanessa L Brown,,13,0,0,12
Ray Bailey,,,3,0,12
Wanda Logan,,,,6,12
Total,120,81,33,21,12
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,13
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,13
Bob Casey Jr,3,105,65,10,13
Vanessa L Brown,,7,0,0,13
Ray Bailey,,,4,0,13
Wanda Logan,,,,1,13
Total,183,112,69,11,13
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,21
,Bob Casey Jr,Ray Bailey,Vanessa L Brown,Wanda Logan,21
Bob Casey Jr,3,21,45,2,21
Ray Bailey,,26,0,0,21
Vanessa L Brown,,,2,0,21
Wanda Logan,,,,0,21
Total,71,47,47,2,21
,United States Senator - Democrat,Representative In The General Assembly 190th District - Democrat,,,28
,Bob Casey Jr,Vanessa L Brown,Ray Bailey,Wanda Logan,28
Bob Casey Jr,3,37,8,5,28
Vanessa L Brown,,6,0,0,28
Ray Bailey,,,0,0,28
Wanda Logan,,,,1,28
Total,53,43,8,6,28
