col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,All
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Bryan E Leib,11,33,22,18,3,3,All
Kathy Coder,,5,0,0,0,4,All
Diana Irey Vaughan,,,4,0,0,5,All
Jeff Bartos,,,,2,0,6,All
Peg Luksik,,,,,3,7,All
Total,87,38,26,20,6,8,All
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,1
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,1
Bryan E Leib,0,1,0,0,0,3,1
Kathy Coder,,0,0,0,0,4,1
Diana Irey Vaughan,,,0,0,0,5,1
Jeff Bartos,,,,0,0,6,1
Peg Luksik,,,,,0,7,1
Total,1,1,0,0,0,8,1
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,2
,Bryan E Leib,Jeff Bartos,Peg Luksik,Diana Irey Vaughan,Kathy Coder,2,2
Bryan E Leib,0,2,1,0,0,3,2
Jeff Bartos,,0,0,0,0,4,2
Peg Luksik,,,0,0,0,5,2
Diana Irey Vaughan,,,,0,0,6,2
Kathy Coder,,,,,0,7,2
Total,3,2,1,0,0,8,2
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,4
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,4
Bryan E Leib,0,2,0,0,0,3,4
Kathy Coder,,0,0,0,0,4,4
Diana Irey Vaughan,,,0,0,0,5,4
Jeff Bartos,,,,0,0,6,4
Peg Luksik,,,,,0,7,4
Total,2,2,0,0,0,8,4
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,5
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,5
Bryan E Leib,0,1,1,0,0,3,5
Diana Irey Vaughan,,0,0,0,0,4,5
Jeff Bartos,,,0,0,0,5,5
Kathy Coder,,,,0,0,6,5
Peg Luksik,,,,,0,7,5
Total,2,1,1,0,0,8,5
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,7
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,7
Bryan E Leib,1,1,1,0,0,3,7
Diana Irey Vaughan,,0,0,0,0,4,7
Kathy Coder,,,0,0,0,5,7
Jeff Bartos,,,,0,0,6,7
Peg Luksik,,,,,0,7,7
Total,3,1,1,0,0,8,7
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,8
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,8
Bryan E Leib,0,1,0,0,0,3,8
Diana Irey Vaughan,,0,0,0,0,4,8
Jeff Bartos,,,0,0,0,5,8
Kathy Coder,,,,0,0,6,8
Peg Luksik,,,,,0,7,8
Total,1,1,0,0,0,8,8
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,9
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,9
Bryan E Leib,0,2,0,0,0,3,9
Diana Irey Vaughan,,0,0,0,0,4,9
Jeff Bartos,,,0,0,0,5,9
Kathy Coder,,,,0,0,6,9
Peg Luksik,,,,,0,7,9
Total,2,2,0,0,0,8,9
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,10
,Bryan E Leib,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,10
Bryan E Leib,0,1,0,0,0,3,10
Jeff Bartos,,0,0,0,0,4,10
Diana Irey Vaughan,,,0,0,0,5,10
Kathy Coder,,,,0,0,6,10
Peg Luksik,,,,,0,7,10
Total,1,1,0,0,0,8,10
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,11
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,11
Bryan E Leib,0,2,1,1,0,3,11
Kathy Coder,,0,0,0,0,4,11
Diana Irey Vaughan,,,0,0,0,5,11
Jeff Bartos,,,,0,0,6,11
Peg Luksik,,,,,0,7,11
Total,4,2,1,1,0,8,11
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,12
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,12
Bryan E Leib,0,2,0,0,0,3,12
Kathy Coder,,0,0,0,0,4,12
Diana Irey Vaughan,,,0,0,0,5,12
Jeff Bartos,,,,0,0,6,12
Peg Luksik,,,,,0,7,12
Total,2,2,0,0,0,8,12
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,14
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,14
Bryan E Leib,3,1,3,3,1,3,14
Diana Irey Vaughan,,2,0,0,0,4,14
Jeff Bartos,,,0,0,0,5,14
Kathy Coder,,,,0,0,6,14
Peg Luksik,,,,,0,7,14
Total,11,3,3,3,1,8,14
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,15
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,15
Bryan E Leib,0,2,0,0,0,3,15
Kathy Coder,,0,0,0,0,4,15
Diana Irey Vaughan,,,0,0,0,5,15
Jeff Bartos,,,,0,0,6,15
Peg Luksik,,,,,0,7,15
Total,2,2,0,0,0,8,15
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,16
,Bryan E Leib,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,16
Bryan E Leib,0,1,1,0,0,3,16
Jeff Bartos,,0,0,0,0,4,16
Kathy Coder,,,0,0,0,5,16
Diana Irey Vaughan,,,,0,0,6,16
Peg Luksik,,,,,0,7,16
Total,2,1,1,0,0,8,16
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,17
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,17
Bryan E Leib,0,0,1,0,0,3,17
Diana Irey Vaughan,,1,0,0,0,4,17
Kathy Coder,,,0,0,0,5,17
Jeff Bartos,,,,0,0,6,17
Peg Luksik,,,,,0,7,17
Total,1,1,1,0,0,8,17
,Lieutenant Governor - Republican,,,,Representative In Congress 3rd District - Republican,1,18
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Bryan E Leib,2,18
Kathy Coder,2,0,0,0,0,3,18
Diana Irey Vaughan,,0,0,0,0,4,18
Jeff Bartos,,,0,0,0,5,18
Peg Luksik,,,,0,0,6,18
Bryan E Leib,,,,,1,7,18
Total,2,0,0,0,1,8,18
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,24
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,24
Bryan E Leib,1,0,0,0,0,3,24
Diana Irey Vaughan,,0,0,0,0,4,24
Jeff Bartos,,,0,0,0,5,24
Kathy Coder,,,,0,0,6,24
Peg Luksik,,,,,0,7,24
Total,1,0,0,0,0,8,24
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,25
,Bryan E Leib,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,25
Bryan E Leib,0,4,0,0,0,3,25
Kathy Coder,,0,0,0,0,4,25
Diana Irey Vaughan,,,0,0,0,5,25
Jeff Bartos,,,,0,0,6,25
Peg Luksik,,,,,0,7,25
Total,4,4,0,0,0,8,25
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,26
,Bryan E Leib,Kathy Coder,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,2,26
Bryan E Leib,2,1,0,0,0,3,26
Kathy Coder,,0,0,0,0,4,26
Peg Luksik,,,1,0,0,5,26
Diana Irey Vaughan,,,,0,0,6,26
Jeff Bartos,,,,,0,7,26
Total,3,1,1,0,0,8,26
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,27
,Bryan E Leib,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,27
Bryan E Leib,0,5,2,0,0,3,27
Diana Irey Vaughan,,0,0,0,0,4,27
Kathy Coder,,,0,0,0,5,27
Jeff Bartos,,,,0,0,6,27
Peg Luksik,,,,,0,7,27
Total,7,5,2,0,0,8,27
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,28
,Bryan E Leib,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,28
Bryan E Leib,0,1,1,1,0,3,28
Diana Irey Vaughan,,0,0,0,0,4,28
Jeff Bartos,,,0,0,0,5,28
Kathy Coder,,,,0,0,6,28
Peg Luksik,,,,,0,7,28
Total,3,1,1,1,0,8,28
,Representative In Congress 3rd District - Republican,Lieutenant Governor - Republican,,,,1,29
,Bryan E Leib,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,29
Bryan E Leib,0,5,0,0,0,3,29
