col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,All
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,2,All
Mike Stack,788,0,0,0,0,687,554,585,527,3,All
Kathi Cozzone,,161,0,0,0,525,367,343,343,4,All
Nina Ahmad,,,218,0,0,343,323,310,277,5,All
John Fetterman,,,,61,0,95,84,82,78,6,All
Ray Sosa,,,,,11,19,18,13,14,7,All
Torri Douglas,,,,,,30,"1,102","1,120","1,063",8,All
Marisa Piccarreto,,,,,,,12,"1,068","1,045",9,All
Kyle J Sampson,,,,,,,,11,"1,060",10,All
Kyle Shenandoah,,,,,,,,,10,11,All
Total,"1,775",795,706,204,39,"1,722","1,380","1,365","1,270",12,All
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,1
,Torri Douglas,Marisa Piccarreto,Kyle J Sampson,Kyle Shenandoah,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Torri Douglas,0,19,19,19,13,6,7,1,0,3,1
Marisa Piccarreto,,0,19,18,8,5,6,2,0,4,1
Kyle J Sampson,,,0,18,8,5,6,1,0,5,1
Kyle Shenandoah,,,,0,9,5,5,1,0,6,1
Mike Stack,,,,,7,0,0,0,0,7,1
Nina Ahmad,,,,,,2,0,0,0,8,1
Kathi Cozzone,,,,,,,0,0,0,9,1
John Fetterman,,,,,,,,1,0,10,1
Ray Sosa,,,,,,,,,0,11,1
Total,27,21,20,20,23,8,7,3,0,12,1
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,2
,Torri Douglas,Kyle Shenandoah,Kyle J Sampson,Marisa Piccarreto,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,2
Torri Douglas,0,25,26,23,12,10,10,4,0,3,2
Kyle Shenandoah,,0,24,23,9,8,9,5,0,4,2
Kyle J Sampson,,,1,24,7,10,7,4,0,5,2
Marisa Piccarreto,,,,0,7,11,9,3,0,6,2
Mike Stack,,,,,9,0,0,0,0,7,2
Nina Ahmad,,,,,,1,0,0,0,8,2
Kathi Cozzone,,,,,,,2,0,0,9,2
John Fetterman,,,,,,,,0,0,10,2
Ray Sosa,,,,,,,,,0,11,2
Total,38,32,31,31,29,16,15,5,0,12,2
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 8th Senatorial District,,,,1,3
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,2,3
Mike Stack,37,0,0,0,0,22,19,15,14,3,3
Kathi Cozzone,,5,0,0,0,18,8,10,11,4,3
Nina Ahmad,,,3,0,0,10,9,10,8,5,3
John Fetterman,,,,1,0,2,1,2,0,6,3
Ray Sosa,,,,,0,0,0,0,0,7,3
Torri Douglas,,,,,,3,30,31,27,8,3
Kyle J Sampson,,,,,,,2,27,24,9,3
Kyle Shenandoah,,,,,,,,0,25,10,3
Marisa Piccarreto,,,,,,,,,2,11,3
Total,70,29,14,4,0,55,39,37,35,12,3
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,4
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Torri Douglas,3,15,14,13,8,22,1,1,0,3,4
Kyle J Sampson,,0,14,14,12,9,5,0,0,4,4
Marisa Piccarreto,,,0,13,7,11,2,1,0,5,4
Kyle Shenandoah,,,,0,6,11,3,0,0,6,4
Mike Stack,,,,,10,0,0,0,0,7,4
Kathi Cozzone,,,,,,3,0,0,0,8,4
Nina Ahmad,,,,,,,1,0,0,9,4
John Fetterman,,,,,,,,0,0,10,4
Ray Sosa,,,,,,,,,0,11,4
Total,35,26,21,20,30,29,9,2,0,12,4
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,5
,Torri Douglas,Kyle J Sampson,Kyle Shenandoah,Marisa Piccarreto,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Torri Douglas,2,41,34,38,18,39,3,5,0,3,5
Kyle J Sampson,,1,35,38,15,22,4,3,0,4,5
Kyle Shenandoah,,,2,35,16,20,4,2,0,5,5
Marisa Piccarreto,,,,0,13,22,5,2,1,6,5
Mike Stack,,,,,21,0,0,0,0,7,5
Kathi Cozzone,,,,,,4,0,0,0,8,5
Nina Ahmad,,,,,,,6,0,0,9,5
John Fetterman,,,,,,,,0,0,10,5
Ray Sosa,,,,,,,,,0,11,5
Total,68,46,45,45,47,46,13,5,1,12,5
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,6
,Torri Douglas,Marisa Piccarreto,Kyle Shenandoah,Kyle J Sampson,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Torri Douglas,1,23,23,22,16,8,4,1,0,3,6
Marisa Piccarreto,,0,22,23,16,8,4,0,0,4,6
Kyle Shenandoah,,,0,23,15,7,3,1,0,5,6
Kyle J Sampson,,,,0,14,7,3,0,0,6,6
Mike Stack,,,,,4,0,0,0,0,7,6
Kathi Cozzone,,,,,,1,0,0,0,8,6
Nina Ahmad,,,,,,,1,0,0,9,6
John Fetterman,,,,,,,,0,0,10,6
Ray Sosa,,,,,,,,,0,11,6
Total,30,28,26,24,23,10,7,2,0,12,6
,Member Of The - Democratic State Committee 8th Senatorial District,,,,Lieutenant Governor - Democrat,,,,,1,7
,Torri Douglas,Kyle J Sampson,Marisa Piccarreto,Kyle Shenandoah,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,7
Torri Douglas,2,36,33,32,24,15,11,5,1,3,7
Kyle J Sampson,,0,31,32,17,11,7,5,1,4,7
Marisa Piccarreto,,,0,32,16,11,7,3,1,5,7
Kyle Shenandoah,,,,0,13,9,10,3,1,6,7
Mike Stack,,,,,10,0,0,0,0,7,7
Nina Ahmad,,,,,,3,0,0,0,8,7
Kathi Cozzone,,,,,,,0,0,0,9,7
John Fetterman,,,,,,,,4,0,10,7
Ray Sosa,,,,,,,,,0,11,7
Total,59,43,39,37,39,22,16,10,1,12,7
