col_1,col_2,col_3,order,division
,United States Senator - Republican,,1,All
,Jim Christiana,Lou Barletta,2,All
Jim Christiana,10,0,3,All
Lou Barletta,,4,4,All
Total,10,4,5,All
,United States Senator - Republican,,1,1
,Jim Christiana,Lou Barletta,2,1
Jim Christiana,2,0,3,1
Lou Barletta,,0,4,1
Total,2,0,5,1
,United States Senator - Republican,,1,4
,Jim Christiana,Lou Barletta,2,4
Jim Christiana,1,0,3,4
Lou Barletta,,0,4,4
Total,1,0,5,4
,United States Senator - Republican,,1,7
,Lou Barletta,Jim Christiana,2,7
Lou Barletta,1,0,3,7
Jim Christiana,,0,4,7
Total,1,0,5,7
,United States Senator - Republican,,1,8
,Jim Christiana,Lou Barletta,2,8
Jim Christiana,3,0,3,8
Lou Barletta,,1,4,8
Total,3,1,5,8
,United States Senator - Republican,,1,10
,Jim Christiana,Lou Barletta,2,10
Jim Christiana,2,0,3,10
Lou Barletta,,0,4,10
Total,2,0,5,10
,United States Senator - Republican,,1,12
,Jim Christiana,Lou Barletta,2,12
Jim Christiana,1,0,3,12
Lou Barletta,,0,4,12
Total,1,0,5,12
,United States Senator - Republican,,1,13
,Jim Christiana,Lou Barletta,2,13
Jim Christiana,1,0,3,13
Lou Barletta,,1,4,13
Total,1,1,5,13
,United States Senator - Republican,,1,14
,Lou Barletta,Jim Christiana,2,14
Lou Barletta,1,0,3,14
Jim Christiana,,0,4,14
Total,1,0,5,14
