col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Dwight Evans,"1,026",0,412,293,286,215,213,217,185,194,175,104,99,92,79,3,All
Kevin Johnson,,250,121,78,79,85,85,79,87,59,51,49,39,34,23,4,All
Kathryn S Huggins,,,1,315,290,262,261,261,231,220,191,107,104,99,74,5,All
Dewayne Drummond,,,,1,268,173,177,176,135,193,164,81,85,60,52,6,All
Ken Washington,,,,,3,161,168,166,123,198,153,73,87,56,57,7,All
Monica Maria Djerassi,,,,,,1,216,217,180,126,80,79,63,79,40,8,All
Lisa Rhodes,,,,,,,0,238,147,124,83,70,61,89,43,9,All
Linda Norris,,,,,,,,1,145,123,81,69,60,79,34,10,All
Rebecca Poyourow,,,,,,,,,0,85,93,88,69,75,43,11,All
Liam G Boyle,,,,,,,,,,0,107,39,39,29,35,12,All
Kevin Bundy,,,,,,,,,,,1,52,68,37,47,13,All
Joe Khan,,,,,,,,,,,,2,54,42,36,14,All
Nat Lownes,,,,,,,,,,,,,1,33,33,15,All
Jacque Whaumbush,,,,,,,,,,,,,,0,20,16,All
John Brady,,,,,,,,,,,,,,,0,17,All
Total,"1,564",427,544,383,375,309,306,304,276,261,232,156,142,130,104,18,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Linda Norris,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,2,1
Dwight Evans,8,0,55,39,37,37,32,29,29,16,14,13,7,7,6,3,1
Kevin Johnson,,1,7,4,4,3,5,6,3,4,3,2,3,0,0,4,1
Kathryn S Huggins,,,0,38,40,38,36,34,32,18,15,13,8,4,6,5,1
Ken Washington,,,,0,27,32,30,25,25,10,11,8,4,4,4,6,1
Linda Norris,,,,,0,30,29,33,32,13,7,9,7,6,3,7,1
Dewayne Drummond,,,,,,0,31,25,26,10,14,6,3,2,4,8,1
Liam G Boyle,,,,,,,0,27,23,7,8,6,4,2,1,9,1
Monica Maria Djerassi,,,,,,,,0,25,11,6,8,6,4,1,10,1
Lisa Rhodes,,,,,,,,,0,10,4,4,5,3,2,11,1
Rebecca Poyourow,,,,,,,,,,0,9,9,6,3,4,12,1
Kevin Bundy,,,,,,,,,,,0,7,3,2,3,13,1
Joe Khan,,,,,,,,,,,,0,5,4,5,14,1
Jacque Whaumbush,,,,,,,,,,,,,0,3,2,15,1
John Brady,,,,,,,,,,,,,,0,1,16,1
Nat Lownes,,,,,,,,,,,,,,,0,17,1
Total,71,11,63,44,42,41,38,36,33,20,17,15,10,7,6,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Monica Maria Djerassi,Rebecca Poyourow,Lisa Rhodes,Linda Norris,Kevin Bundy,Joe Khan,Liam G Boyle,Jacque Whaumbush,Nat Lownes,John Brady,2,2
Dwight Evans,18,0,48,34,32,26,27,25,25,20,15,18,16,16,14,3,2
