col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,All
,Michele Lawrence,Brendan F Boyle,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Michele Lawrence,60,0,202,203,89,36,10,3,All
Brendan F Boyle,,37,215,41,22,24,3,4,All
Mike Stack,,,67,0,0,0,0,5,All
Kathi Cozzone,,,,31,0,0,0,6,All
Nina Ahmad,,,,,28,0,0,7,All
John Fetterman,,,,,,9,0,8,All
Ray Sosa,,,,,,,3,9,All
Total,600,342,484,275,139,69,16,10,All
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,1
,Michele Lawrence,Brendan F Boyle,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Michele Lawrence,3,0,7,9,5,0,0,3,1
Brendan F Boyle,,0,6,2,1,0,0,4,1
Mike Stack,,,2,0,0,0,0,5,1
Kathi Cozzone,,,,0,0,0,0,6,1
Nina Ahmad,,,,,3,0,0,7,1
John Fetterman,,,,,,1,0,8,1
Ray Sosa,,,,,,,0,9,1
Total,24,9,15,11,9,1,0,10,1
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,2
,Michele Lawrence,Brendan F Boyle,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Michele Lawrence,1,0,13,11,6,1,0,3,2
Brendan F Boyle,,1,7,3,4,2,1,4,2
Mike Stack,,,3,0,0,0,0,5,2
Kathi Cozzone,,,,0,0,0,0,6,2
Nina Ahmad,,,,,1,0,0,7,2
John Fetterman,,,,,,2,0,8,2
Ray Sosa,,,,,,,0,9,2
Total,32,18,23,14,11,5,1,10,2
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,3
,Michele Lawrence,Brendan F Boyle,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Michele Lawrence,3,0,11,6,4,2,1,3,3
Brendan F Boyle,,1,4,9,3,1,0,4,3
Kathi Cozzone,,,1,0,0,0,0,5,3
Mike Stack,,,,1,0,0,0,6,3
Nina Ahmad,,,,,0,0,0,7,3
John Fetterman,,,,,,0,0,8,3
Ray Sosa,,,,,,,0,9,3
Total,27,18,16,16,7,3,1,10,3
,Lieutenant Governor - Democrat,,,,,Representative In Congress 2nd District - Democrat,,1,4
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Michele Lawrence,Brendan F Boyle,2,4
Mike Stack,1,0,0,0,0,9,9,3,4
Nina Ahmad,,7,0,0,0,4,1,4,4
Kathi Cozzone,,,0,0,0,3,0,5,4
John Fetterman,,,,0,0,0,1,6,4
Ray Sosa,,,,,0,0,0,7,4
Michele Lawrence,,,,,,1,0,8,4
Brendan F Boyle,,,,,,,0,9,4
Total,19,12,3,1,0,17,11,10,4
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,5
,Michele Lawrence,Brendan F Boyle,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Michele Lawrence,3,0,22,10,7,3,2,3,5
Brendan F Boyle,,4,4,7,2,1,0,4,5
Kathi Cozzone,,,9,0,0,0,0,5,5
Mike Stack,,,,4,0,0,0,6,5
Nina Ahmad,,,,,1,0,0,7,5
John Fetterman,,,,,,0,0,8,5
Ray Sosa,,,,,,,0,9,5
Total,47,18,35,21,10,4,2,10,5
,Representative In Congress 2nd District - Democrat,,Lieutenant Governor - Democrat,,,,,1,6
,Michele Lawrence,Brendan F Boyle,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Michele Lawrence,0,0,8,4,5,1,0,3,6
Brendan F Boyle,,1,1,4,1,2,0,4,6
Kathi Cozzone,,,1,0,0,0,0,5,6
Mike Stack,,,,2,0,0,0,6,6
Nina Ahmad,,,,,1,0,0,7,6
