col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Governor - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1
,Tom Wolf,Rich Lazer,Molly Sheehan,Mary Gay Scanlon,Lindy Li,Ashley Lunkenheimer,Larry Arata,Greg Vitali,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,Theresa M Wright,1
Tom Wolf,2,31,13,9,8,7,2,1,0,0,0,0,0,0,1
Rich Lazer,,15,0,0,0,0,0,0,0,0,0,0,0,0,1
Molly Sheehan,,,1,0,0,0,0,0,0,0,0,0,0,0,1
Mary Gay Scanlon,,,,1,0,0,0,0,0,0,0,0,0,0,1
Lindy Li,,,,,1,0,0,0,0,0,0,0,0,0,1
Ashley Lunkenheimer,,,,,,0,0,0,0,0,0,0,0,0,1
Larry Arata,,,,,,,0,0,0,0,0,0,0,0,1
Greg Vitali,,,,,,,,0,0,0,0,0,0,0,1
Dan Muroff,,,,,,,,,0,0,0,0,0,0,1
David Wertime,,,,,,,,,,0,0,0,0,0,1
Margo Davidson,,,,,,,,,,,0,0,0,0,1
Shelly Chauncey,,,,,,,,,,,,0,0,0,1
Thaddeus Kirkland,,,,,,,,,,,,,0,0,1
Theresa M Wright,,,,,,,,,,,,,,0,1
Total,73,46,14,10,9,7,2,1,0,0,0,0,0,0,1
,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,Governor - Democrat,2
,Rich Lazer,Lindy Li,Mary Gay Scanlon,Ashley Lunkenheimer,Molly Sheehan,Greg Vitali,Theresa M Wright,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,Tom Wolf,2
Rich Lazer,30,0,0,0,0,0,0,0,0,0,0,0,0,24,2
Lindy Li,,5,0,0,0,0,0,0,0,0,0,0,0,14,2
Mary Gay Scanlon,,,1,0,0,0,0,0,0,0,0,0,0,5,2
Ashley Lunkenheimer,,,,3,0,0,0,0,0,0,0,0,0,1,2
Molly Sheehan,,,,,1,0,0,0,0,0,0,0,0,3,2
Greg Vitali,,,,,,1,0,0,0,0,0,0,0,1,2
Theresa M Wright,,,,,,,0,0,0,0,0,0,0,1,2
Dan Muroff,,,,,,,,0,0,0,0,0,0,0,2
David Wertime,,,,,,,,,0,0,0,0,0,0,2
Larry Arata,,,,,,,,,,0,0,0,0,0,2
Margo Davidson,,,,,,,,,,,0,0,0,0,2
Shelly Chauncey,,,,,,,,,,,,0,0,0,2
Thaddeus Kirkland,,,,,,,,,,,,,0,0,2
Tom Wolf,,,,,,,,,,,,,,2,2
Total,54,19,6,4,4,2,1,0,0,0,0,0,0,51,2
,Governor - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,3
,Tom Wolf,Rich Lazer,Molly Sheehan,Ashley Lunkenheimer,Lindy Li,Mary Gay Scanlon,Greg Vitali,Larry Arata,Theresa M Wright,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,3
Tom Wolf,12,94,10,9,7,7,2,0,1,0,0,0,0,0,3
Rich Lazer,,34,0,0,0,0,0,0,0,0,0,0,0,0,3
Molly Sheehan,,,2,0,0,0,0,0,0,0,0,0,0,0,3
Ashley Lunkenheimer,,,,0,0,0,0,0,0,0,0,0,0,0,3
Lindy Li,,,,,1,0,0,0,0,0,0,0,0,0,3
Mary Gay Scanlon,,,,,,1,0,0,0,0,0,0,0,0,3
Greg Vitali,,,,,,,2,0,0,0,0,0,0,0,3
Larry Arata,,,,,,,,2,0,0,0,0,0,0,3
Theresa M Wright,,,,,,,,,0,0,0,0,0,0,3
Dan Muroff,,,,,,,,,,0,0,0,0,0,3
David Wertime,,,,,,,,,,,0,0,0,0,3
Margo Davidson,,,,,,,,,,,,0,0,0,3
Shelly Chauncey,,,,,,,,,,,,,0,0,3
Thaddeus Kirkland,,,,,,,,,,,,,,0,3
Total,142,128,12,9,8,8,4,2,1,0,0,0,0,0,3
,Governor - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,4
,Tom Wolf,Rich Lazer,Lindy Li,Mary Gay Scanlon,Molly Sheehan,Theresa M Wright,Ashley Lunkenheimer,Greg Vitali,Dan Muroff,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,4
Tom Wolf,0,22,14,7,6,2,1,1,0,0,0,0,0,0,4
Rich Lazer,,0,0,0,0,0,0,0,0,0,0,0,0,0,4
