col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,All
Mona Getzes Cohen,235,356,362,298,264,218,204,192,149,3,All
James Harrity,,62,336,366,359,290,301,281,235,4,All
Meagan Ingerson,,,50,281,246,216,195,178,149,5,All
Erica Vanstone,,,,5,362,322,297,290,251,6,All
Richard Lombardo,,,,,9,288,304,283,230,7,All
Catherine Bartch,,,,,,2,230,235,246,8,All
Frank T Brzozowski,,,,,,,3,239,190,9,All
Billy Cortes,,,,,,,,4,197,10,All
Marnie Aument Loughrey,,,,,,,,,1,11,All
Total,675,574,463,455,429,379,359,338,298,12,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,2,1
Mona Getzes Cohen,10,17,19,20,14,12,11,9,7,3,1
James Harrity,,4,20,18,17,15,13,12,10,4,1
Erica Vanstone,,,0,21,18,17,14,13,11,5,1
Meagan Ingerson,,,,1,15,14,12,10,8,6,1
Richard Lombardo,,,,,0,14,11,10,8,7,1
Catherine Bartch,,,,,,0,9,7,8,8,1
Billy Cortes,,,,,,,0,7,6,9,1
Frank T Brzozowski,,,,,,,,0,6,10,1
Marnie Aument Loughrey,,,,,,,,,0,11,1
Total,30,26,24,24,18,17,15,14,11,12,1
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Mona Getzes Cohen,James Harrity,Erica Vanstone,Frank T Brzozowski,Meagan Ingerson,Richard Lombardo,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,2
Mona Getzes Cohen,11,16,15,16,17,14,9,7,6,3,2
James Harrity,,6,19,19,15,17,14,12,10,4,2
Erica Vanstone,,,0,20,14,18,16,12,11,5,2
Frank T Brzozowski,,,,0,14,19,15,13,12,6,2
Meagan Ingerson,,,,,3,12,8,5,6,7,2
Richard Lombardo,,,,,,0,15,11,10,8,2
Billy Cortes,,,,,,,0,10,8,9,2
Catherine Bartch,,,,,,,,0,9,10,2
Marnie Aument Loughrey,,,,,,,,,0,11,2
Total,32,29,22,22,21,20,17,15,12,12,2
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,2,3
Mona Getzes Cohen,11,18,18,14,12,10,11,10,9,3,3
Meagan Ingerson,,3,18,14,12,10,11,11,9,4,3
James Harrity,,,1,13,13,9,10,9,8,5,3
Erica Vanstone,,,,0,11,10,8,9,7,6,3
Richard Lombardo,,,,,0,7,7,8,5,7,3
Catherine Bartch,,,,,,0,5,7,3,8,3
Frank T Brzozowski,,,,,,,0,5,8,9,3
Marnie Aument Loughrey,,,,,,,,0,4,10,3
Billy Cortes,,,,,,,,,0,11,3
Total,31,23,21,16,13,12,11,11,9,12,3
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Richard Lombardo,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,4
Mona Getzes Cohen,14,22,18,22,16,17,14,12,8,3,4
James Harrity,,4,21,19,18,19,15,14,12,4,4
Erica Vanstone,,,1,14,21,21,18,16,13,5,4
Meagan Ingerson,,,,2,14,13,10,9,6,6,4
Catherine Bartch,,,,,0,20,19,14,14,7,4
Richard Lombardo,,,,,,1,17,16,14,8,4
Marnie Aument Loughrey,,,,,,,0,14,12,9,4
Frank T Brzozowski,,,,,,,,0,11,10,4
Billy Cortes,,,,,,,,,0,11,4
Total,43,33,26,26,24,24,21,19,15,12,4
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Billy Cortes,Catherine Bartch,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,2,5
Mona Getzes Cohen,12,16,17,15,12,12,12,9,3,3,5
James Harrity,,3,16,17,18,14,16,15,9,4,5
Meagan Ingerson,,,5,14,14,11,12,10,3,5,5
Erica Vanstone,,,,0,17,17,18,14,7,6,5
Billy Cortes,,,,,0,14,16,14,9,7,5
Catherine Bartch,,,,,,0,15,12,7,8,5
Richard Lombardo,,,,,,,0,13,8,9,5
Frank T Brzozowski,,,,,,,,0,8,10,5
Marnie Aument Loughrey,,,,,,,,,0,11,5
Total,33,27,25,22,20,19,19,17,9,12,5
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,6
Mona Getzes Cohen,13,15,14,11,11,10,8,8,6,3,6
James Harrity,,1,14,14,14,11,12,9,9,4,6
Meagan Ingerson,,,3,11,11,9,8,6,6,5,6
Erica Vanstone,,,,0,16,13,13,12,10,6,6
Richard Lombardo,,,,,0,13,13,12,10,7,6
Catherine Bartch,,,,,,0,11,9,9,8,6
Frank T Brzozowski,,,,,,,0,9,8,9,6
Billy Cortes,,,,,,,,0,7,10,6
Marnie Aument Loughrey,,,,,,,,,0,11,6
Total,31,21,19,17,17,15,14,13,11,12,6
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Catherine Bartch,2,7
Mona Getzes Cohen,14,14,14,11,11,8,5,5,4,3,7
James Harrity,,3,14,12,12,10,8,5,5,4,7
Meagan Ingerson,,,2,10,9,7,4,4,3,5,7
Erica Vanstone,,,,0,12,9,8,6,6,6,7
Richard Lombardo,,,,,0,9,8,6,6,7,7
