To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,Jim Christiana,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Lou Barletta,Write In,0,12
Kathy Coder,0,0,0,2,0,0,0,0,12
Diana Irey Vaughan,0,1,0,,0,0,0,0,12
Jeff Bartos,0,,1,,0,0,0,0,12
Peg Luksik,0,,,,1,0,0,0,12
Jim Christiana,1,,,,,0,0,0,12
Lou Barletta,,,,,,1,0,0,12
Write In,,,,,,,1,0,12
Total,1,1,1,2,1,1,1,0,12
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,14
,Jim Christiana,Lou Barletta,Write In,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,0,14
Jim Christiana,2,0,0,0,0,0,0,0,14
Lou Barletta,,1,0,0,0,0,0,0,14
Write In,,,1,0,0,0,0,0,14
Jeff Bartos,,,,1,0,0,0,0,14
Diana Irey Vaughan,,,,,1,0,0,0,14
Kathy Coder,,,,,,1,0,0,14
Peg Luksik,,,,,,,1,0,14
Total,3,1,1,2,1,1,1,0,14
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,15
,Jim Christiana,Lou Barletta,Write In,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,0,15
Jim Christiana,1,0,0,0,0,0,0,0,15
Lou Barletta,,1,0,0,0,0,0,0,15
Write In,,,1,0,0,0,0,0,15
Kathy Coder,,,,1,0,0,0,0,15
Diana Irey Vaughan,,,,,1,0,0,0,15
Jeff Bartos,,,,,,1,0,0,15
Peg Luksik,,,,,,,1,0,15
Total,2,1,1,2,1,1,1,0,15
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Lieutenant Governor Republican,To Remove 4,To Remove 5,To Remove 6,0,16
,Jim Christiana,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Lou Barletta,Write In,0,16
Diana Irey Vaughan,0,0,0,1,0,0,0,0,16
Jeff Bartos,0,1,0,,0,0,0,0,16
Kathy Coder,0,,1,,0,0,0,0,16
Peg Luksik,0,,,,1,0,0,0,16
Jim Christiana,1,,,,,0,0,0,16
Lou Barletta,,,,,,1,0,0,16
Write In,,,,,,,1,0,16
Total,2,2,1,2,1,2,1,0,16
