col_1,col_2,col_3,col_4,order,division
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,All
,David Torres,Jim Christiana,Lou Barletta,2,All
David Torres,3,8,4,3,All
Jim Christiana,,2,0,4,All
Lou Barletta,,,0,5,All
Total,15,10,4,6,All
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,1
,David Torres,Jim Christiana,Lou Barletta,2,1
David Torres,0,2,0,3,1
Jim Christiana,,0,0,4,1
Lou Barletta,,,0,5,1
Total,2,2,0,6,1
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,4
,David Torres,Jim Christiana,Lou Barletta,2,4
David Torres,1,1,0,3,4
Jim Christiana,,0,0,4,4
Lou Barletta,,,0,5,4
Total,2,1,0,6,4
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,7
,David Torres,Lou Barletta,Jim Christiana,2,7
David Torres,0,1,0,3,7
Lou Barletta,,0,0,4,7
Jim Christiana,,,0,5,7
Total,1,1,0,6,7
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,8
,David Torres,Jim Christiana,Lou Barletta,2,8
David Torres,0,2,1,3,8
Jim Christiana,,1,0,4,8
Lou Barletta,,,0,5,8
Total,3,3,1,6,8
,United States Senator - Republican,,Representative In Congress 2nd District - Republican,1,10
,Jim Christiana,Lou Barletta,David Torres,2,10
Jim Christiana,1,0,1,3,10
Lou Barletta,,0,0,4,10
David Torres,,,0,5,10
Total,2,0,1,6,10
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,12
,David Torres,Jim Christiana,Lou Barletta,2,12
David Torres,0,1,0,3,12
Jim Christiana,,0,0,4,12
Lou Barletta,,,0,5,12
Total,1,1,0,6,12
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,13
,David Torres,Jim Christiana,Lou Barletta,2,13
David Torres,2,1,1,3,13
Jim Christiana,,0,0,4,13
Lou Barletta,,,0,5,13
Total,4,1,1,6,13
,Representative In Congress 2nd District - Republican,United States Senator - Republican,,1,14
,David Torres,Lou Barletta,Jim Christiana,2,14
David Torres,0,1,0,3,14
Lou Barletta,,0,0,4,14
Jim Christiana,,,0,5,14
Total,1,1,0,6,14
