col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Tom Wolf,254,805,431,391,235,9,3,All
Mike Stack,,45,0,0,0,0,4,All
Nina Ahmad,,,24,0,0,0,5,All
Kathi Cozzone,,,,17,0,0,6,All
John Fetterman,,,,,12,0,7,All
Ray Sosa,,,,,,5,8,All
Total,"2,125",850,455,408,247,14,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Tom Wolf,2,21,4,3,2,0,3,1
Mike Stack,,0,0,0,0,0,4,1
Kathi Cozzone,,,0,0,0,0,5,1
Nina Ahmad,,,,0,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,32,21,4,3,2,0,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,2
Tom Wolf,7,29,13,13,13,1,3,2
Mike Stack,,4,0,0,0,0,4,2
Kathi Cozzone,,,1,0,0,0,5,2
John Fetterman,,,,0,0,0,6,2
Nina Ahmad,,,,,0,0,7,2
Ray Sosa,,,,,,0,8,2
Total,76,33,14,13,13,1,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Tom Wolf,7,30,15,9,3,0,3,3
Mike Stack,,4,0,0,0,0,4,3
Kathi Cozzone,,,1,0,0,0,5,3
Nina Ahmad,,,,2,0,0,6,3
John Fetterman,,,,,1,0,7,3
Ray Sosa,,,,,,0,8,3
Total,64,34,16,11,4,0,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Tom Wolf,9,40,14,13,3,0,3,4
Mike Stack,,3,0,0,0,0,4,4
Kathi Cozzone,,,4,0,0,0,5,4
Nina Ahmad,,,,1,0,0,6,4
John Fetterman,,,,,2,0,7,4
Ray Sosa,,,,,,0,8,4
Total,79,43,18,14,5,0,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,John Fetterman,Nina Ahmad,Kathi Cozzone,Mike Stack,Ray Sosa,2,5
Tom Wolf,4,26,23,21,17,0,3,5
John Fetterman,,0,0,0,0,0,4,5
Nina Ahmad,,,2,0,0,0,5,5
Kathi Cozzone,,,,0,0,0,6,5
Mike Stack,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,91,26,25,21,17,0,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
