col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,2,All
Bob Casey Jr,408,509,411,399,368,353,322,284,280,273,3,All
Jaime Bouldin,,11,354,359,309,305,289,276,270,271,4,All
David Rodriguez,,,5,355,291,292,279,269,270,266,5,All
Humberto Perez,,,,4,287,291,274,267,266,262,6,All
Barbara Carroll,,,,,2,335,311,279,272,268,7,All
Sharon Vaughn,,,,,,1,313,279,273,267,8,All
Latrice Y Bryant,,,,,,,1,265,271,266,9,All
Dustin Morris,,,,,,,,1,259,257,10,All
Robert Taylor,,,,,,,,,2,263,11,All
Jonathan M Gary,,,,,,,,,,0,12,All
Total,"1,088",528,424,409,378,365,328,293,286,277,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Humberto Perez,Latrice Y Bryant,David Rodriguez,Dustin Morris,Jonathan M Gary,Robert Taylor,2,1
Bob Casey Jr,9,39,38,38,36,35,33,31,31,31,3,1
Jaime Bouldin,,1,32,34,32,32,30,31,30,31,4,1
Barbara Carroll,,,0,35,32,34,30,31,30,30,5,1
Sharon Vaughn,,,,0,33,34,30,31,31,31,6,1
Humberto Perez,,,,,0,31,31,31,31,30,7,1
Latrice Y Bryant,,,,,,0,29,30,30,30,8,1
David Rodriguez,,,,,,,1,30,29,29,9,1
Dustin Morris,,,,,,,,0,30,30,10,1
Jonathan M Gary,,,,,,,,,0,30,11,1
Robert Taylor,,,,,,,,,,0,12,1
Total,60,40,38,38,36,35,34,31,31,31,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Sharon Vaughn,Dustin Morris,2,2
Bob Casey Jr,0,13,11,11,10,10,9,9,8,7,3,2
David Rodriguez,,1,9,9,6,8,7,8,6,6,4,2
Humberto Perez,,,0,8,6,6,6,6,6,5,5,2
Jaime Bouldin,,,,0,8,9,7,7,7,6,6,2
