col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,14
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,14
Bob Casey Jr,6,35,17,13,2,0,14
Mike Stack,,1,0,0,0,0,14
Kathi Cozzone,,,0,0,0,0,14
Nina Ahmad,,,,1,0,0,14
John Fetterman,,,,,0,0,14
Ray Sosa,,,,,,0,14
Total,73,36,17,14,2,0,14
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,15
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,15
Bob Casey Jr,2,44,12,8,1,0,15
Mike Stack,,1,0,0,0,0,15
Kathi Cozzone,,,0,0,0,0,15
Nina Ahmad,,,,1,0,0,15
John Fetterman,,,,,0,0,15
Ray Sosa,,,,,,0,15
Total,67,45,12,9,1,0,15
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,16
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,16
Bob Casey Jr,5,46,21,16,2,2,16
Mike Stack,,2,0,0,0,0,16
Kathi Cozzone,,,0,0,0,0,16
Nina Ahmad,,,,0,0,0,16
John Fetterman,,,,,3,0,16
Ray Sosa,,,,,,0,16
Total,92,48,21,16,5,2,16
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,17
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,17
Bob Casey Jr,7,47,16,14,7,0,17
Mike Stack,,4,0,0,0,0,17
Nina Ahmad,,,3,0,0,0,17
Kathi Cozzone,,,,0,0,0,17
John Fetterman,,,,,1,0,17
Ray Sosa,,,,,,1,17
Total,91,51,19,14,8,1,17
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,18
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,18
Bob Casey Jr,4,67,20,15,12,1,18
Mike Stack,,9,0,0,0,0,18
Kathi Cozzone,,,9,0,0,0,18
Nina Ahmad,,,,5,0,0,18
John Fetterman,,,,,1,0,18
Ray Sosa,,,,,,1,18
Total,119,76,29,20,13,2,18
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,19
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,19
Bob Casey Jr,5,51,18,9,1,1,19
Mike Stack,,3,0,0,0,0,19
Kathi Cozzone,,,0,0,0,0,19
