col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,2,All
Bob Casey Jr,281,359,352,296,291,286,266,258,217,190,3,All
Meagan Ingerson,,8,228,232,200,226,202,188,161,125,4,All
James Harrity,,,3,194,230,205,185,214,156,145,5,All
Mona Getzes Cohen,,,,4,170,195,162,153,124,109,6,All
Richard Lombardo,,,,,0,217,191,210,156,158,7,All
Erica Vanstone,,,,,,3,211,197,174,146,8,All
Catherine Bartch,,,,,,,0,173,169,139,9,All
Frank T Brzozowski,,,,,,,,3,144,141,10,All
Marnie Aument Loughrey,,,,,,,,,1,115,11,All
Billy Cortes,,,,,,,,,,0,12,All
Total,867,381,375,311,308,305,283,281,232,198,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,Meagan Ingerson,James Harrity,Frank T Brzozowski,Catherine Bartch,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Marnie Aument Loughrey,Billy Cortes,2,1
Bob Casey Jr,8,31,32,29,28,28,27,27,25,21,3,1
Meagan Ingerson,,1,21,17,21,15,20,21,17,9,4,1
James Harrity,,,0,22,22,20,21,19,19,16,5,1
Frank T Brzozowski,,,,1,22,23,23,16,18,17,6,1
Catherine Bartch,,,,,0,21,24,17,20,15,7,1
Richard Lombardo,,,,,,0,21,13,18,16,8,1
Erica Vanstone,,,,,,,0,15,21,15,9,1
Mona Getzes Cohen,,,,,,,,0,15,10,10,1
Marnie Aument Loughrey,,,,,,,,,0,15,11,1
Billy Cortes,,,,,,,,,,0,12,1
Total,60,35,33,31,30,29,28,28,26,21,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,2,2
Bob Casey Jr,21,45,34,35,34,31,28,27,26,24,3,2
James Harrity,,0,24,21,29,23,22,26,22,19,4,2
Mona Getzes Cohen,,,3,27,20,20,23,18,17,13,5,2
Meagan Ingerson,,,,1,18,20,19,16,13,14,6,2
Richard Lombardo,,,,,0,22,22,25,24,15,7,2
Catherine Bartch,,,,,,0,24,20,18,20,8,2
Erica Vanstone,,,,,,,0,20,18,18,9,2
Frank T Brzozowski,,,,,,,,0,20,14,10,2
Billy Cortes,,,,,,,,,0,13,11,2
Marnie Aument Loughrey,,,,,,,,,,0,12,2
Total,89,49,40,38,37,34,32,31,27,27,13,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Bob Casey Jr,Meagan Ingerson,Mona Getzes Cohen,James Harrity,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,2,3
Bob Casey Jr,2,22,19,13,11,10,10,9,7,6,3,3
Meagan Ingerson,,0,13,10,9,7,8,6,6,5,4,3
Mona Getzes Cohen,,,0,8,9,6,7,5,4,4,5,3
James Harrity,,,,1,3,3,5,3,2,4,6,3
Erica Vanstone,,,,,0,9,8,6,6,6,7,3
Billy Cortes,,,,,,0,7,5,6,5,8,3
Richard Lombardo,,,,,,,0,7,7,7,9,3
Catherine Bartch,,,,,,,,0,6,4,10,3
Marnie Aument Loughrey,,,,,,,,,0,4,11,3
Frank T Brzozowski,,,,,,,,,,0,12,3
Total,36,22,19,14,12,11,11,10,8,7,13,3
