V1,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,division
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Write In,All
Diana Irey Vaughan,0,541,0,0,0,All
Kathy Coder,486,,0,0,0,All
Jeff Bartos,,,329,0,0,All
Peg Luksik,,,,72,0,All
Write In,,,,,1,All
Total,486,541,329,72,1,All
Diana Irey Vaughan,0,10,0,0,0,1
Jeff Bartos,0,,8,0,0,1
Kathy Coder,7,,,0,0,1
Peg Luksik,,,,1,0,1
Write In,,,,,1,1
Total,7,10,8,1,1,1
Kathy Coder,11,0,0,0,0,2
Jeff Bartos,,0,8,0,0,2
Diana Irey Vaughan,,7,,0,0,2
Peg Luksik,,,,4,0,2
Write In,,,,,1,2
Total,11,7,8,4,1,2
Jeff Bartos,0,0,10,0,0,3
Diana Irey Vaughan,0,7,,0,0,3
Kathy Coder,7,,,0,0,3
Peg Luksik,,,,3,0,3
Write In,,,,,1,3
Total,7,7,10,3,1,3
Diana Irey Vaughan,0,14,0,0,0,4
Kathy Coder,10,,0,0,0,4
Jeff Bartos,,,6,0,0,4
Peg Luksik,,,,4,0,4
Write In,,,,,1,4
Total,10,14,6,4,1,4
Kathy Coder,11,0,0,0,0,5
Diana Irey Vaughan,,6,0,0,0,5
Jeff Bartos,,,6,0,0,5
Peg Luksik,,,,1,0,5
Write In,,,,,1,5
Total,11,6,6,1,1,5
Diana Irey Vaughan,0,15,0,0,0,6
Kathy Coder,11,,0,0,0,6
Jeff Bartos,,,5,0,0,6
Peg Luksik,,,,2,0,6
Write In,,,,,1,6
Total,11,15,5,2,1,6
Diana Irey Vaughan,0,20,0,0,0,7
Kathy Coder,16,,0,0,0,7
Jeff Bartos,,,4,0,0,7
Peg Luksik,,,,1,0,7
Write In,,,,,1,7
Total,16,20,4,1,1,7
Diana Irey Vaughan,0,18,0,0,0,8
Kathy Coder,12,,0,0,0,8
Jeff Bartos,,,6,0,0,8
Peg Luksik,,,,5,0,8
Write In,,,,,1,8
Total,12,18,6,5,1,8
Diana Irey Vaughan,0,27,0,0,0,9
Kathy Coder,11,,0,0,0,9
Jeff Bartos,,,7,0,0,9
Peg Luksik,,,,1,0,9
Write In,,,,,1,9
Total,11,27,7,1,1,9
Diana Irey Vaughan,0,7,0,0,0,10
Kathy Coder,7,,0,0,0,10
Jeff Bartos,,,5,0,0,10
Peg Luksik,,,,4,0,10
Write In,,,,,1,10
Total,7,7,5,4,1,10
Diana Irey Vaughan,0,12,0,0,0,11
Jeff Bartos,0,,11,0,0,11
Kathy Coder,9,,,0,0,11
Peg Luksik,,,,3,0,11
Write In,,,,,1,11
Total,9,12,11,3,1,11
Kathy Coder,10,0,0,0,0,12
Diana Irey Vaughan,,8,0,0,0,12
Jeff Bartos,,,3,0,0,12
Peg Luksik,,,,1,0,12
Write In,,,,,1,12
Total,10,8,3,1,1,12
Diana Irey Vaughan,0,13,0,0,0,13
Kathy Coder,5,,0,0,0,13
Jeff Bartos,,,2,0,0,13
Peg Luksik,,,,1,0,13
Write In,,,,,1,13
Total,5,13,2,1,1,13
Kathy Coder,17,0,0,0,0,14
Diana Irey Vaughan,,16,0,0,0,14
Jeff Bartos,,,5,0,0,14
Peg Luksik,,,,1,0,14
Write In,,,,,1,14
Total,17,16,5,1,1,14
Diana Irey Vaughan,0,10,0,0,0,15
Kathy Coder,10,,0,0,0,15
Jeff Bartos,,,4,0,0,15
Peg Luksik,,,,2,0,15
Write In,,,,,1,15
Total,10,10,4,2,1,15
Diana Irey Vaughan,0,13,0,0,0,16
Jeff Bartos,0,,9,0,0,16
Kathy Coder,9,,,0,0,16
Peg Luksik,,,,2,0,16
Write In,,,,,1,16
Total,9,13,9,2,1,16
Jeff Bartos,0,0,50,0,0,17
Kathy Coder,13,0,,0,0,17
Diana Irey Vaughan,,3,,0,0,17
Peg Luksik,,,,3,0,17
Write In,,,,,1,17
Total,13,3,50,3,1,17
Kathy Coder,11,0,0,0,0,18
Diana Irey Vaughan,,8,0,0,0,18
Jeff Bartos,,,5,0,0,18
Peg Luksik,,,,3,0,18
Write In,,,,,1,18
Total,11,8,5,3,1,18
Diana Irey Vaughan,0,11,0,0,0,19
Jeff Bartos,0,,7,0,0,19
Kathy Coder,7,,,0,0,19
Peg Luksik,,,,4,0,19
Write In,,,,,1,19
Total,7,11,7,4,1,19
Diana Irey Vaughan,0,19,0,0,0,20
Kathy Coder,9,,0,0,0,20
Jeff Bartos,,,6,0,0,20
Peg Luksik,,,,3,0,20
Write In,,,,,1,20
Total,9,19,6,3,1,20
