col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,David Rodriguez,Jaime Bouldin,Sharon Vaughn,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,2,All
Bob Casey Jr,197,545,519,440,447,322,284,272,260,249,3,All
David Rodriguez,,27,347,305,358,278,256,251,248,242,4,All
Jaime Bouldin,,,9,285,339,269,249,256,247,243,5,All
Sharon Vaughn,,,,21,278,297,265,260,248,238,6,All
Humberto Perez,,,,,5,269,253,248,242,236,7,All
Barbara Carroll,,,,,,3,260,248,241,234,8,All
Latrice Y Bryant,,,,,,,2,234,243,242,9,All
Dustin Morris,,,,,,,,1,234,231,10,All
Robert Taylor,,,,,,,,,1,236,11,All
Jonathan M Gary,,,,,,,,,,0,12,All
Total,"1,146",596,538,479,467,337,297,279,270,258,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,David Rodriguez,Sharon Vaughn,Humberto Perez,Jaime Bouldin,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Jonathan M Gary,Robert Taylor,2,1
Bob Casey Jr,7,27,23,21,20,15,12,12,11,10,3,1
David Rodriguez,,1,14,22,18,14,12,12,12,11,4,1
Sharon Vaughn,,,3,14,11,13,11,11,10,10,5,1
Humberto Perez,,,,0,17,14,12,12,12,11,6,1
Jaime Bouldin,,,,,1,11,11,11,11,11,7,1
Barbara Carroll,,,,,,0,11,12,10,10,8,1
Latrice Y Bryant,,,,,,,0,10,11,11,9,1
Dustin Morris,,,,,,,,0,10,10,10,1
Jonathan M Gary,,,,,,,,,0,11,11,1
Robert Taylor,,,,,,,,,,0,12,1
Total,47,29,27,23,22,15,13,12,12,11,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,David Rodriguez,Sharon Vaughn,Barbara Carroll,Dustin Morris,Humberto Perez,Jaime Bouldin,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,2
Bob Casey Jr,8,16,13,10,11,9,9,8,8,7,3,2
David Rodriguez,,2,11,10,8,10,9,8,8,8,4,2
Sharon Vaughn,,,1,10,9,8,8,7,8,8,5,2
Barbara Carroll,,,,0,9,9,8,8,7,8,6,2
Dustin Morris,,,,,0,8,8,8,7,7,7,2
Humberto Perez,,,,,,0,8,8,7,7,8,2
Jaime Bouldin,,,,,,,0,7,7,7,9,2
Jonathan M Gary,,,,,,,,0,7,7,10,2
Latrice Y Bryant,,,,,,,,,0,7,11,2
Robert Taylor,,,,,,,,,,0,12,2
Total,29,21,16,11,11,10,10,8,8,8,13,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Bob Casey Jr,David Rodriguez,Jaime Bouldin,Sharon Vaughn,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,3
Bob Casey Jr,7,29,13,12,12,8,7,7,6,5,3,3
David Rodriguez,,5,10,9,12,9,8,8,7,6,4,3
Jaime Bouldin,,,1,6,10,6,7,7,7,6,5,3
Sharon Vaughn,,,,1,7,8,5,6,5,6,6,3
Humberto Perez,,,,,0,8,8,7,7,6,7,3
Barbara Carroll,,,,,,0,6,6,5,6,8,3
Latrice Y Bryant,,,,,,,0,7,7,5,9,3
Robert Taylor,,,,,,,,0,7,5,10,3
Jonathan M Gary,,,,,,,,,0,5,11,3
Dustin Morris,,,,,,,,,,0,12,3
Total,45,35,15,14,13,9,8,8,7,6,13,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,4
,Bob Casey Jr,Sharon Vaughn,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Dustin Morris,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,4
