col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Molly Sheehan,Rich Lazer,Theresa M Wright,Lindy Li,Greg Vitali,Mary Gay Scanlon,Ashley Lunkenheimer,Dan Muroff,Thaddeus Kirkland,David Wertime,Larry Arata,Margo Davidson,Shelly Chauncey,1
Mike Stack,1,0,0,0,0,7,8,2,2,1,0,0,1,1,0,0,0,0,1
Nina Ahmad,,0,0,0,0,2,1,1,2,0,1,1,0,0,0,0,0,0,1
Kathi Cozzone,,,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1
John Fetterman,,,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Molly Sheehan,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rich Lazer,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1
Theresa M Wright,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1
Lindy Li,,,,,,,,,2,0,0,0,0,0,0,0,0,0,1
Greg Vitali,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Mary Gay Scanlon,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Ashley Lunkenheimer,,,,,,,,,,,,0,0,0,0,0,0,0,1
Dan Muroff,,,,,,,,,,,,,0,0,0,0,0,0,1
Thaddeus Kirkland,,,,,,,,,,,,,,0,0,0,0,0,1
David Wertime,,,,,,,,,,,,,,,0,0,0,0,1
Larry Arata,,,,,,,,,,,,,,,,0,0,0,1
Margo Davidson,,,,,,,,,,,,,,,,,0,0,1
Shelly Chauncey,,,,,,,,,,,,,,,,,,0,1
Total,23,8,7,3,0,10,10,9,7,2,2,1,1,1,0,0,0,0,1
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,2
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,Theresa M Wright,Margo Davidson,Rich Lazer,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Greg Vitali,Ashley Lunkenheimer,Larry Arata,Dan Muroff,David Wertime,Shelly Chauncey,Thaddeus Kirkland,2
Mike Stack,7,0,0,0,0,4,4,5,5,2,0,0,1,1,0,0,0,0,2
Nina Ahmad,,0,0,0,0,1,5,2,2,3,3,0,0,0,0,0,0,0,2
Kathi Cozzone,,,2,0,0,6,1,2,2,0,0,2,0,0,0,0,0,0,2
John Fetterman,,,,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Theresa M Wright,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Margo Davidson,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,2
Rich Lazer,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2
Molly Sheehan,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2
Lindy Li,,,,,,,,,,1,0,0,0,0,0,0,0,0,2
Mary Gay Scanlon,,,,,,,,,,,1,0,0,0,0,0,0,0,2
Greg Vitali,,,,,,,,,,,,0,0,0,0,0,0,0,2
Ashley Lunkenheimer,,,,,,,,,,,,,1,0,0,0,0,0,2
Larry Arata,,,,,,,,,,,,,,0,0,0,0,0,2
Dan Muroff,,,,,,,,,,,,,,,0,0,0,0,2
David Wertime,,,,,,,,,,,,,,,,0,0,0,2
Shelly Chauncey,,,,,,,,,,,,,,,,,0,0,2
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,0,2
Total,29,16,15,5,0,15,11,11,9,6,4,3,2,1,0,0,0,0,2
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,3
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Rich Lazer,Theresa M Wright,Lindy Li,Molly Sheehan,Ashley Lunkenheimer,Thaddeus Kirkland,Margo Davidson,Greg Vitali,Mary Gay Scanlon,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,3
Mike Stack,16,0,0,0,0,26,4,7,10,2,2,1,0,1,1,0,0,0,3
Kathi Cozzone,,4,0,0,0,1,9,2,6,5,0,0,2,0,0,0,0,0,3
Nina Ahmad,,,0,0,0,1,1,5,0,4,2,0,0,1,0,0,0,0,3
John Fetterman,,,,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Rich Lazer,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,3
Theresa M Wright,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,3
Lindy Li,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,3
Molly Sheehan,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3
Ashley Lunkenheimer,,,,,,,,,,2,0,0,0,0,0,0,0,0,3
Thaddeus Kirkland,,,,,,,,,,,3,0,0,0,0,0,0,0,3
Margo Davidson,,,,,,,,,,,,3,0,0,0,0,0,0,3
Greg Vitali,,,,,,,,,,,,,0,0,0,0,0,0,3
Mary Gay Scanlon,,,,,,,,,,,,,,0,0,0,0,0,3
Dan Muroff,,,,,,,,,,,,,,,0,0,0,0,3
David Wertime,,,,,,,,,,,,,,,,0,0,0,3
Larry Arata,,,,,,,,,,,,,,,,,0,0,3
Shelly Chauncey,,,,,,,,,,,,,,,,,,0,3
Total,70,29,14,4,0,30,19,17,16,14,8,4,2,2,1,0,0,0,3
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,4
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Theresa M Wright,Rich Lazer,Molly Sheehan,Greg Vitali,Lindy Li,Ashley Lunkenheimer,Larry Arata,Mary Gay Scanlon,Dan Muroff,David Wertime,Margo Davidson,Shelly Chauncey,Thaddeus Kirkland,4
Mike Stack,9,0,0,0,0,1,8,9,1,0,1,1,0,0,0,0,0,0,4
Kathi Cozzone,,1,0,0,0,22,3,0,2,1,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,1,0,0,1,1,0,1,4,0,0,1,0,0,0,0,0,4
John Fetterman,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Theresa M Wright,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Rich Lazer,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,4
Molly Sheehan,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
Greg Vitali,,,,,,,,,1,0,0,0,0,0,0,0,0,0,4
Lindy Li,,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Ashley Lunkenheimer,,,,,,,,,,,0,0,0,0,0,0,0,0,4
Larry Arata,,,,,,,,,,,,0,0,0,0,0,0,0,4
Mary Gay Scanlon,,,,,,,,,,,,,0,0,0,0,0,0,4
Dan Muroff,,,,,,,,,,,,,,0,0,0,0,0,4
David Wertime,,,,,,,,,,,,,,,0,0,0,0,4
Margo Davidson,,,,,,,,,,,,,,,,0,0,0,4
Shelly Chauncey,,,,,,,,,,,,,,,,,0,0,4
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,0,4
Total,30,29,9,2,0,26,16,9,6,5,1,1,1,0,0,0,0,0,4
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,5
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Theresa M Wright,Thaddeus Kirkland,Rich Lazer,Margo Davidson,Mary Gay Scanlon,Molly Sheehan,Ashley Lunkenheimer,Greg Vitali,Lindy Li,Dan Muroff,David Wertime,Larry Arata,Shelly Chauncey,5
Mike Stack,10,0,0,0,0,3,8,5,4,5,8,4,0,0,0,0,0,0,5
Kathi Cozzone,,1,0,0,0,29,4,3,2,0,0,1,4,1,1,0,0,0,5
Nina Ahmad,,,2,0,0,0,3,1,0,3,0,0,1,3,0,0,0,0,5
John Fetterman,,,,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5
Ray Sosa,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Theresa M Wright,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,5
Thaddeus Kirkland,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,5
Rich Lazer,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,5
Margo Davidson,,,,,,,,,4,0,0,0,0,0,0,0,0,0,5
Mary Gay Scanlon,,,,,,,,,,2,0,0,0,0,0,0,0,0,5
Molly Sheehan,,,,,,,,,,,2,0,0,0,0,0,0,0,5
Ashley Lunkenheimer,,,,,,,,,,,,1,0,0,0,0,0,0,5
Greg Vitali,,,,,,,,,,,,,0,0,0,0,0,0,5
Lindy Li,,,,,,,,,,,,,,0,0,0,0,0,5
Dan Muroff,,,,,,,,,,,,,,,0,0,0,0,5
David Wertime,,,,,,,,,,,,,,,,0,0,0,5
Larry Arata,,,,,,,,,,,,,,,,,0,0,5
Shelly Chauncey,,,,,,,,,,,,,,,,,,0,5
