V1,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In Lieutenant Governor - Democrat,division
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,All
Nina Ahmad,0,"1,199",0,0,0,0,All
John Fetterman,0,,"1,050",0,0,0,All
Mike Stack,871,,,0,0,0,All
Kathi Cozzone,,,,363,0,0,All
Ray Sosa,,,,,19,0,All
Write In,,,,,,0,All
Total,871,"1,199","1,050",363,19,0,All
1,4,2,3,5,6,7,All
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,1
Nina Ahmad,0,117,0,0,0,0,1
John Fetterman,0,,109,0,0,0,1
Mike Stack,22,,,0,0,0,1
Kathi Cozzone,,,,10,0,0,1
Ray Sosa,,,,,1,0,1
Write In,,,,,,0,1
Total,22,117,109,10,1,0,1
1,4,2,3,5,6,7,1
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,2
John Fetterman,0,0,66,0,0,0,2
Nina Ahmad,0,61,,0,0,0,2
Mike Stack,33,,,0,0,0,2
Kathi Cozzone,,,,17,0,0,2
Ray Sosa,,,,,0,0,2
Write In,,,,,,0,2
Total,33,61,66,17,0,0,2
1,4,3,2,5,6,7,2
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,3
Nina Ahmad,0,60,0,0,0,0,3
Mike Stack,53,,0,0,0,0,3
John Fetterman,,,43,0,0,0,3
Kathi Cozzone,,,,20,0,0,3
Ray Sosa,,,,,2,0,3
Write In,,,,,,0,3
Total,53,60,43,20,2,0,3
1,3,2,4,5,6,7,3
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,4
Mike Stack,29,0,0,0,0,0,4
Kathi Cozzone,,0,0,15,0,0,4
John Fetterman,,0,13,,0,0,4
Nina Ahmad,,9,,,0,0,4
Ray Sosa,,,,,2,0,4
Write In,,,,,,0,4
Total,29,9,13,15,2,0,4
1,2,5,4,3,6,7,4
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,5
Mike Stack,46,0,0,0,0,0,5
Nina Ahmad,,20,0,0,0,0,5
Kathi Cozzone,,,0,15,0,0,5
John Fetterman,,,4,,0,0,5
Ray Sosa,,,,,0,0,5
Write In,,,,,,0,5
Total,46,20,4,15,0,0,5
1,2,3,5,4,6,7,5
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,6
Mike Stack,46,0,0,0,0,0,6
Kathi Cozzone,,0,0,17,0,0,6
Nina Ahmad,,8,0,,0,0,6
John Fetterman,,,4,,0,0,6
Ray Sosa,,,,,0,0,6
Write In,,,,,,0,6
Total,46,8,4,17,0,0,6
1,2,4,5,3,6,7,6
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,7
Nina Ahmad,0,88,0,0,0,0,7
John Fetterman,0,,48,0,0,0,7
Mike Stack,31,,,0,0,0,7
Kathi Cozzone,,,,10,0,0,7
Ray Sosa,,,,,0,0,7
Write In,,,,,,0,7
Total,31,88,48,10,0,0,7
1,4,2,3,5,6,7,7
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,8
John Fetterman,0,0,101,0,0,0,8
Nina Ahmad,0,90,,0,0,0,8
Kathi Cozzone,0,,,26,0,0,8
Mike Stack,16,,,,0,0,8
Ray Sosa,,,,,0,0,8
Write In,,,,,,0,8
Total,16,90,101,26,0,0,8
1,5,3,2,4,6,7,8
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,9
John Fetterman,0,0,71,0,0,0,9
Nina Ahmad,0,68,,0,0,0,9
Kathi Cozzone,0,,,21,0,0,9
Mike Stack,20,,,,0,0,9
Ray Sosa,,,,,1,0,9
Write In,,,,,,0,9
Total,20,68,71,21,1,0,9
1,5,3,2,4,6,7,9
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,10
Mike Stack,46,0,0,0,0,0,10
Nina Ahmad,,40,0,0,0,0,10
John Fetterman,,,29,0,0,0,10
Kathi Cozzone,,,,14,0,0,10
Ray Sosa,,,,,1,0,10
Write In,,,,,,0,10
Total,46,40,29,14,1,0,10
1,2,3,4,5,6,7,10
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,11
Mike Stack,104,0,0,0,0,0,11
John Fetterman,,0,21,0,0,0,11
Nina Ahmad,,18,,0,0,0,11
Kathi Cozzone,,,,12,0,0,11
Ray Sosa,,,,,2,0,11
Write In,,,,,,0,11
Total,104,18,21,12,2,0,11
1,2,4,3,5,6,7,11
,Mike Stack Lieutenant Governor - Democrat,Nina Ahmad Lieutenant Governor - Democrat,John Fetterman Lieutenant Governor - Democrat,Kathi Cozzone Lieutenant Governor - Democrat,Ray Sosa Lieutenant Governor - Democrat,Write In,12
Mike Stack,48,0,0,0,0,0,12
Nina Ahmad,,19,0,0,0,0,12
Kathi Cozzone,,,0,12,0,0,12
John Fetterman,,,10,,0,0,12
Ray Sosa,,,,,0,0,12
Write In,,,,,,0,12
Total,48,19,10,12,0,0,12
1,2,3,5,4,6,7,12
