col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,All
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Camille G Mccolgan,1,177,134,109,91,106,97,50,3,All
Margaret L Recupido,,1,137,111,89,103,89,51,4,All
Linwood Holland,,,1,72,53,92,84,35,5,All
Dan Tinney,,,,2,92,67,77,34,6,All
Joseph Giedemann,,,,,0,50,54,24,7,All
Scott R Wagner,,,,,,44,0,0,8,All
Paul Mango,,,,,,,32,0,9,All
Laura Ellsworth,,,,,,,,17,10,All
Total,255,245,213,180,129,212,199,98,11,All
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,1
,Margaret L Recupido,Linwood Holland,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,1
Margaret L Recupido,0,6,7,6,4,7,3,1,3,1
Linwood Holland,,0,5,2,2,6,2,1,4,1
Camille G Mccolgan,,,0,2,4,6,2,0,5,1
Dan Tinney,,,,0,2,3,4,1,6,1
Joseph Giedemann,,,,,0,4,0,0,7,1
Scott R Wagner,,,,,,1,0,0,8,1
Paul Mango,,,,,,,2,0,9,1
Laura Ellsworth,,,,,,,,0,10,1
Total,12,10,9,8,5,11,9,2,11,1
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,2
,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,2
Camille G Mccolgan,0,22,12,14,13,18,13,3,3,2
Margaret L Recupido,,0,11,12,13,16,11,4,4,2
Dan Tinney,,,0,6,12,9,7,4,5,2
Linwood Holland,,,,0,6,9,8,1,6,2
Joseph Giedemann,,,,,0,7,6,3,7,2
Paul Mango,,,,,,1,0,0,8,2
Scott R Wagner,,,,,,,5,0,9,2
Laura Ellsworth,,,,,,,,1,10,2
Total,34,31,20,18,16,28,23,8,11,2
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,3
,Linwood Holland,Camille G Mccolgan,Dan Tinney,Margaret L Recupido,Joseph Giedemann,Laura Ellsworth,Paul Mango,Scott R Wagner,2,3
Linwood Holland,1,9,7,6,5,5,4,5,3,3
Camille G Mccolgan,,0,8,7,4,3,3,5,4,3
Dan Tinney,,,0,6,5,4,2,3,5,3
Margaret L Recupido,,,,0,3,3,2,4,6,3
Joseph Giedemann,,,,,0,3,2,2,7,3
Laura Ellsworth,,,,,,1,0,0,8,3
Paul Mango,,,,,,,3,0,9,3
Scott R Wagner,,,,,,,,0,10,3
Total,15,11,9,9,7,7,7,7,11,3
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,4
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,4
Linwood Holland,0,7,6,3,3,5,6,3,3,4
Margaret L Recupido,,0,7,5,4,6,2,3,4,4
Camille G Mccolgan,,,0,5,6,3,4,3,5,4
Dan Tinney,,,,0,4,4,5,1,6,4
Joseph Giedemann,,,,,0,3,3,2,7,4
Scott R Wagner,,,,,,2,0,0,8,4
Paul Mango,,,,,,,0,0,9,4
Laura Ellsworth,,,,,,,,1,10,4
Total,14,11,10,10,8,13,9,5,11,4
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,5
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,Dan Tinney,Paul Mango,Laura Ellsworth,Scott R Wagner,2,5
Linwood Holland,0,9,6,4,3,10,3,4,3,5
Margaret L Recupido,,0,10,7,6,7,4,6,4,5
Camille G Mccolgan,,,0,5,4,4,4,5,5,5
Joseph Giedemann,,,,0,5,4,1,3,6,5
Dan Tinney,,,,,0,3,0,3,7,5
Paul Mango,,,,,,2,0,0,8,5
Laura Ellsworth,,,,,,,1,0,9,5
Scott R Wagner,,,,,,,,0,10,5
Total,17,17,13,8,6,16,8,8,11,5
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,6
,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Linwood Holland,Joseph Giedemann,Paul Mango,Scott R Wagner,Laura Ellsworth,2,6
Margaret L Recupido,0,19,13,13,12,10,8,6,3,6
Camille G Mccolgan,,0,13,13,11,12,8,3,4,6
Dan Tinney,,,0,5,10,8,9,2,5,6
Linwood Holland,,,,0,6,7,6,3,6,6
Joseph Giedemann,,,,,0,7,6,2,7,6
Paul Mango,,,,,,2,0,0,8,6
Scott R Wagner,,,,,,,3,0,9,6
Laura Ellsworth,,,,,,,,2,10,6
Total,24,23,19,16,15,16,15,9,11,6
,Governor - Republican,,,Member Of The - Republican State Committee 13th Congressional District,,,,,1,7
,Scott R Wagner,Paul Mango,Laura Ellsworth,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Linwood Holland,Joseph Giedemann,2,7
Scott R Wagner,5,0,0,6,8,4,5,3,3,7
Paul Mango,,0,0,3,2,3,2,2,4,7
Laura Ellsworth,,,1,4,1,1,0,0,5,7
Camille G Mccolgan,,,,0,8,5,7,3,6,7
Margaret L Recupido,,,,,0,3,6,2,7,7
Dan Tinney,,,,,,0,3,3,8,7
Linwood Holland,,,,,,,0,2,9,7
Joseph Giedemann,,,,,,,,0,10,7
Total,15,6,5,13,11,8,7,5,11,7
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,8
,Camille G Mccolgan,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Scott R Wagner,Paul Mango,Laura Ellsworth,2,8
Camille G Mccolgan,0,17,15,10,3,13,7,3,3,8
Margaret L Recupido,,0,17,10,4,10,5,5,4,8
Linwood Holland,,,0,8,2,9,6,4,5,8
Dan Tinney,,,,0,3,3,4,5,6,8
Joseph Giedemann,,,,,0,2,2,1,7,8
Scott R Wagner,,,,,,0,0,0,8,8
Paul Mango,,,,,,,2,0,9,8
Laura Ellsworth,,,,,,,,2,10,8
Total,23,20,19,12,5,14,12,8,11,8
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,9
,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,Margaret L Recupido,Scott R Wagner,Paul Mango,Laura Ellsworth,2,9
Camille G Mccolgan,0,2,2,2,1,2,1,1,3,9
Dan Tinney,,0,3,2,2,1,3,0,4,9
Joseph Giedemann,,,0,2,2,1,2,0,5,9
Linwood Holland,,,,0,1,2,1,0,6,9
Margaret L Recupido,,,,,0,0,2,0,7,9
Scott R Wagner,,,,,,2,0,0,8,9
Paul Mango,,,,,,,0,0,9,9
Laura Ellsworth,,,,,,,,0,10,9
Total,4,4,3,3,2,4,3,1,11,9
,Member Of The - Republican State Committee 13th Congressional District,,,,,Governor - Republican,,,1,10
,Camille G Mccolgan,Dan Tinney,Linwood Holland,Joseph Giedemann,Margaret L Recupido,Scott R Wagner,Paul Mango,Laura Ellsworth,2,10
Camille G Mccolgan,0,5,5,3,4,5,4,3,3,10
Dan Tinney,,1,5,4,3,3,4,2,4,10
Linwood Holland,,,0,3,2,4,2,2,5,10
Joseph Giedemann,,,,0,1,1,1,2,6,10
Margaret L Recupido,,,,,0,1,2,1,7,10
Scott R Wagner,,,,,,1,0,0,8,10
Paul Mango,,,,,,,1,0,9,10
