col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,All
,Tom Wolf,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Rebecca Poyourow,Liam G Boyle,Kevin Bundy,Joe Khan,Nat Lownes,Jacque Whaumbush,John Brady,All
Tom Wolf,"1,258",529,371,361,303,299,298,270,250,224,150,137,127,96,All
Kathryn S Huggins,,4,315,290,262,261,261,231,220,191,107,104,99,74,All
Dewayne Drummond,,,2,268,173,177,176,135,193,164,81,85,60,52,All
Ken Washington,,,,2,161,168,166,123,198,153,73,87,56,57,All
Monica Maria Djerassi,,,,,0,216,217,180,126,80,79,63,79,40,All
Lisa Rhodes,,,,,,0,238,147,124,83,70,61,89,43,All
Linda Norris,,,,,,,2,145,123,81,69,60,79,34,All
Rebecca Poyourow,,,,,,,,1,85,93,88,69,75,43,All
Liam G Boyle,,,,,,,,,0,107,39,39,29,35,All
Kevin Bundy,,,,,,,,,,1,52,68,37,47,All
Joe Khan,,,,,,,,,,,0,54,42,36,All
Nat Lownes,,,,,,,,,,,,1,33,33,All
Jacque Whaumbush,,,,,,,,,,,,,0,20,All
John Brady,,,,,,,,,,,,,,1,All
Total,"1,967",544,383,375,309,306,304,276,261,232,156,142,130,104,All
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Tom Wolf,Kathryn S Huggins,Ken Washington,Linda Norris,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,1
Tom Wolf,9,63,44,42,41,38,36,33,20,17,15,10,7,6,1
Kathryn S Huggins,,0,38,40,38,36,34,32,18,15,13,8,4,6,1
Ken Washington,,,0,27,32,30,25,25,10,11,8,4,4,4,1
Linda Norris,,,,0,30,29,33,32,13,7,9,7,6,3,1
Dewayne Drummond,,,,,0,31,25,26,10,14,6,3,2,4,1
Liam G Boyle,,,,,,0,27,23,7,8,6,4,2,1,1
Monica Maria Djerassi,,,,,,,0,25,11,6,8,6,4,1,1
Lisa Rhodes,,,,,,,,0,10,4,4,5,3,2,1
Rebecca Poyourow,,,,,,,,,0,9,9,6,3,4,1
Kevin Bundy,,,,,,,,,,0,7,3,2,3,1
Joe Khan,,,,,,,,,,,0,5,4,5,1
Jacque Whaumbush,,,,,,,,,,,,0,3,2,1
John Brady,,,,,,,,,,,,,0,1,1
Nat Lownes,,,,,,,,,,,,,,0,1
Total,83,63,44,42,41,38,36,33,20,17,15,10,7,6,1
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,2
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Monica Maria Djerassi,Rebecca Poyourow,Lisa Rhodes,Linda Norris,Kevin Bundy,Joe Khan,Liam G Boyle,Jacque Whaumbush,Nat Lownes,John Brady,2
Tom Wolf,22,62,40,39,38,35,35,32,25,23,23,22,19,17,2
Kathryn S Huggins,,0,32,33,31,32,29,26,21,16,21,18,14,13,2
Ken Washington,,,0,27,18,20,19,17,18,12,17,10,14,7,2
Dewayne Drummond,,,,0,17,19,19,14,19,13,14,12,15,5,2
Monica Maria Djerassi,,,,,0,28,28,24,11,14,11,17,11,10,2
Rebecca Poyourow,,,,,,0,21,20,11,12,13,13,8,9,2
Lisa Rhodes,,,,,,,0,24,10,10,8,16,9,8,2
Linda Norris,,,,,,,,0,7,9,10,16,7,6,2
Kevin Bundy,,,,,,,,,0,11,12,4,14,7,2
Joe Khan,,,,,,,,,,0,4,6,9,5,2
Liam G Boyle,,,,,,,,,,,0,4,6,8,2
Jacque Whaumbush,,,,,,,,,,,,0,7,3,2
Nat Lownes,,,,,,,,,,,,,0,5,2
John Brady,,,,,,,,,,,,,,1,2
Total,107,64,42,40,39,36,35,32,27,25,25,22,21,19,2
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,3
,Tom Wolf,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Monica Maria Djerassi,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Linda Norris,Joe Khan,Nat Lownes,John Brady,Jacque Whaumbush,3
Tom Wolf,14,40,30,29,25,20,20,18,15,14,11,7,6,1,3
Kathryn S Huggins,,1,25,24,20,15,18,14,12,12,6,6,4,0,3
Dewayne Drummond,,,0,18,16,12,14,11,10,10,6,4,3,0,3
Ken Washington,,,,0,16,12,19,12,9,9,4,5,3,1,3
Monica Maria Djerassi,,,,,0,9,11,17,12,14,10,5,3,1,3
Kevin Bundy,,,,,,0,8,6,5,5,5,3,3,0,3
Liam G Boyle,,,,,,,0,9,6,5,4,3,1,1,3
Lisa Rhodes,,,,,,,,0,8,13,7,4,2,1,3
Rebecca Poyourow,,,,,,,,,0,4,6,3,3,1,3
