col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,All
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,All
Mike Stack,153,0,0,0,0,177,150,130,145,124,106,102,97,93,3,All
Kathi Cozzone,,44,0,0,0,140,101,90,36,32,28,27,28,26,4,All
Nina Ahmad,,,21,0,0,57,52,50,66,70,56,47,47,45,5,All
John Fetterman,,,,16,0,18,18,17,8,8,6,7,7,8,6,All
Ray Sosa,,,,,1,3,3,2,2,2,1,3,0,1,7,All
Jaime Bouldin,,,,,,13,257,241,192,190,173,163,168,161,8,All
David Rodriguez,,,,,,,16,255,188,193,174,167,165,163,9,All
Humberto Perez,,,,,,,,13,181,185,170,164,162,161,10,All
Barbara Carroll,,,,,,,,,6,207,181,166,167,165,11,All
Sharon Vaughn,,,,,,,,,,4,181,166,167,167,12,All
Latrice Y Bryant,,,,,,,,,,,1,163,165,148,13,All
Robert Taylor,,,,,,,,,,,,1,157,147,14,All
Jonathan M Gary,,,,,,,,,,,,,0,148,15,All
Dustin Morris,,,,,,,,,,,,,,1,16,All
Total,436,220,117,46,7,416,348,312,271,246,205,191,183,178,17,All
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,1
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Dustin Morris,Robert Taylor,Jonathan M Gary,Latrice Y Bryant,2,1
Mike Stack,15,0,0,0,0,8,7,7,8,7,6,6,6,6,3,1
Nina Ahmad,,2,0,0,0,2,2,3,2,2,2,2,2,2,4,1
Kathi Cozzone,,,0,0,0,3,3,3,2,2,2,1,1,1,5,1
John Fetterman,,,,0,0,2,2,2,1,1,1,1,1,1,6,1
Ray Sosa,,,,,0,0,0,0,0,0,0,0,0,0,7,1
David Rodriguez,,,,,,2,14,12,11,11,11,10,10,10,8,1
Humberto Perez,,,,,,,1,12,11,11,11,11,10,10,9,1
Jaime Bouldin,,,,,,,,0,10,10,10,10,10,10,10,1
Barbara Carroll,,,,,,,,,0,11,11,10,10,10,11,1
Sharon Vaughn,,,,,,,,,,0,11,10,10,10,12,1
Dustin Morris,,,,,,,,,,,0,10,10,10,13,1
Robert Taylor,,,,,,,,,,,,0,10,10,14,1
Jonathan M Gary,,,,,,,,,,,,,0,10,15,1
Latrice Y Bryant,,,,,,,,,,,,,,0,16,1
Total,27,5,4,2,0,17,16,15,13,12,11,11,10,10,17,1
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,2
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Jaime Bouldin,Barbara Carroll,David Rodriguez,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,2,2
Mike Stack,11,0,0,0,0,10,9,9,9,9,8,7,6,7,3,2
Kathi Cozzone,,3,0,0,0,5,2,4,3,2,2,2,1,1,4,2
Nina Ahmad,,,1,0,0,4,5,3,3,6,4,4,3,2,5,2
John Fetterman,,,,3,0,2,2,3,2,2,2,2,2,2,6,2
Ray Sosa,,,,,0,1,2,1,1,1,1,0,1,1,7,2
Jaime Bouldin,,,,,,0,17,17,17,17,15,14,11,13,8,2
Barbara Carroll,,,,,,,0,15,15,18,17,15,13,13,9,2
David Rodriguez,,,,,,,,0,17,15,13,13,11,13,10,2
Humberto Perez,,,,,,,,,2,15,13,13,11,13,11,2
Sharon Vaughn,,,,,,,,,,0,16,15,11,13,12,2
Latrice Y Bryant,,,,,,,,,,,0,16,13,11,13,2
Jonathan M Gary,,,,,,,,,,,,0,12,11,14,2
Robert Taylor,,,,,,,,,,,,,0,11,15,2
Dustin Morris,,,,,,,,,,,,,,0,16,2
Total,23,10,8,6,2,22,20,20,20,20,18,16,14,13,17,2
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,3
,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,3
Mike Stack,9,0,0,0,0,8,10,7,7,7,6,6,6,6,3,3
Kathi Cozzone,,2,0,0,0,9,7,6,3,2,3,2,2,1,4,3
