col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Brian Sims,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Joe Celentano,Judi Golding Baker,Micah Mahjoubian,Mariel J K Martin,Tom Young,Noam Kugelmass,Jon Geeting,Darrell L Clarke,Matthew D Myers,All
Brian Sims,386,"1,780","1,307","1,211","1,111","1,075","1,043","1,003",951,874,825,699,695,467,All
Rhea Powell,,12,"1,089",974,928,918,915,811,769,700,701,584,503,330,All
Amanda Mcillmurray,,,8,882,819,606,822,628,706,504,530,387,419,294,All
Andi Perez,,,,4,698,588,685,631,654,516,511,391,424,302,All
Marylouise Isaacson,,,,,3,510,671,687,696,482,481,326,417,323,All
Joe Celentano,,,,,,13,479,538,408,579,513,474,283,219,All
Judi Golding Baker,,,,,,,1,480,549,367,408,311,370,277,All
Micah Mahjoubian,,,,,,,,3,574,509,519,281,379,256,All
Mariel J K Martin,,,,,,,,,2,406,382,262,403,307,All
Tom Young,,,,,,,,,,5,479,327,300,253,All
Noam Kugelmass,,,,,,,,,,,0,311,240,178,All
Jon Geeting,,,,,,,,,,,,5,184,151,All
Darrell L Clarke,,,,,,,,,,,,,2,262,All
Matthew D Myers,,,,,,,,,,,,,,4,All
Total,"2,769","1,861","1,372","1,271","1,154","1,136","1,091","1,039",983,915,863,738,721,491,All
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,2
,Brian Sims,Rhea Powell,Amanda Mcillmurray,Andi Perez,Judi Golding Baker,Marylouise Isaacson,Micah Mahjoubian,Joe Celentano,Mariel J K Martin,Noam Kugelmass,Tom Young,Darrell L Clarke,Jon Geeting,Matthew D Myers,2
Brian Sims,11,83,58,55,49,42,39,36,29,31,30,29,18,14,2
Rhea Powell,,1,65,63,58,42,38,35,27,31,30,27,13,12,2
Amanda Mcillmurray,,,1,53,53,31,26,15,23,16,15,20,12,7,2
Andi Perez,,,,0,45,27,26,20,17,16,15,17,11,5,2
Judi Golding Baker,,,,,0,25,20,13,15,13,8,14,8,6,2
Marylouise Isaacson,,,,,,0,24,18,23,18,10,18,11,10,2
Micah Mahjoubian,,,,,,,0,25,16,21,16,17,10,7,2
Joe Celentano,,,,,,,,2,9,21,18,10,10,9,2
Mariel J K Martin,,,,,,,,,0,14,11,14,9,8,2
Noam Kugelmass,,,,,,,,,,0,19,8,7,7,2
Tom Young,,,,,,,,,,,0,11,7,8,2
Darrell L Clarke,,,,,,,,,,,,0,4,10,2
Jon Geeting,,,,,,,,,,,,,0,2,2
Matthew D Myers,,,,,,,,,,,,,,0,2
Total,104,98,71,66,60,47,40,39,33,33,31,29,20,15,2
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,3
,Brian Sims,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Judi Golding Baker,Micah Mahjoubian,Joe Celentano,Mariel J K Martin,Tom Young,Noam Kugelmass,Darrell L Clarke,Jon Geeting,Matthew D Myers,3
Brian Sims,14,61,53,51,44,39,38,37,33,29,24,21,17,17,3
Rhea Powell,,1,43,39,37,34,30,30,24,23,19,15,14,10,3
Amanda Mcillmurray,,,0,37,33,36,24,22,24,18,15,13,10,13,3
Andi Perez,,,,0,28,26,26,20,25,17,15,12,9,10,3
Marylouise Isaacson,,,,,0,23,29,23,25,19,17,12,12,11,3
Judi Golding Baker,,,,,,0,18,16,19,13,8,14,7,14,3
Micah Mahjoubian,,,,,,,0,25,20,20,17,16,9,11,3
Joe Celentano,,,,,,,,0,13,24,17,11,12,12,3
Mariel J K Martin,,,,,,,,,0,10,9,12,5,9,3
Tom Young,,,,,,,,,,0,15,9,11,10,3
Noam Kugelmass,,,,,,,,,,,0,6,9,5,3
Darrell L Clarke,,,,,,,,,,,,0,3,7,3
Jon Geeting,,,,,,,,,,,,,0,6,3
Matthew D Myers,,,,,,,,,,,,,,0,3
Total,96,64,55,51,45,41,38,37,33,30,25,22,17,17,3
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,4
,Brian Sims,Amanda Mcillmurray,Andi Perez,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Judi Golding Baker,Joe Celentano,Mariel J K Martin,Darrell L Clarke,Tom Young,Noam Kugelmass,Jon Geeting,Matthew D Myers,4
Brian Sims,17,100,88,89,71,66,61,51,54,38,37,35,34,27,4
Amanda Mcillmurray,,0,80,68,56,45,53,39,46,32,29,27,23,20,4
Andi Perez,,,0,58,44,42,44,40,36,25,26,24,20,14,4
Rhea Powell,,,,0,56,51,46,41,42,24,32,26,27,22,4
Marylouise Isaacson,,,,,0,47,39,34,44,27,25,23,23,19,4
Micah Mahjoubian,,,,,,0,32,34,37,23,29,22,19,13,4
Judi Golding Baker,,,,,,,0,23,30,28,15,17,13,16,4
Joe Celentano,,,,,,,,1,25,17,28,25,21,16,4
Mariel J K Martin,,,,,,,,,0,25,20,16,13,12,4
Darrell L Clarke,,,,,,,,,,0,12,15,8,11,4
Tom Young,,,,,,,,,,,0,17,17,10,4
Noam Kugelmass,,,,,,,,,,,,0,15,10,4
Jon Geeting,,,,,,,,,,,,,0,13,4
Matthew D Myers,,,,,,,,,,,,,,0,4
Total,153,106,93,91,71,68,64,55,54,41,40,37,35,28,4
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,5
,Brian Sims,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Tom Young,Micah Mahjoubian,Mariel J K Martin,Judi Golding Baker,Joe Celentano,Noam Kugelmass,Darrell L Clarke,Jon Geeting,Matthew D Myers,5
Brian Sims,15,85,77,70,63,65,61,60,49,48,45,39,32,28,5
Rhea Powell,,0,61,51,50,49,46,47,40,37,36,24,23,19,5
Amanda Mcillmurray,,,0,50,50,46,42,49,39,35,36,26,25,20,5
Andi Perez,,,,0,43,43,43,44,32,35,31,25,21,20,5
Marylouise Isaacson,,,,,2,39,43,42,35,27,28,24,17,18,5
Tom Young,,,,,,0,42,35,29,37,34,21,20,18,5
Micah Mahjoubian,,,,,,,0,33,23,31,28,19,19,14,5
Mariel J K Martin,,,,,,,,0,31,22,21,22,15,20,5
Judi Golding Baker,,,,,,,,,1,19,22,19,15,14,5
Joe Celentano,,,,,,,,,,0,22,10,16,15,5
Noam Kugelmass,,,,,,,,,,,0,14,14,10,5
Darrell L Clarke,,,,,,,,,,,,0,6,14,5
Jon Geeting,,,,,,,,,,,,,0,7,5
Matthew D Myers,,,,,,,,,,,,,,1,5
Total,132,85,77,70,65,65,61,60,50,48,45,39,32,29,5
,Representative In The General Assembly 182nd District - Democrat,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,6
,Brian Sims,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Micah Mahjoubian,Joe Celentano,Mariel J K Martin,Tom Young,Noam Kugelmass,Judi Golding Baker,Jon Geeting,Darrell L Clarke,Matthew D Myers,6
Brian Sims,32,87,77,65,59,57,57,56,53,46,40,35,32,21,6
Rhea Powell,,0,58,59,48,47,44,48,40,39,33,27,27,15,6
Amanda Mcillmurray,,,2,51,42,34,34,44,32,34,30,23,22,17,6
