col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,All
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,All
Bob Casey Jr,267,581,448,412,322,318,304,264,262,257,All
Jaime Bouldin,,21,355,338,279,279,260,255,238,250,All
David Rodriguez,,,17,345,274,272,263,246,239,245,All
Humberto Perez,,,,9,257,259,246,246,230,241,All
Barbara Carroll,,,,,3,291,275,258,250,255,All
Sharon Vaughn,,,,,,1,277,262,249,252,All
Latrice Y Bryant,,,,,,,1,251,245,253,All
Dustin Morris,,,,,,,,0,232,242,All
Robert Taylor,,,,,,,,,0,235,All
Jonathan M Gary,,,,,,,,,,0,All
Total,"1,106",626,492,442,352,343,325,284,279,275,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1
,Bob Casey Jr,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,1
Bob Casey Jr,4,14,13,13,10,9,8,8,7,6,1
David Rodriguez,,0,4,9,8,7,6,6,6,5,1
Jaime Bouldin,,,1,5,5,5,4,5,5,5,1
Humberto Perez,,,,0,9,9,7,8,7,5,1
Barbara Carroll,,,,,0,8,6,8,6,5,1
Sharon Vaughn,,,,,,0,7,8,7,5,1
Latrice Y Bryant,,,,,,,0,6,6,4,1
Robert Taylor,,,,,,,,0,6,5,1
Jonathan M Gary,,,,,,,,,0,5,1
Dustin Morris,,,,,,,,,,0,1
Total,31,14,14,13,10,9,8,8,7,6,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,2
,Bob Casey Jr,David Rodriguez,Jaime Bouldin,Humberto Perez,Barbara Carroll,Robert Taylor,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Jonathan M Gary,2
Bob Casey Jr,14,23,29,21,14,15,13,12,12,10,2
David Rodriguez,,6,18,16,14,13,11,12,13,10,2
Jaime Bouldin,,,0,17,12,12,13,12,11,11,2
Humberto Perez,,,,2,10,10,10,10,10,10,2
Barbara Carroll,,,,,1,13,12,13,13,11,2
Robert Taylor,,,,,,0,12,12,12,10,2
Sharon Vaughn,,,,,,,1,12,11,11,2
Dustin Morris,,,,,,,,0,12,11,2
Latrice Y Bryant,,,,,,,,,0,10,2
Jonathan M Gary,,,,,,,,,,0,2
Total,57,30,30,24,16,16,15,13,13,11,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,3
,Bob Casey Jr,Jaime Bouldin,Humberto Perez,David Rodriguez,Barbara Carroll,Jonathan M Gary,Latrice Y Bryant,Dustin Morris,Robert Taylor,Sharon Vaughn,3
Bob Casey Jr,21,40,34,34,30,29,29,27,27,27,3
Jaime Bouldin,,0,34,34,29,30,31,29,29,29,3
Humberto Perez,,,1,33,28,29,29,29,29,28,3
David Rodriguez,,,,0,27,29,29,28,28,27,3
Barbara Carroll,,,,,0,29,29,28,28,28,3
Jonathan M Gary,,,,,,0,30,29,29,28,3
Latrice Y Bryant,,,,,,,0,29,29,29,3
Dustin Morris,,,,,,,,0,29,28,3
Robert Taylor,,,,,,,,,0,28,3
Sharon Vaughn,,,,,,,,,,0,3
Total,67,42,37,35,32,31,31,29,29,29,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,4
,Bob Casey Jr,Jaime Bouldin,Sharon Vaughn,Barbara Carroll,David Rodriguez,Dustin Morris,Humberto Perez,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,4
Bob Casey Jr,3,16,12,11,11,10,11,11,11,11,4
Jaime Bouldin,,1,13,12,11,11,11,11,11,9,4
Sharon Vaughn,,,0,13,10,11,10,12,12,10,4
Barbara Carroll,,,,0,9,11,9,11,12,10,4
David Rodriguez,,,,,0,9,10,10,9,8,4
Dustin Morris,,,,,,0,9,10,10,9,4
Humberto Perez,,,,,,,0,9,8,8,4
Jonathan M Gary,,,,,,,,0,11,9,4
Latrice Y Bryant,,,,,,,,,0,10,4
Robert Taylor,,,,,,,,,,0,4
Total,23,19,14,13,12,12,12,12,12,11,4
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,5
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Latrice Y Bryant,Humberto Perez,Sharon Vaughn,Barbara Carroll,Robert Taylor,Dustin Morris,Jonathan M Gary,5
Bob Casey Jr,5,17,14,12,11,10,9,9,8,7,5
Jaime Bouldin,,0,12,9,12,10,9,9,8,8,5
David Rodriguez,,,0,8,11,9,8,8,9,7,5
Latrice Y Bryant,,,,1,8,9,9,9,8,8,5
Humberto Perez,,,,,0,8,9,7,8,7,5
Sharon Vaughn,,,,,,0,9,11,8,8,5
Barbara Carroll,,,,,,,0,8,8,9,5
Robert Taylor,,,,,,,,0,7,8,5
Dustin Morris,,,,,,,,,0,7,5
Jonathan M Gary,,,,,,,,,,0,5
Total,31,19,16,15,13,12,11,11,10,9,5
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,6
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,6
Bob Casey Jr,11,29,25,24,17,18,15,15,13,12,6
Jaime Bouldin,,2,22,23,19,20,16,17,15,14,6
David Rodriguez,,,1,23,17,17,15,15,14,13,6
Humberto Perez,,,,0,19,18,16,16,16,15,6
Barbara Carroll,,,,,1,19,16,16,16,15,6
Sharon Vaughn,,,,,,0,15,16,15,14,6
Dustin Morris,,,,,,,0,14,13,13,6
Latrice Y Bryant,,,,,,,,0,15,14,6
Robert Taylor,,,,,,,,,0,15,6
Jonathan M Gary,,,,,,,,,,0,6
Total,46,33,27,27,21,20,17,17,16,15,6
,United States Senator - Democrat,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,7
,Bob Casey Jr,Jaime Bouldin,David Rodriguez,Humberto Perez,Sharon Vaughn,Barbara Carroll,Jonathan M Gary,Dustin Morris,Latrice Y Bryant,Robert Taylor,7
Bob Casey Jr,18,47,29,26,26,24,21,20,20,16,7
Jaime Bouldin,,5,24,24,24,22,20,20,19,16,7
David Rodriguez,,,0,23,22,21,19,20,20,16,7
Humberto Perez,,,,0,22,20,21,21,19,17,7
