col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Kathryn S Huggins,Monica Maria Djerassi,Lisa Rhodes,Rebecca Poyourow,Dewayne Drummond,Linda Norris,Ken Washington,Liam G Boyle,Joe Khan,Kevin Bundy,Nat Lownes,Jacque Whaumbush,John Brady,2,All
Kathryn S Huggins,11,69,62,66,57,56,45,39,30,34,32,22,16,3,All
Monica Maria Djerassi,,2,61,62,38,51,29,27,32,22,23,25,14,4,All
Lisa Rhodes,,,3,54,37,58,29,22,29,18,23,24,15,5,All
Rebecca Poyourow,,,,2,37,48,26,18,25,15,23,25,11,6,All
Dewayne Drummond,,,,,1,28,38,34,22,26,18,15,12,7,All
Linda Norris,,,,,,0,23,17,22,13,20,20,11,8,All
Ken Washington,,,,,,,4,32,13,29,15,11,7,9,All
Liam G Boyle,,,,,,,,2,13,26,11,5,9,10,All
Joe Khan,,,,,,,,,1,14,10,11,9,11,All
Kevin Bundy,,,,,,,,,,3,12,4,9,12,All
Nat Lownes,,,,,,,,,,,0,9,4,13,All
Jacque Whaumbush,,,,,,,,,,,,1,5,14,All
John Brady,,,,,,,,,,,,,1,15,All
Total,109,85,80,79,68,66,60,51,43,43,34,32,23,16,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,3
,Kathryn S Huggins,Monica Maria Djerassi,Rebecca Poyourow,Linda Norris,Lisa Rhodes,Nat Lownes,Dewayne Drummond,Joe Khan,Jacque Whaumbush,Ken Washington,Liam G Boyle,John Brady,Kevin Bundy,2,3
Kathryn S Huggins,2,6,6,5,5,3,2,1,1,1,0,0,0,3,3
Monica Maria Djerassi,,0,7,6,6,3,2,2,1,1,0,0,0,4,3
Rebecca Poyourow,,,0,6,6,3,2,2,1,1,0,0,0,5,3
Linda Norris,,,,0,6,3,2,2,1,1,0,0,0,6,3
Lisa Rhodes,,,,,0,3,2,2,1,1,0,0,0,7,3
Nat Lownes,,,,,,0,2,0,0,1,0,0,0,8,3
Dewayne Drummond,,,,,,,0,0,0,0,0,0,0,9,3
Joe Khan,,,,,,,,0,1,0,0,0,0,10,3
Jacque Whaumbush,,,,,,,,,0,0,0,0,0,11,3
Ken Washington,,,,,,,,,,0,0,0,0,12,3
Liam G Boyle,,,,,,,,,,,1,0,0,13,3
John Brady,,,,,,,,,,,,0,0,14,3
Kevin Bundy,,,,,,,,,,,,,0,15,3
Total,8,7,7,6,6,3,2,2,1,1,1,0,0,16,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Kathryn S Huggins,Ken Washington,Monica Maria Djerassi,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Kevin Bundy,Linda Norris,Joe Khan,Nat Lownes,John Brady,Jacque Whaumbush,2,6
Kathryn S Huggins,3,17,19,19,18,18,20,16,16,11,13,7,4,3,6
Ken Washington,,2,7,13,13,9,8,13,7,4,6,3,2,4,6
Monica Maria Djerassi,,,1,10,7,14,15,7,10,10,6,6,4,5,6
Dewayne Drummond,,,,0,13,7,8,11,5,7,6,4,1,6,6
Liam G Boyle,,,,,0,6,7,11,4,4,7,4,1,7,6
Lisa Rhodes,,,,,,0,15,5,13,7,6,5,4,8,6
Rebecca Poyourow,,,,,,,0,5,12,7,7,4,4,9,6
Kevin Bundy,,,,,,,,1,7,5,7,4,1,10,6
Linda Norris,,,,,,,,,0,6,7,3,4,11,6
Joe Khan,,,,,,,,,,1,4,2,1,12,6
Nat Lownes,,,,,,,,,,,0,3,3,13,6
John Brady,,,,,,,,,,,,0,1,14,6
Jacque Whaumbush,,,,,,,,,,,,,0,15,6
Total,37,22,21,20,20,20,20,18,17,13,13,9,5,16,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,11
,Monica Maria Djerassi,Rebecca Poyourow,Lisa Rhodes,Kathryn S Huggins,Joe Khan,Dewayne Drummond,Jacque Whaumbush,Linda Norris,Ken Washington,Nat Lownes,Kevin Bundy,John Brady,Liam G Boyle,2,11
Monica Maria Djerassi,0,14,13,11,9,7,8,8,6,6,4,3,1,3,11
Rebecca Poyourow,,0,11,10,8,8,7,7,4,5,3,3,1,4,11
Lisa Rhodes,,,1,9,8,6,8,8,5,5,2,2,0,5,11
Kathryn S Huggins,,,,0,6,5,4,6,6,5,3,2,1,6,11
Joe Khan,,,,,0,4,6,4,2,4,3,2,0,7,11
Dewayne Drummond,,,,,,0,3,3,3,2,2,1,1,8,11
Jacque Whaumbush,,,,,,,0,5,2,3,1,1,0,9,11
Linda Norris,,,,,,,,0,3,1,0,2,0,10,11
Ken Washington,,,,,,,,,0,2,2,0,1,11,11
Nat Lownes,,,,,,,,,,0,2,1,0,12,11
Kevin Bundy,,,,,,,,,,,0,1,1,13,11
John Brady,,,,,,,,,,,,0,0,14,11
Liam G Boyle,,,,,,,,,,,,,1,15,11
Total,16,15,14,12,10,8,8,8,6,6,4,3,2,16,11
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,13
,Kathryn S Huggins,Lisa Rhodes,Monica Maria Djerassi,Dewayne Drummond,Linda Norris,Rebecca Poyourow,Ken Washington,Liam G Boyle,Kevin Bundy,Jacque Whaumbush,Joe Khan,John Brady,Nat Lownes,2,13
Kathryn S Huggins,5,20,22,22,21,20,14,13,10,9,9,6,9,3,13
Lisa Rhodes,,2,19,16,23,14,10,12,9,8,9,7,7,4,13
Monica Maria Djerassi,,,1,13,20,16,10,13,7,8,7,4,7,5,13
Dewayne Drummond,,,,1,14,13,18,14,10,10,9,6,7,6,13
Linda Norris,,,,,0,16,9,11,4,7,8,6,7,7,13
Rebecca Poyourow,,,,,,1,8,6,4,9,5,4,6,8,13
Ken Washington,,,,,,,2,13,10,5,6,4,5,9,13
Liam G Boyle,,,,,,,,0,9,3,8,4,4,10,13
Kevin Bundy,,,,,,,,,2,1,5,4,3,11,13
Jacque Whaumbush,,,,,,,,,,1,3,3,2,12,13
Joe Khan,,,,,,,,,,,0,4,2,13,13
John Brady,,,,,,,,,,,,1,0,14,13
Nat Lownes,,,,,,,,,,,,,0,15,13
Total,37,30,29,28,27,25,23,20,15,14,13,10,10,16,13
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,18
