col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In Congress 3rd District - Democrat,,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Rebecca Poyourow,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Liam G Boyle,Joe Khan,Jacque Whaumbush,Ken Washington,Dewayne Drummond,John Brady,Kevin Bundy,Nat Lownes,1
Dwight Evans,10,0,33,36,31,32,29,19,20,17,13,8,9,6,7,1
Kevin Johnson,,6,18,13,15,9,7,10,9,8,7,7,4,5,1,1
Kathryn S Huggins,,,2,41,41,36,32,24,23,19,19,12,8,9,7,1
Rebecca Poyourow,,,,0,37,33,31,20,19,20,15,11,7,6,5,1
Monica Maria Djerassi,,,,,0,34,31,18,18,19,17,12,7,9,7,1
Lisa Rhodes,,,,,,0,33,15,16,17,11,8,9,7,8,1
Linda Norris,,,,,,,0,17,13,13,11,6,6,4,7,1
Liam G Boyle,,,,,,,,1,15,9,9,6,8,7,2,1
Joe Khan,,,,,,,,,0,13,5,6,8,6,2,1
Jacque Whaumbush,,,,,,,,,,0,10,7,6,2,3,1
Ken Washington,,,,,,,,,,,0,7,5,3,1,1
Dewayne Drummond,,,,,,,,,,,,0,2,4,3,1
John Brady,,,,,,,,,,,,,0,5,0,1
Kevin Bundy,,,,,,,,,,,,,,0,0,1
Nat Lownes,,,,,,,,,,,,,,,0,1
Total,57,26,55,50,46,42,37,31,30,25,20,15,13,11,8,1
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,2
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Monica Maria Djerassi,Dewayne Drummond,Linda Norris,Lisa Rhodes,Ken Washington,Joe Khan,Jacque Whaumbush,Kevin Bundy,John Brady,Nat Lownes,Dwight Evans,Kevin Johnson,2
Kathryn S Huggins,0,45,37,40,34,35,28,25,20,16,16,10,13,39,23,2
Rebecca Poyourow,,0,33,38,27,30,26,21,20,19,12,11,13,35,19,2
Liam G Boyle,,,0,27,26,21,17,20,14,10,16,10,6,27,18,2
Monica Maria Djerassi,,,,0,23,28,23,15,14,13,9,6,9,27,15,2
Dewayne Drummond,,,,,0,19,16,25,13,4,14,5,9,22,14,2
Linda Norris,,,,,,0,27,14,9,15,6,6,7,22,14,2
Lisa Rhodes,,,,,,,0,14,6,11,7,4,3,21,9,2
Ken Washington,,,,,,,,0,7,4,10,2,8,17,12,2
Joe Khan,,,,,,,,,0,7,9,9,3,17,9,2
Jacque Whaumbush,,,,,,,,,,0,2,4,6,11,9,2
Kevin Bundy,,,,,,,,,,,0,7,2,11,8,2
