col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Kevin J Boyle,James Harrity,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,All
Kevin J Boyle,35,150,117,106,104,97,96,93,80,73,All
James Harrity,,1,80,85,75,80,75,79,62,62,All
Meagan Ingerson,,,1,61,80,51,54,48,38,30,All
Erica Vanstone,,,,0,56,82,81,77,70,63,All
Mona Getzes Cohen,,,,,1,50,48,48,37,34,All
Richard Lombardo,,,,,,2,72,74,60,60,All
Catherine Bartch,,,,,,,0,69,68,56,All
Frank T Brzozowski,,,,,,,,0,60,56,All
Marnie Aument Loughrey,,,,,,,,,0,52,All
Billy Cortes,,,,,,,,,,0,All
Total,253,154,119,108,106,102,98,98,81,74,All
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,9
,Kevin J Boyle,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Frank T Brzozowski,Catherine Bartch,Erica Vanstone,Richard Lombardo,Billy Cortes,Marnie Aument Loughrey,9
Kevin J Boyle,4,16,15,15,8,7,8,8,7,7,9
James Harrity,,1,11,10,7,4,6,6,7,5,9
Meagan Ingerson,,,0,13,7,6,6,6,5,5,9
Mona Getzes Cohen,,,,0,6,5,6,6,5,5,9
Frank T Brzozowski,,,,,0,5,6,6,6,6,9
Catherine Bartch,,,,,,0,5,5,4,5,9
Erica Vanstone,,,,,,,0,7,5,4,9
Richard Lombardo,,,,,,,,0,5,4,9
Billy Cortes,,,,,,,,,0,5,9
Marnie Aument Loughrey,,,,,,,,,,0,9
Total,26,17,16,15,9,8,8,8,7,7,9
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,10
,Kevin J Boyle,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,10
Kevin J Boyle,2,28,21,19,16,15,14,13,12,10,10
James Harrity,,0,15,14,13,11,12,10,9,9,10
Mona Getzes Cohen,,,1,16,10,9,8,6,6,5,10
Meagan Ingerson,,,,0,9,8,7,6,6,4,10
Erica Vanstone,,,,,0,13,13,11,11,10,10
Richard Lombardo,,,,,,0,12,10,11,9,10
Billy Cortes,,,,,,,0,11,11,10,10
Catherine Bartch,,,,,,,,0,9,10,10
Frank T Brzozowski,,,,,,,,,0,8,10
Marnie Aument Loughrey,,,,,,,,,,0,10
Total,41,28,22,19,17,16,15,14,13,11,10
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,13
,Kevin J Boyle,James Harrity,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Marnie Aument Loughrey,Mona Getzes Cohen,Billy Cortes,13
Kevin J Boyle,7,21,15,13,12,10,9,10,9,8,13
James Harrity,,0,10,11,11,10,8,8,6,8,13
Meagan Ingerson,,,0,9,8,6,5,6,6,4,13
Erica Vanstone,,,,0,11,8,7,8,6,7,13
Catherine Bartch,,,,,0,7,6,8,5,6,13
Frank T Brzozowski,,,,,,0,6,6,3,6,13
Richard Lombardo,,,,,,,1,4,3,5,13
Marnie Aument Loughrey,,,,,,,,0,5,4,13
Mona Getzes Cohen,,,,,,,,,0,3,13
Billy Cortes,,,,,,,,,,0,13
Total,39,22,15,13,12,11,11,10,9,8,13
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,14
,Kevin J Boyle,James Harrity,Catherine Bartch,Frank T Brzozowski,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Mona Getzes Cohen,Billy Cortes,14
Kevin J Boyle,6,22,19,18,17,17,16,14,14,12,14
James Harrity,,0,15,15,11,13,14,11,9,9,14
Catherine Bartch,,,0,16,11,16,15,14,9,10,14
Frank T Brzozowski,,,,0,9,13,13,11,7,9,14
Meagan Ingerson,,,,,1,8,7,6,11,2,14
Erica Vanstone,,,,,,0,13,13,7,10,14
Richard Lombardo,,,,,,,1,11,5,9,14
Marnie Aument Loughrey,,,,,,,,0,5,10,14
Mona Getzes Cohen,,,,,,,,,0,3,14
Billy Cortes,,,,,,,,,,0,14
Total,39,22,19,18,18,17,17,14,14,12,14
,Representative In The General Assembly 172nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,15
