col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,All
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,All
Patty Pat Kozlowski,125,175,173,67,17,All
Diana Irey Vaughan,,8,0,0,0,All
Kathy Coder,,,4,0,0,All
Jeff Bartos,,,,4,0,All
Peg Luksik,,,,,2,All
Total,557,183,177,71,19,All
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,1
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,1
Patty Pat Kozlowski,9,18,10,7,1,1
Diana Irey Vaughan,,0,0,0,0,1
Kathy Coder,,,0,0,0,1
Jeff Bartos,,,,0,0,1
Peg Luksik,,,,,1,1
Total,45,18,10,7,2,1
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,2
,Patty Pat Kozlowski,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2
Patty Pat Kozlowski,1,4,2,1,1,2
Kathy Coder,,0,0,0,0,2
Jeff Bartos,,,0,0,0,2
Diana Irey Vaughan,,,,0,0,2
Peg Luksik,,,,,0,2
Total,9,4,2,1,1,2
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,3
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,3
Patty Pat Kozlowski,12,27,24,5,2,3
Diana Irey Vaughan,,1,0,0,0,3
Kathy Coder,,,0,0,0,3
Jeff Bartos,,,,2,0,3
Peg Luksik,,,,,0,3
Total,70,28,24,7,2,3
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,4
,Patty Pat Kozlowski,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,4
Patty Pat Kozlowski,13,25,16,7,4,4
Kathy Coder,,1,0,0,0,4
Diana Irey Vaughan,,,0,0,0,4
Jeff Bartos,,,,0,0,4
Peg Luksik,,,,,0,4
Total,65,26,16,7,4,4
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,5
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,5
Patty Pat Kozlowski,14,24,15,4,0,5
Diana Irey Vaughan,,0,0,0,0,5
Kathy Coder,,,0,0,0,5
Jeff Bartos,,,,1,0,5
Peg Luksik,,,,,0,5
Total,57,24,15,5,0,5
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,6
,Patty Pat Kozlowski,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,6
Patty Pat Kozlowski,9,10,9,3,3,6
Kathy Coder,,0,0,0,0,6
Jeff Bartos,,,0,0,0,6
Diana Irey Vaughan,,,,0,0,6
Peg Luksik,,,,,0,6
Total,34,10,9,3,3,6
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,7
,Patty Pat Kozlowski,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,7
Patty Pat Kozlowski,3,10,5,2,1,7
Kathy Coder,,0,0,0,0,7
Diana Irey Vaughan,,,0,0,0,7
Jeff Bartos,,,,0,0,7
Peg Luksik,,,,,1,7
Total,21,10,5,2,2,7
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,12
,Patty Pat Kozlowski,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,12
Patty Pat Kozlowski,2,3,1,0,0,12
Kathy Coder,,0,0,0,0,12
Diana Irey Vaughan,,,0,0,0,12
Jeff Bartos,,,,0,0,12
Peg Luksik,,,,,0,12
Total,6,3,1,0,0,12
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,15
,Patty Pat Kozlowski,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,15
Patty Pat Kozlowski,8,11,6,4,1,15
Kathy Coder,,0,0,0,0,15
Diana Irey Vaughan,,,0,0,0,15
Jeff Bartos,,,,1,0,15
Peg Luksik,,,,,0,15
Total,30,11,6,5,1,15
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,18
,Patty Pat Kozlowski,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,18
Patty Pat Kozlowski,0,2,1,1,0,18
Kathy Coder,,0,0,0,0,18
Diana Irey Vaughan,,,0,0,0,18
Jeff Bartos,,,,0,0,18
Peg Luksik,,,,,0,18
Total,4,2,1,1,0,18
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,20
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,20
Patty Pat Kozlowski,10,22,24,5,1,20
Diana Irey Vaughan,,3,0,0,0,20
Kathy Coder,,,0,0,0,20
Jeff Bartos,,,,0,0,20
Peg Luksik,,,,,0,20
Total,62,25,24,5,1,20
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,22
,Patty Pat Kozlowski,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,22
Patty Pat Kozlowski,8,6,6,4,1,22
Diana Irey Vaughan,,2,0,0,0,22
Jeff Bartos,,,0,0,0,22
Kathy Coder,,,,1,0,22
Peg Luksik,,,,,0,22
Total,25,8,6,5,1,22
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,23
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,23
Patty Pat Kozlowski,8,15,7,6,1,23
Diana Irey Vaughan,,0,0,0,0,23
Kathy Coder,,,1,0,0,23
Jeff Bartos,,,,0,0,23
Peg Luksik,,,,,0,23
Total,37,15,8,6,1,23
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,24
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,24
Patty Pat Kozlowski,23,20,17,6,0,24
Diana Irey Vaughan,,1,0,0,0,24
Kathy Coder,,,0,0,0,24
Jeff Bartos,,,,0,0,24
Peg Luksik,,,,,0,24
Total,66,21,17,6,0,24
,Representative In The General Assembly 177th District - Republican,Lieutenant Governor - Republican,,,,25
,Patty Pat Kozlowski,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,25
Patty Pat Kozlowski,5,10,7,3,1,25
Diana Irey Vaughan,,1,0,0,0,25
Kathy Coder,,,1,0,0,25
Jeff Bartos,,,,0,0,25
Peg Luksik,,,,,0,25
Total,26,11,8,3,1,25
