To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,division
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,All
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Paul Mango,Laura Ellsworth,Write In,All
Write In,,,,,,1,0,10
Total,2,1,1,3,1,1,0,10
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,11
,Lou Barletta,Jim Christiana,Write In,Paul Mango,Scott R Wagner,Laura Ellsworth,0,11
Lou Barletta,1,0,0,1,2,0,0,11
Jim Christiana,,1,0,0,0,0,0,11
Write In,,,1,0,0,0,0,11
Paul Mango,,,,1,0,0,0,11
Scott R Wagner,,,,,1,0,0,11
Laura Ellsworth,,,,,,2,0,11
Total,6,2,1,4,4,2,0,11
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,12
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,12
Jim Christiana,1,0,0,2,1,0,0,12
Lou Barletta,,1,0,1,0,1,0,12
Write In,,,1,0,0,0,0,12
Scott R Wagner,,,,1,0,0,0,12
Laura Ellsworth,,,,,3,0,0,12
Paul Mango,,,,,,2,0,12
Total,6,5,1,6,5,4,0,12
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,13
,Jim Christiana,Scott R Wagner,Laura Ellsworth,Paul Mango,Lou Barletta,Write In,0,13
Paul Mango,2,0,0,1,2,0,0,13
Scott R Wagner,0,1,0,,0,0,0,13
Laura Ellsworth,0,,1,,0,0,0,13
Jim Christiana,1,,,,0,0,0,13
Lou Barletta,,,,,1,0,0,13
Write In,,,,,,1,0,13
Total,5,2,1,7,4,1,0,13
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,14
,Jim Christiana,Lou Barletta,Write In,Paul Mango,Scott R Wagner,Laura Ellsworth,0,14
Jim Christiana,1,0,0,1,1,0,0,14
Lou Barletta,,1,0,1,1,0,0,14
Write In,,,1,0,0,0,0,14
Paul Mango,,,,2,0,0,0,14
Scott R Wagner,,,,,1,0,0,14
Laura Ellsworth,,,,,,1,0,14
Total,6,5,1,6,5,2,0,14
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,15
,Lou Barletta,Jim Christiana,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,15
Lou Barletta,1,0,0,3,2,2,0,15
Jim Christiana,,1,0,3,1,2,0,15
Write In,,,1,0,0,0,0,15
Scott R Wagner,,,,1,0,0,0,15
Laura Ellsworth,,,,,2,0,0,15
Paul Mango,,,,,,1,0,15
Total,11,10,1,9,7,7,0,15
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,To Remove 6,16
,Jim Christiana,Scott R Wagner,Laura Ellsworth,Paul Mango,Write In,Lou Barletta,Write In,16
Paul Mango,0,0,0,3,0,2,0,16
Scott R Wagner,2,2,0,,0,0,0,16
Laura Ellsworth,0,,1,,0,0,0,16
Write In,0,,,,0,0,0,16
Jim Christiana,1,,,,,0,0,16
Lou Barletta,,,,,,1,0,16
Write In,,,,,,,1,16
Total,5,5,1,7,1,4,2,16
To Remove,United States Senator Republican,To Remove 2,To Remove 3,Governor Republican,To Remove 4,To Remove 5,0,17
,Jim Christiana,Lou Barletta,Write In,Scott R Wagner,Laura Ellsworth,Paul Mango,0,17
Jim Christiana,1,0,0,1,0,0,0,17
Lou Barletta,,1,0,0,0,0,0,17
Write In,,,1,0,0,0,0,17
