col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,Lieutenant Governor - Republican,,,,1,All
,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,Christopher M Vogler,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,All
Michael A Cibik,8,210,214,212,106,98,53,5,3,All
Maria Digiorgio Mccolgan,,3,221,211,114,83,46,3,4,All
Theresa A Dintino,,,3,210,96,88,52,4,5,All
Christopher M Vogler,,,,1,93,86,48,2,6,All
Kathy Coder,,,,,14,0,0,0,7,All
Jeff Bartos,,,,,,21,0,0,8,All
Diana Irey Vaughan,,,,,,,9,0,9,All
Peg Luksik,,,,,,,,3,10,All
Total,281,262,257,241,163,139,81,12,11,All
