col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,All
,Christine M Tartaglione,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,All
Christine M Tartaglione,52,476,170,173,108,15,All
Mike Stack,,54,0,0,0,0,All
Nina Ahmad,,,23,0,0,0,All
Kathi Cozzone,,,,9,0,0,All
John Fetterman,,,,,25,0,All
Ray Sosa,,,,,,3,All
Total,994,530,193,182,133,18,All
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,1
,Christine M Tartaglione,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,1
Christine M Tartaglione,3,22,8,6,2,1,1
Mike Stack,,2,0,0,0,0,1
Nina Ahmad,,,0,0,0,0,1
Kathi Cozzone,,,,0,0,0,1
John Fetterman,,,,,0,0,1
Ray Sosa,,,,,,0,1
Total,42,24,8,6,2,1,1
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,2
,Christine M Tartaglione,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2
Christine M Tartaglione,2,21,7,8,7,0,2
Mike Stack,,5,0,0,0,0,2
John Fetterman,,,1,0,0,0,2
Nina Ahmad,,,,0,0,0,2
Kathi Cozzone,,,,,0,0,2
Ray Sosa,,,,,,1,2
Total,45,26,8,8,7,1,2
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,3
,Christine M Tartaglione,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,3
Christine M Tartaglione,2,19,9,5,3,0,3
Mike Stack,,3,0,0,0,0,3
Kathi Cozzone,,,1,0,0,0,3
Nina Ahmad,,,,1,0,0,3
John Fetterman,,,,,0,0,3
Ray Sosa,,,,,,0,3
Total,38,22,10,6,3,0,3
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,4
,Christine M Tartaglione,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,4
Christine M Tartaglione,2,29,10,9,8,0,4
Mike Stack,,1,0,0,0,0,4
Nina Ahmad,,,2,0,0,0,4
John Fetterman,,,,0,0,0,4
Kathi Cozzone,,,,,0,0,4
Ray Sosa,,,,,,0,4
Total,58,30,12,9,8,0,4
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,5
,Christine M Tartaglione,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,5
Christine M Tartaglione,1,24,12,5,3,0,5
Mike Stack,,2,0,0,0,0,5
Nina Ahmad,,,1,0,0,0,5
Kathi Cozzone,,,,1,0,0,5
John Fetterman,,,,,1,0,5
Ray Sosa,,,,,,0,5
Total,45,26,13,6,4,0,5
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,6
,Christine M Tartaglione,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,6
Christine M Tartaglione,2,21,11,7,3,0,6
Mike Stack,,4,0,0,0,0,6
Kathi Cozzone,,,0,0,0,0,6
Nina Ahmad,,,,1,0,0,6
John Fetterman,,,,,0,0,6
Ray Sosa,,,,,,0,6
Total,44,25,11,8,3,0,6
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,7
,Christine M Tartaglione,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,7
Christine M Tartaglione,1,15,13,5,2,0,7
Mike Stack,,5,0,0,0,0,7
Kathi Cozzone,,,0,0,0,0,7
Nina Ahmad,,,,3,0,0,7
Ray Sosa,,,,,0,0,7
John Fetterman,,,,,,1,7
Total,36,20,13,8,2,1,7
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,8
,Christine M Tartaglione,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,8
Christine M Tartaglione,0,20,7,3,3,0,8
Mike Stack,,1,0,0,0,0,8
Kathi Cozzone,,,0,0,0,0,8
John Fetterman,,,,2,0,0,8
Nina Ahmad,,,,,0,0,8
Ray Sosa,,,,,,0,8
Total,33,21,7,5,3,0,8
,Senator In The General Assembly 2nd District - Democrat,Lieutenant Governor - Democrat,,,,,9
