col_1,col_2,col_3,col_4,col_5,col_6,order,division
,United States Senator - Republican,,Governor - Republican,,,1,All
,Jim Christiana,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Jim Christiana,1,0,22,22,8,3,All
Lou Barletta,,1,20,18,8,4,All
Scott R Wagner,,,4,0,0,5,All
Paul Mango,,,,1,0,6,All
Laura Ellsworth,,,,,1,7,All
Total,53,47,46,41,17,8,All
,United States Senator - Republican,,Governor - Republican,,,1,1
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,1
Lou Barletta,0,0,5,1,0,3,1
Jim Christiana,,0,0,1,0,4,1
Scott R Wagner,,,0,0,0,5,1
Paul Mango,,,,0,0,6,1
Laura Ellsworth,,,,,0,7,1
Total,6,1,5,2,0,8,1
,United States Senator - Republican,,Governor - Republican,,,1,3
,Jim Christiana,Lou Barletta,Paul Mango,Laura Ellsworth,Scott R Wagner,2,3
Jim Christiana,0,0,1,0,0,3,3
Lou Barletta,,0,0,0,0,4,3
Paul Mango,,,0,0,0,5,3
Laura Ellsworth,,,,0,0,6,3
Scott R Wagner,,,,,0,7,3
Total,1,0,1,0,0,8,3
,United States Senator - Republican,,Governor - Republican,,,1,4
,Lou Barletta,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,2,4
Lou Barletta,0,0,1,0,0,3,4
Jim Christiana,,0,0,0,0,4,4
Paul Mango,,,0,0,0,5,4
Laura Ellsworth,,,,0,0,6,4
Scott R Wagner,,,,,0,7,4
Total,1,0,1,0,0,8,4
,Governor - Republican,,,United States Senator - Republican,,1,7
,Laura Ellsworth,Paul Mango,Scott R Wagner,Jim Christiana,Lou Barletta,2,7
Laura Ellsworth,0,0,0,1,1,3,7
Paul Mango,,0,0,0,0,4,7
Scott R Wagner,,,0,0,0,5,7
Jim Christiana,,,,0,0,6,7
Lou Barletta,,,,,0,7,7
Total,2,0,0,1,1,8,7
,United States Senator - Republican,,Governor - Republican,,,1,9
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
Jim Christiana,0,0,1,0,0,3,9
Lou Barletta,,0,0,1,0,4,9
Paul Mango,,,0,0,0,5,9
Scott R Wagner,,,,0,0,6,9
Laura Ellsworth,,,,,0,7,9
Total,1,1,1,1,0,8,9
,United States Senator - Republican,,Governor - Republican,,,1,11
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,11
Jim Christiana,0,0,2,1,0,3,11
Lou Barletta,,0,0,1,0,4,11
Paul Mango,,,0,0,0,5,11
Scott R Wagner,,,,0,0,6,11
Laura Ellsworth,,,,,0,7,11
Total,3,1,2,2,0,8,11
,Governor - Republican,,,United States Senator - Republican,,1,12
,Laura Ellsworth,Paul Mango,Scott R Wagner,Jim Christiana,Lou Barletta,2,12
Laura Ellsworth,1,0,0,0,0,3,12
Paul Mango,,0,0,0,0,4,12
Scott R Wagner,,,0,0,0,5,12
Jim Christiana,,,,0,0,6,12
Lou Barletta,,,,,0,7,12
Total,1,0,0,0,0,8,12
,United States Senator - Republican,,Governor - Republican,,,1,14
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,14
Jim Christiana,0,0,1,1,0,3,14
Lou Barletta,,0,0,0,0,4,14
Laura Ellsworth,,,0,0,0,5,14
Paul Mango,,,,0,0,6,14
Scott R Wagner,,,,,0,7,14
Total,2,0,1,1,0,8,14
,United States Senator - Republican,,Governor - Republican,,,1,15
,Jim Christiana,Lou Barletta,Scott R Wagner,Laura Ellsworth,Paul Mango,2,15
Jim Christiana,0,0,1,0,0,3,15
Lou Barletta,,0,0,0,0,4,15
Scott R Wagner,,,0,0,0,5,15
Laura Ellsworth,,,,0,0,6,15
Paul Mango,,,,,0,7,15
Total,1,0,1,0,0,8,15
,United States Senator - Republican,,Governor - Republican,,,1,16
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,16
Jim Christiana,0,0,1,0,0,3,16
Lou Barletta,,0,0,1,0,4,16
Paul Mango,,,0,0,0,5,16
Scott R Wagner,,,,0,0,6,16
Laura Ellsworth,,,,,0,7,16
Total,1,1,1,1,0,8,16
,United States Senator - Republican,,Governor - Republican,,,1,17
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,17
Jim Christiana,0,0,1,1,0,3,17
Lou Barletta,,0,0,0,0,4,17
Paul Mango,,,0,0,0,5,17
Scott R Wagner,,,,0,0,6,17
Laura Ellsworth,,,,,0,7,17
Total,2,0,1,1,0,8,17
,United States Senator - Republican,,Governor - Republican,,,1,18
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,18
Jim Christiana,0,0,1,0,0,3,18
Lou Barletta,,0,0,0,0,4,18
Laura Ellsworth,,,0,0,0,5,18
Paul Mango,,,,0,0,6,18
Scott R Wagner,,,,,0,7,18
Total,1,0,1,0,0,8,18
,United States Senator - Republican,,Governor - Republican,,,1,19
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,19
Jim Christiana,0,0,1,1,0,3,19
Lou Barletta,,0,0,0,0,4,19
Paul Mango,,,0,0,0,5,19
Scott R Wagner,,,,0,0,6,19
Laura Ellsworth,,,,,0,7,19
Total,2,0,1,1,0,8,19
,Governor - Republican,,,United States Senator - Republican,,1,20
,Paul Mango,Scott R Wagner,Laura Ellsworth,Jim Christiana,Lou Barletta,2,20
Paul Mango,1,0,0,1,2,3,20
Scott R Wagner,,0,0,1,0,4,20
Laura Ellsworth,,,0,0,0,5,20
Jim Christiana,,,,0,0,6,20
Lou Barletta,,,,,0,7,20
Total,4,1,0,2,2,8,20
,United States Senator - Republican,,Governor - Republican,,,1,21
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,21
Jim Christiana,0,0,1,0,0,3,21
Lou Barletta,,0,0,1,0,4,21
Paul Mango,,,0,0,0,5,21
Scott R Wagner,,,,0,0,6,21
Laura Ellsworth,,,,,0,7,21
Total,1,1,1,1,0,8,21
,United States Senator - Republican,,Governor - Republican,,,1,22
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,22
Jim Christiana,0,0,1,0,0,3,22
Lou Barletta,,0,0,1,0,4,22
Laura Ellsworth,,,0,0,0,5,22
Paul Mango,,,,0,0,6,22
Scott R Wagner,,,,,0,7,22
Total,1,1,1,1,0,8,22
,United States Senator - Republican,,Governor - Republican,,,1,23
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,23
Jim Christiana,1,0,0,0,0,3,23
Lou Barletta,,0,0,0,0,4,23
Laura Ellsworth,,,0,0,0,5,23
Paul Mango,,,,0,0,6,23
Scott R Wagner,,,,,0,7,23
Total,1,0,0,0,0,8,23
,Governor - Republican,,,United States Senator - Republican,,1,24
,Paul Mango,Scott R Wagner,Laura Ellsworth,Jim Christiana,Lou Barletta,2,24
Paul Mango,0,0,0,2,1,3,24
Scott R Wagner,,0,0,0,1,4,24
Laura Ellsworth,,,0,0,0,5,24
Jim Christiana,,,,0,0,6,24
Lou Barletta,,,,,0,7,24
Total,3,1,0,2,2,8,24
,Governor - Republican,,,United States Senator - Republican,,1,25
,Scott R Wagner,Paul Mango,Laura Ellsworth,Jim Christiana,Lou Barletta,2,25
Scott R Wagner,0,0,0,2,3,3,25
Paul Mango,,0,0,1,0,4,25
Laura Ellsworth,,,0,0,0,5,25
Jim Christiana,,,,0,0,6,25
Lou Barletta,,,,,0,7,25
Total,5,1,0,3,3,8,25
,United States Senator - Republican,,Governor - Republican,,,1,28
,Jim Christiana,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,2,28
Jim Christiana,0,0,5,0,1,3,28
Lou Barletta,,0,0,4,0,4,28
Scott R Wagner,,,0,0,0,5,28
Paul Mango,,,,0,0,6,28
Laura Ellsworth,,,,,0,7,28
Total,6,4,5,4,1,8,28
,Governor - Republican,,,United States Senator - Republican,,1,32
,Scott R Wagner,Laura Ellsworth,Paul Mango,Jim Christiana,Lou Barletta,2,32
Scott R Wagner,0,0,0,1,1,3,32
Laura Ellsworth,,0,0,0,0,4,32
Paul Mango,,,0,0,0,5,32
Jim Christiana,,,,0,0,6,32
Lou Barletta,,,,,0,7,32
Total,2,0,0,1,1,8,32
,United States Senator - Republican,,Governor - Republican,,,1,33
,Jim Christiana,Lou Barletta,Scott R Wagner,Laura Ellsworth,Paul Mango,2,33
Jim Christiana,0,0,1,0,0,3,33
Lou Barletta,,1,0,0,0,4,33
Scott R Wagner,,,0,0,0,5,33
Laura Ellsworth,,,,0,0,6,33
Paul Mango,,,,,0,7,33
Total,1,1,1,0,0,8,33
,United States Senator - Republican,,Governor - Republican,,,1,35
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,35
Jim Christiana,0,0,2,0,0,3,35
Lou Barletta,,0,0,1,0,4,35
Paul Mango,,,0,0,0,5,35
Scott R Wagner,,,,0,0,6,35
Laura Ellsworth,,,,,0,7,35
Total,2,1,2,1,0,8,35
,United States Senator - Republican,,Governor - Republican,,,1,36
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,36
Jim Christiana,0,0,1,0,0,3,36
Lou Barletta,,0,0,1,0,4,36
Laura Ellsworth,,,0,0,0,5,36
Paul Mango,,,,0,0,6,36
Scott R Wagner,,,,,0,7,36
Total,1,1,1,1,0,8,36
,Governor - Republican,,,United States Senator - Republican,,1,37
,Scott R Wagner,Laura Ellsworth,Paul Mango,Jim Christiana,Lou Barletta,2,37
Scott R Wagner,0,0,0,3,2,3,37
Laura Ellsworth,,0,0,1,1,4,37
Paul Mango,,,0,0,0,5,37
Jim Christiana,,,,0,0,6,37
Lou Barletta,,,,,0,7,37
Total,5,2,0,4,3,8,37
,United States Senator - Republican,,Governor - Republican,,,1,38
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,38
Lou Barletta,0,0,1,1,0,3,38
Jim Christiana,,0,0,0,0,4,38
Scott R Wagner,,,1,0,0,5,38
Paul Mango,,,,0,0,6,38
Laura Ellsworth,,,,,0,7,38
Total,2,0,2,1,0,8,38
,United States Senator - Republican,,Governor - Republican,,,1,40
,Lou Barletta,Jim Christiana,Laura Ellsworth,Paul Mango,Scott R Wagner,2,40
Lou Barletta,0,0,2,1,0,3,40
Jim Christiana,,0,0,1,0,4,40
Laura Ellsworth,,,0,0,0,5,40
Paul Mango,,,,0,0,6,40
Scott R Wagner,,,,,1,7,40
Total,3,1,2,2,1,8,40
,United States Senator - Republican,,Governor - Republican,,,1,41
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,41
Jim Christiana,0,0,1,0,0,3,41
Lou Barletta,,0,0,0,0,4,41
Laura Ellsworth,,,0,0,0,5,41
Paul Mango,,,,0,0,6,41
Scott R Wagner,,,,,0,7,41
Total,1,0,1,0,0,8,41
,Governor - Republican,,,United States Senator - Republican,,1,42
,Laura Ellsworth,Paul Mango,Scott R Wagner,Lou Barletta,Jim Christiana,2,42
Laura Ellsworth,0,0,0,1,0,3,42
Paul Mango,,0,0,0,0,4,42
Scott R Wagner,,,0,0,0,5,42
Lou Barletta,,,,0,0,6,42
Jim Christiana,,,,,0,7,42
Total,1,0,0,1,0,8,42
,Governor - Republican,,,United States Senator - Republican,,1,43
,Laura Ellsworth,Paul Mango,Scott R Wagner,Lou Barletta,Jim Christiana,2,43
Laura Ellsworth,0,0,0,1,0,3,43
Paul Mango,,0,0,0,0,4,43
Scott R Wagner,,,0,0,0,5,43
Lou Barletta,,,,0,0,6,43
Jim Christiana,,,,,0,7,43
Total,1,0,0,1,0,8,43
,United States Senator - Republican,,Governor - Republican,,,1,45
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,45
Jim Christiana,0,0,0,1,0,3,45
Lou Barletta,,0,1,0,0,4,45
Paul Mango,,,0,0,0,5,45
Scott R Wagner,,,,0,0,6,45
Laura Ellsworth,,,,,0,7,45
Total,1,1,1,1,0,8,45
,United States Senator - Republican,,Governor - Republican,,,1,46
,Lou Barletta,Jim Christiana,Paul Mango,Laura Ellsworth,Scott R Wagner,2,46
Lou Barletta,0,0,2,1,0,3,46
Jim Christiana,,0,1,0,0,4,46
Paul Mango,,,0,0,0,5,46
Laura Ellsworth,,,,0,0,6,46
Scott R Wagner,,,,,0,7,46
Total,3,1,3,1,0,8,46
,United States Senator - Republican,,Governor - Republican,,,1,48
,Jim Christiana,Lou Barletta,Laura Ellsworth,Paul Mango,Scott R Wagner,2,48
Jim Christiana,0,0,0,1,0,3,48
Lou Barletta,,0,1,0,0,4,48
Laura Ellsworth,,,0,0,0,5,48
Paul Mango,,,,0,0,6,48
Scott R Wagner,,,,,0,7,48
Total,1,1,1,1,0,8,48
,Governor - Republican,,,United States Senator - Republican,,1,49
,Scott R Wagner,Paul Mango,Laura Ellsworth,Jim Christiana,Lou Barletta,2,49
Scott R Wagner,2,0,0,3,1,3,49
Paul Mango,,0,0,1,2,4,49
Laura Ellsworth,,,0,0,0,5,49
Jim Christiana,,,,0,0,6,49
Lou Barletta,,,,,0,7,49
Total,6,3,0,4,3,8,49
,United States Senator - Republican,,Governor - Republican,,,1,50
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,50
Jim Christiana,0,0,1,0,0,3,50
Lou Barletta,,0,0,1,0,4,50
Paul Mango,,,0,0,0,5,50
Scott R Wagner,,,,0,0,6,50
Laura Ellsworth,,,,,0,7,50
Total,1,1,1,1,0,8,50
,United States Senator - Republican,,Governor - Republican,,,1,51
,Jim Christiana,Lou Barletta,Paul Mango,Scott R Wagner,Laura Ellsworth,2,51
Jim Christiana,0,0,1,1,0,3,51
Lou Barletta,,0,0,0,0,4,51
Paul Mango,,,0,0,0,5,51
Scott R Wagner,,,,0,0,6,51
Laura Ellsworth,,,,,0,7,51
Total,2,0,1,1,0,8,51
