col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Tom Young,Marylouise Isaacson,Rhea Powell,Noam Kugelmass,Micah Mahjoubian,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Judi Golding Baker,Matthew D Myers,Joe Celentano,Jon Geeting,2,All
Tom Wolf,401,"1,622","1,505","1,446","1,322","1,323","1,297","1,234","1,197","1,126",939,717,711,537,3,All
Tom Young,,10,948,779,927,913,864,699,725,663,471,527,486,355,4,All
Marylouise Isaacson,,,3,939,693,940,"1,018",959,"1,006",741,729,592,437,356,5,All
Rhea Powell,,,,5,774,765,743,887,731,547,693,311,568,347,6,All
Noam Kugelmass,,,,,3,623,607,660,539,400,470,225,456,286,7,All
Micah Mahjoubian,,,,,,1,855,661,728,595,471,494,450,279,8,All
Andi Perez,,,,,,,3,739,840,650,537,528,379,332,9,All
Amanda Mcillmurray,,,,,,,,1,747,480,713,342,410,348,10,All
Mariel J K Martin,,,,,,,,,0,636,560,505,318,242,11,All
Darrell L Clarke,,,,,,,,,,11,400,487,227,176,12,All
Judi Golding Baker,,,,,,,,,,,1,306,264,249,13,All
Matthew D Myers,,,,,,,,,,,,3,160,180,14,All
Joe Celentano,,,,,,,,,,,,,4,227,15,All
Jon Geeting,,,,,,,,,,,,,,1,16,All
Total,"3,194","1,663","1,536","1,469","1,349","1,341","1,323","1,261","1,216","1,152",959,740,731,551,17,All
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Tom Wolf,Tom Young,Marylouise Isaacson,Darrell L Clarke,Micah Mahjoubian,Andi Perez,Mariel J K Martin,Rhea Powell,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Matthew D Myers,Joe Celentano,Jon Geeting,2,1
Tom Wolf,21,121,114,112,111,96,94,80,69,65,53,50,47,30,3,1
Tom Young,,0,79,73,80,72,66,41,40,42,27,41,34,18,4,1
Marylouise Isaacson,,,0,77,81,82,84,58,59,36,41,45,31,19,5,1
Darrell L Clarke,,,,1,66,65,65,34,38,28,26,45,17,14,6,1
Micah Mahjoubian,,,,,0,74,67,44,39,35,29,39,28,15,7,1
Andi Perez,,,,,,0,75,42,40,32,28,40,25,16,8,1
Mariel J K Martin,,,,,,,0,47,46,29,36,42,23,18,9,1
Rhea Powell,,,,,,,,1,50,36,37,14,37,21,10,1
Amanda Mcillmurray,,,,,,,,,0,33,38,15,27,18,11,1
Noam Kugelmass,,,,,,,,,,0,21,12,25,12,12,1
Judi Golding Baker,,,,,,,,,,,0,11,16,12,13,1
Matthew D Myers,,,,,,,,,,,,0,8,6,14,1
Joe Celentano,,,,,,,,,,,,,0,14,15,1
Jon Geeting,,,,,,,,,,,,,,0,16,1
Total,220,124,117,115,113,98,97,83,72,66,55,52,49,30,17,1
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Tom Wolf,Marylouise Isaacson,Rhea Powell,Tom Young,Amanda Mcillmurray,Micah Mahjoubian,Mariel J K Martin,Darrell L Clarke,Andi Perez,Judi Golding Baker,Matthew D Myers,Noam Kugelmass,Joe Celentano,Jon Geeting,2,2
Tom Wolf,25,97,96,91,86,86,82,78,77,62,53,53,43,35,3,2
Marylouise Isaacson,,0,64,59,63,61,65,53,58,45,37,29,24,22,4,2
Rhea Powell,,,0,50,64,57,53,41,45,48,24,37,34,27,5,2
Tom Young,,,,1,42,66,50,46,49,26,38,36,26,18,6,2
Amanda Mcillmurray,,,,,0,49,55,34,46,53,22,36,28,19,7,2
Micah Mahjoubian,,,,,,0,57,43,53,31,39,32,25,14,8,2
Mariel J K Martin,,,,,,,0,47,56,38,39,27,17,15,9,2
Darrell L Clarke,,,,,,,,1,40,26,36,19,10,13,10,2
Andi Perez,,,,,,,,,0,33,34,29,16,18,11,2
Judi Golding Baker,,,,,,,,,,0,15,24,15,16,12,2
Matthew D Myers,,,,,,,,,,,0,12,9,12,13,2
Noam Kugelmass,,,,,,,,,,,,0,23,14,14,2
Joe Celentano,,,,,,,,,,,,,0,12,15,2
Jon Geeting,,,,,,,,,,,,,,0,16,2
Total,194,97,96,92,86,86,82,79,77,62,53,53,43,35,17,2
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Tom Wolf,Rhea Powell,Marylouise Isaacson,Tom Young,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Darrell L Clarke,Amanda Mcillmurray,Noam Kugelmass,Judi Golding Baker,Joe Celentano,Matthew D Myers,Jon Geeting,2,3
Tom Wolf,15,99,90,88,80,81,77,76,74,68,58,53,45,36,3,3
