col_1,col_2,division
,Representative In The General Assembly 181st District - Republican,All
,Milton Street,All
Milton Street,8,All
Total,8,All
,Representative In The General Assembly 181st District - Republican,3
,Milton Street,3
Milton Street,1,3
Total,1,3
,Representative In The General Assembly 181st District - Republican,5
,Milton Street,5
Milton Street,3,5
Total,3,5
,Representative In The General Assembly 181st District - Republican,6
,Milton Street,6
Milton Street,1,6
Total,1,6
,Representative In The General Assembly 181st District - Republican,10
,Milton Street,10
Milton Street,3,10
Total,3,10
