col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,Dustin Morris,2,4
Jaime Bouldin,15,17,21,15,14,13,13,13,13,3,4
David Rodriguez,,6,19,14,13,12,12,12,12,4,4
Humberto Perez,,,1,15,15,13,13,13,13,5,4
Barbara Carroll,,,,5,15,14,13,13,13,6,4
Sharon Vaughn,,,,,1,16,15,15,14,7,4
Latrice Y Bryant,,,,,,1,16,16,13,8,4
Robert Taylor,,,,,,,1,16,13,9,4
Jonathan M Gary,,,,,,,,0,13,10,4
Dustin Morris,,,,,,,,,1,11,4
Total,37,25,25,22,19,18,17,16,15,12,4
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,5
,David Rodriguez,Humberto Perez,Jaime Bouldin,Dustin Morris,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,2,5
David Rodriguez,3,5,6,3,3,2,2,2,2,3,5
Humberto Perez,,5,5,1,1,1,1,1,1,4,5
Jaime Bouldin,,,2,2,2,1,1,1,1,5,5
Dustin Morris,,,,1,4,3,2,2,2,6,5
Barbara Carroll,,,,,0,3,2,2,2,7,5
Sharon Vaughn,,,,,,1,2,2,2,8,5
Jonathan M Gary,,,,,,,0,2,2,9,5
Latrice Y Bryant,,,,,,,,0,2,10,5
Robert Taylor,,,,,,,,,0,11,5
Total,10,10,8,5,4,4,2,2,2,12,5
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,6
,Barbara Carroll,Jaime Bouldin,Sharon Vaughn,Humberto Perez,David Rodriguez,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,2,6
Barbara Carroll,15,40,53,34,37,42,35,30,28,3,6
Jaime Bouldin,,18,42,35,36,36,31,28,27,4,6
Sharon Vaughn,,,4,35,36,42,35,29,29,5,6
Humberto Perez,,,,7,38,29,30,28,27,6,6
David Rodriguez,,,,,5,30,32,28,29,7,6
Latrice Y Bryant,,,,,,1,29,25,26,8,6
Robert Taylor,,,,,,,1,27,29,9,6
Dustin Morris,,,,,,,,1,24,10,6
Jonathan M Gary,,,,,,,,,0,11,6
Total,71,65,62,49,48,44,37,31,29,12,6
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,7
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Robert Taylor,Latrice Y Bryant,Sharon Vaughn,Dustin Morris,Jonathan M Gary,2,7
Jaime Bouldin,11,27,27,26,24,25,24,25,24,3,7
David Rodriguez,,7,29,28,26,27,26,25,25,4,7
Humberto Perez,,,6,28,27,27,27,24,24,5,7
Barbara Carroll,,,,4,28,29,28,25,25,6,7
Robert Taylor,,,,,1,27,27,24,23,7,7
Latrice Y Bryant,,,,,,0,28,25,25,8,7
Sharon Vaughn,,,,,,,0,24,24,9,7
Dustin Morris,,,,,,,,1,24,10,7
Jonathan M Gary,,,,,,,,,0,11,7
Total,40,39,39,36,31,29,29,26,25,12,7
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,8
,David Rodriguez,Humberto Perez,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Latrice Y Bryant,Robert Taylor,Dustin Morris,2,8
David Rodriguez,3,14,11,9,10,9,9,9,8,3,8
Humberto Perez,,1,11,9,10,9,9,9,8,4,8
Jaime Bouldin,,,1,9,9,9,9,9,8,5,8
Barbara Carroll,,,,1,9,8,8,8,8,6,8
Sharon Vaughn,,,,,0,9,9,9,8,7,8
Jonathan M Gary,,,,,,0,9,9,8,8,8
Latrice Y Bryant,,,,,,,0,9,8,9,8
Robert Taylor,,,,,,,,0,8,10,8
Dustin Morris,,,,,,,,,0,11,8
Total,17,15,13,11,10,9,9,9,8,12,8
,Member Of The - Democratic State Committee 3rd Senatorial District,,,,,,,,,1,9
