col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,All
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
David Torres,2,7,4,4,2,3,All
Kathy Coder,,1,0,0,0,4,All
Diana Irey Vaughan,,,1,0,0,5,All
Jeff Bartos,,,,0,0,6,All
Peg Luksik,,,,,0,7,All
Total,19,8,5,4,2,8,All
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,1
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,1
David Torres,0,3,1,1,0,3,1
Diana Irey Vaughan,,1,0,0,0,4,1
Jeff Bartos,,,0,0,0,5,1
Kathy Coder,,,,0,0,6,1
Peg Luksik,,,,,0,7,1
Total,5,4,1,1,0,8,1
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,4
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,4
David Torres,0,1,0,0,0,3,4
Kathy Coder,,0,0,0,0,4,4
Diana Irey Vaughan,,,0,0,0,5,4
Jeff Bartos,,,,0,0,6,4
Peg Luksik,,,,,0,7,4
Total,1,1,0,0,0,8,4
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,7
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,7
David Torres,0,1,0,0,0,3,7
Jeff Bartos,,0,0,0,0,4,7
Kathy Coder,,,1,0,0,5,7
Diana Irey Vaughan,,,,0,0,6,7
Peg Luksik,,,,,0,7,7
Total,1,1,1,0,0,8,7
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,9
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,9
David Torres,1,1,0,0,0,3,9
Kathy Coder,,0,0,0,0,4,9
Diana Irey Vaughan,,,0,0,0,5,9
Jeff Bartos,,,,0,0,6,9
Peg Luksik,,,,,0,7,9
Total,2,1,0,0,0,8,9
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,10
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,10
David Torres,0,2,2,1,1,3,10
Jeff Bartos,,0,0,0,0,4,10
Kathy Coder,,,0,0,0,5,10
Diana Irey Vaughan,,,,0,0,6,10
Peg Luksik,,,,,0,7,10
Total,6,2,2,1,1,8,10
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,11
,David Torres,Kathy Coder,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,2,11
David Torres,1,2,1,0,0,3,11
Kathy Coder,,0,0,0,0,4,11
Peg Luksik,,,0,0,0,5,11
Diana Irey Vaughan,,,,0,0,6,11
Jeff Bartos,,,,,0,7,11
Total,4,2,1,0,0,8,11
