col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 179th District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,All
,Jason T Dawkins,Abu Vicente Edwards,Jaime Bouldin,David Rodriguez,Sharon Vaughn,Humberto Perez,Barbara Carroll,Latrice Y Bryant,Dustin Morris,Robert Taylor,Jonathan M Gary,All
Jason T Dawkins,125,0,318,307,286,255,216,208,183,184,170,All
Abu Vicente Edwards,,47,210,157,111,133,102,89,86,79,76,All
Jaime Bouldin,,,3,322,282,309,272,255,251,245,234,All
David Rodriguez,,,,2,281,315,267,252,245,239,231,All
Sharon Vaughn,,,,,2,263,295,269,254,241,232,All
Humberto Perez,,,,,,3,260,247,242,235,225,All
Barbara Carroll,,,,,,,3,265,244,237,230,All
Latrice Y Bryant,,,,,,,,0,233,234,233,All
Dustin Morris,,,,,,,,,0,229,220,All
Robert Taylor,,,,,,,,,,0,225,All
Jonathan M Gary,,,,,,,,,,,0,All
Total,674,342,535,470,404,395,325,298,272,264,247,All
