col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Tom Wolf,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,2,All
Tom Wolf,317,934,907,902,892,797,3,All
Kathy Enggasser,,19,783,840,780,758,4,All
James G Donnelly Sr,,,22,787,789,784,5,All
Mary Ann Quartullo,,,,14,781,755,6,All
John Dellricci,,,,,25,764,7,All
Patrick Parkinson,,,,,,8,8,All
Total,"1,656","1,012",988,975,973,856,9,All
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Tom Wolf,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,2,1
Tom Wolf,18,21,19,17,19,15,3,1
James G Donnelly Sr,,0,18,17,15,16,4,1
Kathy Enggasser,,,1,16,15,15,5,1
John Dellricci,,,,1,14,15,6,1
Mary Ann Quartullo,,,,,0,14,7,1
Patrick Parkinson,,,,,,1,8,1
Total,47,24,21,20,19,18,9,1
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,2
,Tom Wolf,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Patrick Parkinson,2,2
Tom Wolf,1,30,27,27,26,25,3,2
Mary Ann Quartullo,,0,23,25,23,23,4,2
John Dellricci,,,0,24,24,24,5,2
Kathy Enggasser,,,,0,23,23,6,2
James G Donnelly Sr,,,,,0,24,7,2
Patrick Parkinson,,,,,,1,8,2
Total,39,30,27,27,26,26,9,2
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,Tom Wolf,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Patrick Parkinson,Kathy Enggasser,2,3
Tom Wolf,1,13,14,12,13,12,3,3
James G Donnelly Sr,,0,13,14,15,13,4,3
John Dellricci,,,0,14,13,13,5,3
Mary Ann Quartullo,,,,0,13,13,6,3
Patrick Parkinson,,,,,0,13,7,3
Kathy Enggasser,,,,,,0,8,3
Total,25,18,18,17,17,16,9,3
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,4
,Tom Wolf,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,Patrick Parkinson,James G Donnelly Sr,2,4
Tom Wolf,6,15,13,12,10,9,3,4
Kathy Enggasser,,0,12,11,10,9,4,4
Mary Ann Quartullo,,,0,9,8,8,5,4
John Dellricci,,,,0,9,8,6,4
Patrick Parkinson,,,,,0,8,7,4
James G Donnelly Sr,,,,,,0,8,4
Total,23,15,13,12,10,9,9,4
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,5
,Tom Wolf,James G Donnelly Sr,Mary Ann Quartullo,Kathy Enggasser,John Dellricci,Patrick Parkinson,2,5
Tom Wolf,7,19,15,15,15,14,3,5
James G Donnelly Sr,,0,19,17,18,15,4,5
Mary Ann Quartullo,,,1,18,17,14,5,5
Kathy Enggasser,,,,0,16,14,6,5
John Dellricci,,,,,0,15,7,5
Patrick Parkinson,,,,,,0,8,5
Total,29,23,21,20,19,16,9,5
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,6
,Tom Wolf,Mary Ann Quartullo,James G Donnelly Sr,Kathy Enggasser,John Dellricci,Patrick Parkinson,2,6
Tom Wolf,25,34,36,33,31,25,3,6
Mary Ann Quartullo,,4,29,36,27,27,4,6
James G Donnelly Sr,,,2,28,26,29,5,6
Kathy Enggasser,,,,2,29,26,6,6
John Dellricci,,,,,2,24,7,6
Patrick Parkinson,,,,,,0,8,6
Total,82,46,44,44,40,31,9,6
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,7
,Tom Wolf,Kathy Enggasser,Mary Ann Quartullo,James G Donnelly Sr,John Dellricci,Patrick Parkinson,2,7
Tom Wolf,16,31,31,26,26,23,3,7
Kathy Enggasser,,0,25,23,23,22,4,7
Mary Ann Quartullo,,,0,23,24,22,5,7
James G Donnelly Sr,,,,3,24,23,6,7
John Dellricci,,,,,0,23,7,7
Patrick Parkinson,,,,,,0,8,7
Total,59,31,31,30,27,24,9,7
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,8
,Tom Wolf,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,2,8
Tom Wolf,14,36,33,34,34,32,3,8
Kathy Enggasser,,0,31,32,31,30,4,8
James G Donnelly Sr,,,1,31,32,31,5,8
Mary Ann Quartullo,,,,0,31,29,6,8
Patrick Parkinson,,,,,1,31,7,8
John Dellricci,,,,,,0,8,8
Total,60,38,36,36,36,33,9,8
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,9
,Tom Wolf,John Dellricci,Kathy Enggasser,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,9
Tom Wolf,6,38,38,35,35,30,3,9
John Dellricci,,1,33,32,31,30,4,9
Kathy Enggasser,,,1,31,33,30,5,9
James G Donnelly Sr,,,,1,31,29,6,9
Mary Ann Quartullo,,,,,0,29,7,9
Patrick Parkinson,,,,,,0,8,9
Total,53,39,39,36,35,30,9,9
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,10
,Tom Wolf,Kathy Enggasser,Mary Ann Quartullo,John Dellricci,James G Donnelly Sr,Patrick Parkinson,2,10
Tom Wolf,5,32,30,29,27,26,3,10
Kathy Enggasser,,0,31,29,30,27,4,10
Mary Ann Quartullo,,,0,28,28,27,5,10
John Dellricci,,,,1,28,27,6,10
James G Donnelly Sr,,,,,0,26,7,10
Patrick Parkinson,,,,,,0,8,10
Total,42,35,33,32,30,28,9,10
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,11
,Tom Wolf,John Dellricci,James G Donnelly Sr,Patrick Parkinson,Kathy Enggasser,Mary Ann Quartullo,2,11
Tom Wolf,6,15,12,12,11,10,3,11
John Dellricci,,0,10,10,10,10,4,11
James G Donnelly Sr,,,1,10,10,10,5,11
Patrick Parkinson,,,,0,10,10,6,11
Kathy Enggasser,,,,,0,10,7,11
Mary Ann Quartullo,,,,,,0,8,11
Total,26,15,13,12,11,10,9,11
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,12
,Tom Wolf,Kathy Enggasser,John Dellricci,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,2,12
Tom Wolf,3,33,29,31,30,27,3,12
Kathy Enggasser,,0,26,28,29,26,4,12
John Dellricci,,,2,27,26,27,5,12
James G Donnelly Sr,,,,0,29,27,6,12
Mary Ann Quartullo,,,,,0,25,7,12
Patrick Parkinson,,,,,,1,8,12
Total,43,34,33,32,31,30,9,12
,Governor - Democrat,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,13
,Tom Wolf,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,13
Tom Wolf,5,24,22,23,23,20,3,13
James G Donnelly Sr,,0,20,20,20,20,4,13
John Dellricci,,,1,21,22,20,5,13
Kathy Enggasser,,,,1,22,20,6,13
Mary Ann Quartullo,,,,,0,20,7,13
Patrick Parkinson,,,,,,0,8,13
Total,37,26,25,25,25,21,9,13
