col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,All
,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Micah Mahjoubian,Judi Golding Baker,Tom Young,Mariel J K Martin,Noam Kugelmass,Darrell L Clarke,Joe Celentano,Matthew D Myers,Jon Geeting,Rich Lazer,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Theresa M Wright,Ashley Lunkenheimer,Greg Vitali,Thaddeus Kirkland,Margo Davidson,Larry Arata,Dan Muroff,Shelly Chauncey,David Wertime,All
Rhea Powell,"1,305","9,855","9,802","8,426","8,128","7,991","7,330","7,600","7,255","5,205","6,857","3,573","4,461",644,506,439,308,195,215,87,29,33,22,1,2,1,All
Marylouise Isaacson,,162,"9,322","9,030","8,553","8,061","7,352","8,750","5,825","6,250","5,042","4,976","3,575",925,405,376,314,66,175,48,24,21,18,0,2,0,All
Amanda Mcillmurray,,,323,"7,427","6,391","7,570","5,728","7,342","5,640","4,521","5,046","3,419","3,694",550,434,367,358,47,213,53,23,18,20,0,1,0,All
Andi Perez,,,,138,"7,595","6,404","6,739","7,625","5,267","5,741","4,644","4,461","3,736",878,325,304,245,59,127,54,16,18,15,1,3,1,All
Micah Mahjoubian,,,,,362,"5,526","7,162","6,596","5,704","5,293","5,099","4,022","2,945",884,350,296,205,97,156,79,20,21,15,1,1,0,All
Judi Golding Baker,,,,,,533,"4,525","6,337","5,061","4,776","3,433","4,473","2,976",328,289,271,206,35,130,32,12,14,11,0,0,0,All
Tom Young,,,,,,,412,"5,860","5,545","4,737","5,510","4,220","3,361",987,336,275,208,116,130,93,23,11,17,0,3,0,All
Mariel J K Martin,,,,,,,,46,"4,365","5,472","3,764","4,524","2,658",974,309,349,215,43,158,49,22,21,14,0,1,0,All
Noam Kugelmass,,,,,,,,,250,"3,036","4,586","2,928","3,238",302,271,229,166,93,106,55,14,14,15,1,2,0,All
Darrell L Clarke,,,,,,,,,,666,"2,590","4,492","2,125","1,040",190,196,172,34,103,28,22,28,13,0,0,0,All
Joe Celentano,,,,,,,,,,,334,"2,196","3,183",621,343,229,224,112,144,149,17,11,28,1,3,0,All
Matthew D Myers,,,,,,,,,,,,113,"2,053","1,347",154,154,145,29,85,46,12,13,20,0,1,0,All
Jon Geeting,,,,,,,,,,,,,297,267,199,147,153,43,79,40,11,8,11,0,2,1,All
Rich Lazer,,,,,,,,,,,,,,"2,505",0,0,0,0,0,0,0,0,0,0,0,0,All
Molly Sheehan,,,,,,,,,,,,,,,681,0,0,0,0,0,0,0,0,0,0,0,All
Lindy Li,,,,,,,,,,,,,,,,749,0,0,0,0,0,0,0,0,0,0,All
Mary Gay Scanlon,,,,,,,,,,,,,,,,,373,0,0,0,0,0,0,0,0,0,All
Theresa M Wright,,,,,,,,,,,,,,,,,,703,0,0,0,0,0,0,0,0,All
Ashley Lunkenheimer,,,,,,,,,,,,,,,,,,,408,0,0,0,0,0,0,0,All
Greg Vitali,,,,,,,,,,,,,,,,,,,,234,0,0,0,0,0,0,All
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,,,,255,0,0,0,0,0,All
Margo Davidson,,,,,,,,,,,,,,,,,,,,,,192,0,0,0,0,All
Larry Arata,,,,,,,,,,,,,,,,,,,,,,,61,0,0,0,All
Dan Muroff,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,All
Shelly Chauncey,,,,,,,,,,,,,,,,,,,,,,,,,7,0,All
David Wertime,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"16,573","14,538","13,171","12,762","12,513","12,008","11,961","11,599","10,381","10,118","9,300","8,263","6,726","4,822","1,565","1,455",971,966,792,481,300,250,129,12,11,1,All
